name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
TRES LECHES CAKE,8.39,,"ABUELO'S (ABILENE, TX)","UBEREATS, ABILENE, TX",,,,,,,
ENCHILADA PLATTER,15.78,,"ABUELO'S (ABILENE, TX)","UBEREATS, ABILENE, TX",,,,,,,
DULCE DE LECHE CHEESECAKE,8.39,,"ABUELO'S (ABILENE, TX)","UBEREATS, ABILENE, TX",,,,,,,
TWO ENCHILADAS,13.43,,"ABUELO'S (ABILENE, TX)","UBEREATS, ABILENE, TX",,,,,,,
CHILE CON QUESO,9.51,,"ABUELO'S (ABILENE, TX)","UBEREATS, ABILENE, TX",,,,,,,
QUESO DIABLO,10.4,,"ABUELO'S (ABILENE, TX)","UBEREATS, ABILENE, TX",,,,,,,
GUACAMOLE - REGULAR,10.52,,"ABUELO'S (ABILENE, TX)","UBEREATS, ABILENE, TX",,,,,,,
GUACAMOLE - LARGE,12.53,,"ABUELO'S (ABILENE, TX)","UBEREATS, ABILENE, TX",,,,,,,
ABUELO'S DIP SAMPLER,11.86,,"ABUELO'S (ABILENE, TX)","UBEREATS, ABILENE, TX",,,,,,,
BACON-WRAPPED STUFFED SHRIMP,11.08,,"ABUELO'S (ABILENE, TX)","UBEREATS, ABILENE, TX",,,,,,,
GRILLED CHICKEN SALAD,15.33,,"ABUELO'S (ABILENE, TX)","UBEREATS, ABILENE, TX",,,,,,,
REYNOSA SALAD,13.43,,"ABUELO'S (ABILENE, TX)","UBEREATS, ABILENE, TX",,,,,,,
FAJITA SALAD,15.0,,"ABUELO'S (ABILENE, TX)","UBEREATS, ABILENE, TX",,,,,,,
TORTILLA SOUP,7.72,,"ABUELO'S (ABILENE, TX)","UBEREATS, ABILENE, TX",,,,,,,
STEAK FAJITAS,22.16,,"ABUELO'S (ABILENE, TX)","UBEREATS, ABILENE, TX",,,,,,,
CHICKEN FAJITAS,19.7,,"ABUELO'S (ABILENE, TX)","UBEREATS, ABILENE, TX",,,,,,,
FAJITA COMBO FOR 1,22.28,,"ABUELO'S (ABILENE, TX)","UBEREATS, ABILENE, TX",,,,,,,
FAJITA TRIO,27.09,,"ABUELO'S (ABILENE, TX)","UBEREATS, ABILENE, TX",,,,,,,
SHRIMP FAJITAS,22.28,,"ABUELO'S (ABILENE, TX)","UBEREATS, ABILENE, TX",,,,,,,
VEGETABLE FAJITAS,17.46,,"ABUELO'S (ABILENE, TX)","UBEREATS, ABILENE, TX",,,,,,,
LOS MEJORES DE LA CASA,30.68,,"ABUELO'S (ABILENE, TX)","UBEREATS, ABILENE, TX",,,,,,,
STEAK AND ENCHILADAS,27.65,,"ABUELO'S (ABILENE, TX)","UBEREATS, ABILENE, TX",,,,,,,
PORK TENDERLOIN ABRIGADA,21.72,,"ABUELO'S (ABILENE, TX)","UBEREATS, ABILENE, TX",,,,,,,
PECHUGA CON CALABAZA,21.04,,"ABUELO'S (ABILENE, TX)","UBEREATS, ABILENE, TX",,,,,,,
AUSTRALIAN SEA BASS,22.5,,"ABUELO'S (ABILENE, TX)","UBEREATS, ABILENE, TX",,,,,,,
TILAPIA,18.69,,"ABUELO'S (ABILENE, TX)","UBEREATS, ABILENE, TX",,,,,,,
FOUR ENCHILADAS,17.01,,"ABUELO'S (ABILENE, TX)","UBEREATS, ABILENE, TX",,,,,,,
THE GRANDE,24.29,,"ABUELO'S (ABILENE, TX)","UBEREATS, ABILENE, TX",,,,,,,
JUAREZ,19.81,,"ABUELO'S (ABILENE, TX)","UBEREATS, ABILENE, TX",,,,,,,
LAREDO,16.68,,"ABUELO'S (ABILENE, TX)","UBEREATS, ABILENE, TX",,,,,,,
MI ABUELO'S MANJAR,19.03,,"ABUELO'S (ABILENE, TX)","UBEREATS, ABILENE, TX",,,,,,,
CHILE RELLENOS DINNER,19.03,,"ABUELO'S (ABILENE, TX)","UBEREATS, ABILENE, TX",,,,,,,
STEAK QUESADILLA,17.01,,"ABUELO'S (ABILENE, TX)","UBEREATS, ABILENE, TX",,,,,,,
CHICKEN QUESADILLA,15.78,,"ABUELO'S (ABILENE, TX)","UBEREATS, ABILENE, TX",,,,,,,
DURANGO BURRITO,14.88,,"ABUELO'S (ABILENE, TX)","UBEREATS, ABILENE, TX",,,,,,,
