name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CHICKEN FRIED STEAK,14.95,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
COBBLER,5.75,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
DR PEPPER CHOCOLATE CAKE,5.75,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
MAMA'S SPECIAL BUTTER CAKE,5.75,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
CHICKEN FRIED CHICKEN,13.8,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
NEW! SOUTHWEST SALAD,10.35,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
NEW! MUSHROOM SWISS CHICKEN FRIED STEAK,16.1,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
NEW! SANTA FE DUO (8 SHRIMP),19.55,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
NEW! SANTA FE DUO (4 SHRIMP),16.1,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
NEW! GRILLED CHICKEN SANDWICH,10.35,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
NEW! CHICKEN ALFREDO PASTA,12.65,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
NEW! SHRIMP ALFREDO PASTA,14.95,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
NEW! SANTA FE GRILLED CHICKEN,13.8,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
NEW! SANTA FE GRILLED SHRIMP,13.8,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
NEW! SANTA FE BLACKENED TILAPIA,13.8,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
NEW! CARROT CAKE,5.75,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
CHICKEN TENDERS,41.4,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
MEATLOAF,41.4,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
CHICKEN SPAGHETTI,41.4,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
CHICKEN FRIED MIX & MATCH,64.4,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
FRIED GREEN TOMATOES,5.75,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
MOZZARELLA STICKS,5.75,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
FRIED PICKLES,5.75,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
ONION RINGS,5.75,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
BACON CHEESE FRIES,5.75,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
SKILLET CORNBREAD,2.3,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
SPINACH DIP,8.05,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
HOMEMADE QUESO & SALSA,5.75,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
CHICKEN FRIED BACON,8.05,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
CADILLAC QUESO,8.05,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
POTATO CHEESE SOUP,3.45,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
CHICKEN TORTILLA SOUP,3.45,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
CHICKEN N' DUMPLINS,3.45,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
CHICKEN FRIED PORK,13.8,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
CHICKEN FRIED TENDERS,12.65,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
SUPER COMBO FISH & 8 SHRIMP,19.55,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
SUPER COMBO FISH & 4 SHRIMP,17.25,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
FRIED CATFISH,14.95,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
FRIED SHRIMP,14.95,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
VEGETABLE PLATTER,10.35,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
STEAK FINGERS,11.5,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
9 OZ. SIRLOIN,17.25,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
6 OZ. SIRLOIN,14.95,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
NY STRIP,19.55,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
RIB EYE,19.55,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
CHIPOTLE MAPLE CHICKEN,13.8,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
CENTER CUT PORK CHOPS,16.1,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
GRILLED CAJUN DUO & 8 SHRIMP,19.55,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
GRILLED CAJUN DUO & 4 SHRIMP,16.1,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
GRILLED SHRIMP,13.8,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
PECAN CRUSTED CATFISH,13.8,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
LEMON HERB GRILLED SALMON,16.1,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
HONEY BBQ SALMON,16.1,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
BLACKENED TILAPIA,13.8,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
CAESAR SALAD,10.35,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
TEX MEX SALAD,10.35,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
STRAWBERRY PECAN SALAD,10.35,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
COBB SALAD,10.35,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
LIGHT BLACKENED TILAPIA,12.65,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
LIGHT GRILLED CHICKEN,11.5,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
LIGHT LEMON HERB GRILLED SALMON,14.95,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
THREE TACO PLATE - GRILLED CHICKEN,11.5,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
THREE TACO PLATE - FRIED CHICKEN,11.5,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
THREE TACO PLATE - BAJA FISH,11.5,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
CHICKEN QUESADILLA,11.5,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
CHICKEN FRIED PORK SANDWICH,10.35,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
CHICKEN FRIED CHICKEN SANDWICH,10.35,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
CHICKEN FRIED STEAK SANDWICH,10.35,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
THE BLT,10.35,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
TURKEY CLUB,10.35,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
PATTY MELT,9.2,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
CLASSIC BURGER,9.2,,COTTON PATCH CAFE (3302 SOUTH CLACK),"UBEREATS, ABILENE, TX",,,,,,,
