name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CRISPY CHICKEN SANDWICH MEAL,8.99,1030.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
SPICY CHICKEN SANDWICH MEAL,9.09,1090.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
BIG MAC MEAL,10.49,1110.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
DOUBLE QUARTER POUNDER WITH CHEESE MEAL,11.29,1300.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
10 PIECE MCNUGGETS,6.99,420.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
10 PIECE MCNUGGETS MEAL,10.39,980.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
4 PIECE CHICKEN MCNUGGET - HAPPY MEAL,5.99,440.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
MEDIUM FRENCH FRIES,3.89,320.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
DELUXE CRISPY CHICKEN SANDWICH MEAL,9.89,1090.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
SPICY DELUXE CRISPY CHICKEN SANDWICH MEAL,9.99,1100.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
BACON QUARTER POUNDER WITH CHEESE MEAL,10.79,1190.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
QUARTER POUNDER WITH CHEESE MEAL,9.99,1080.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
DOUBLE BACON QUARTER POUNDER WITH CHEESE MEAL,15.39,1460.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
2 CHEESEBURGER MEAL,7.99,1160.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
QUARTER POUNDER WITH CHEESE DELUXE MEAL,10.09,1190.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
DOUBLE QUARTER CHEESE DELUXE MEAL,11.69,1430.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
6 PIECE MCNUGGETS MEAL,6.19,870.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
FILET O FISH MEAL,8.29,940.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
CHICKEN PACK,15.99,3710.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
13 COOKIE TOTE,4.49,2210.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
BIG MAC BUNDLE BOX,15.99,2760.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
MEDIUM CHOCOLATE SHAKE,4.29,620.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
MEDIUM STRAWBERRY SHAKE,4.29,620.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
MEDIUM VANILLA SHAKE,4.29,610.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
REGULAR M&M MCFLURRY,3.99,640.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
REGULAR OREO MCFLURRY,3.99,510.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
MEDIUM MINUTE MAID STRAWBERRY WATERMELON SLUSHIE,3.99,240.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
MEDIUM FRUIT PUNCH SLUSHIE MINUTE MAID,3.39,210.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
MEDIUM BLUE RASPBERRY SLUSHIE MINUTE MAID,3.99,240.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
MEDIUM PINK LEMONADE SLUSHIE MINUTE MAID,3.99,250.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
CARAMEL SUNDAE,3.39,330.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
HOT FUDGE SUNDAE,3.39,330.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
PLAIN SUNDAE,2.59,440.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
1 COOKIE,0.49,170.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
3 PACK OF COOKIES,1.1,510.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
APPLE PIE,1.59,230.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
2 APPLE PIES,2.29,480.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
HAMBURGER - HAPPY MEAL,5.29,375.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
6PC CHICKEN MCNUGGETS HAPPY MEAL,6.59,530.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
CREAMER PACKET,0.0,20.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
SUGAR PACKET,0.0,15.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
EQUAL PACKET,0.0,0.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
PEPPER PACKET,0.0,0.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
SALT PACKET,0.0,0.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
SPLENDA PACKET,0.0,0.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
TANGY BBQ DIPPING SAUCE,0.0,45.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
KETCHUP PACKET,0.0,10.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
SWEET N SOUR DIPPING SAUCE,0.0,50.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
HONEY PACKET,0.0,50.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
HOT MUSTARD DIPPING SAUCE,0.0,50.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
CREAMY RANCH SAUCE,0.0,110.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
MUSTARD PACKET,0.0,5.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
TANGY HONEY MUSTARD,0.0,60.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
SPICY BUFFALO,0.0,30.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
BUTTER,0.0,35.0,MCDONALD'S (ABINGTON-YORK),"UBEREATS, ABINGTON, PA",,,,,,,
