name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
JUMBO WINGS,10.0,,ROSLYN PIZZA,"UBEREATS, ABINGTON, PA",,,,,,,
CHICKEN PARMIGIANA (HOMEMADE),13.45,,ROSLYN PIZZA,"UBEREATS, ABINGTON, PA",,,,,,,
BUFFALO WINGS PLATTER (10 PCS),12.0,,ROSLYN PIZZA,"UBEREATS, ABINGTON, PA",,,,,,,
MEAT LOVERS PIZZA,12.0,,ROSLYN PIZZA,"UBEREATS, ABINGTON, PA",,,,,,,
STEAK STROMBOLI,11.0,,ROSLYN PIZZA,"UBEREATS, ABINGTON, PA",,,,,,,
PLAIN PIZZA,8.0,,ROSLYN PIZZA,"UBEREATS, ABINGTON, PA",,,,,,,
TOMATO PIE PIZZA,8.0,,ROSLYN PIZZA,"UBEREATS, ABINGTON, PA",,,,,,,
TURNOVER PIZZA,8.5,,ROSLYN PIZZA,"UBEREATS, ABINGTON, PA",,,,,,,
WHITE PLAIN PIZZA,9.0,,ROSLYN PIZZA,"UBEREATS, ABINGTON, PA",,,,,,,
SICILIAN PIZZA,12.0,,ROSLYN PIZZA,"UBEREATS, ABINGTON, PA",,,,,,,
SICILIAN ROSLYN SPECIAL PIZZA,17.5,,ROSLYN PIZZA,"UBEREATS, ABINGTON, PA",,,,,,,
SICILIAN SPICY SHRIMP PIZZA,17.5,,ROSLYN PIZZA,"UBEREATS, ABINGTON, PA",,,,,,,
ROSLYN SPECIAL PIZZA,12.5,,ROSLYN PIZZA,"UBEREATS, ABINGTON, PA",,,,,,,
ROSLYN CHICKEN FAJITA PIZZA,12.5,,ROSLYN PIZZA,"UBEREATS, ABINGTON, PA",,,,,,,
VEGETARIAN PIZZA,11.5,,ROSLYN PIZZA,"UBEREATS, ABINGTON, PA",,,,,,,
GREEK WHITE PIZZA,11.5,,ROSLYN PIZZA,"UBEREATS, ABINGTON, PA",,,,,,,
HAWAIIAN HAM & PINEAPPLE PIZZA,11.0,,ROSLYN PIZZA,"UBEREATS, ABINGTON, PA",,,,,,,
FRESH MOZZARELLA PIZZA,12.0,,ROSLYN PIZZA,"UBEREATS, ABINGTON, PA",,,,,,,
RANCH GRILLED CHICKEN PIZZA,12.5,,ROSLYN PIZZA,"UBEREATS, ABINGTON, PA",,,,,,,
GRILLED CHICKEN BBQ PIZZA,11.5,,ROSLYN PIZZA,"UBEREATS, ABINGTON, PA",,,,,,,
GRILLED CHICKEN BUFFALO PIZZA,11.5,,ROSLYN PIZZA,"UBEREATS, ABINGTON, PA",,,,,,,
STEAK PIZZA,11.5,,ROSLYN PIZZA,"UBEREATS, ABINGTON, PA",,,,,,,
