name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
BUFFALO WINGS,11.0,,ELITE CIGAR CAFE,"UBEREATS, ADDISON, TX",,,,,,,
BUILD YOUR OWN BURGER,10.0,,ELITE CIGAR CAFE,"UBEREATS, ADDISON, TX",,,,,,,
CHICKEN TENDERS,8.0,,ELITE CIGAR CAFE,"UBEREATS, ADDISON, TX",,,,,,,
CHIPS AND SALSA WITH QUESO CONCRANE,8.0,,ELITE CIGAR CAFE,"UBEREATS, ADDISON, TX",,,,,,,
QUESADILLAS,8.0,,ELITE CIGAR CAFE,"UBEREATS, ADDISON, TX",,,,,,,
CHEESE FRIES,4.5,,ELITE CIGAR CAFE,"UBEREATS, ADDISON, TX",,,,,,,
OVERSIZED ONION RINGS,6.0,,ELITE CIGAR CAFE,"UBEREATS, ADDISON, TX",,,,,,,
CHIPS AND SALSA,4.0,,ELITE CIGAR CAFE,"UBEREATS, ADDISON, TX",,,,,,,
CHIPS AND SALSA WITH QUESO,7.0,,ELITE CIGAR CAFE,"UBEREATS, ADDISON, TX",,,,,,,
KETTLE CHIPS,4.5,,ELITE CIGAR CAFE,"UBEREATS, ADDISON, TX",,,,,,,
PROVOLONE CHEESE STICKS,6.0,,ELITE CIGAR CAFE,"UBEREATS, ADDISON, TX",,,,,,,
1/2 BLT,5.5,,ELITE CIGAR CAFE,"UBEREATS, ADDISON, TX",,,,,,,
CUBAN SANDWICH,8.0,,ELITE CIGAR CAFE,"UBEREATS, ADDISON, TX",,,,,,,
FRENCH DIP SANDWICH,9.0,,ELITE CIGAR CAFE,"UBEREATS, ADDISON, TX",,,,,,,
CHICKEN SANDWICH,9.0,,ELITE CIGAR CAFE,"UBEREATS, ADDISON, TX",,,,,,,
SIGNATURE SALAD,9.0,,ELITE CIGAR CAFE,"UBEREATS, ADDISON, TX",,,,,,,
CAESAR SALAD,9.0,,ELITE CIGAR CAFE,"UBEREATS, ADDISON, TX",,,,,,,
CHOCOLATE FUDGE BROWNIE,6.0,,ELITE CIGAR CAFE,"UBEREATS, ADDISON, TX",,,,,,,
BACON AND EGGS,6.5,,ELITE CIGAR CAFE,"UBEREATS, ADDISON, TX",,,,,,,
BREAKFAST TACOS,6.5,,ELITE CIGAR CAFE,"UBEREATS, ADDISON, TX",,,,,,,
THREE EGG OMELETTE,7.0,,ELITE CIGAR CAFE,"UBEREATS, ADDISON, TX",,,,,,,
