name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
LARGE FRENCH FRIES,3.61,,PORTILLO’S HOT DOGS (100 W. LAKE ST.),"UBEREATS, ADDISON, IL",,,,,,,
SMALL FRENCH FRIES,2.86,,PORTILLO’S HOT DOGS (100 W. LAKE ST.),"UBEREATS, ADDISON, IL",,,,,,,
HOT DOG,4.11,,PORTILLO’S HOT DOGS (100 W. LAKE ST.),"UBEREATS, ADDISON, IL",,,,,,,
ITALIAN BEEF SANDWICH,8.11,,PORTILLO’S HOT DOGS (100 W. LAKE ST.),"UBEREATS, ADDISON, IL",,,,,,,
BOTTLE OF COKE,2.99,,PORTILLO’S HOT DOGS (100 W. LAKE ST.),"UBEREATS, ADDISON, IL",,,,,,,
JUMBO HOT DOG,4.86,,PORTILLO’S HOT DOGS (100 W. LAKE ST.),"UBEREATS, ADDISON, IL",,,,,,,
CHILI CHEESE DOG,5.24,,PORTILLO’S HOT DOGS (100 W. LAKE ST.),"UBEREATS, ADDISON, IL",,,,,,,
CHAR GRILLED MAXWELL STREET POLISH SAUSAGE,6.11,,PORTILLO’S HOT DOGS (100 W. LAKE ST.),"UBEREATS, ADDISON, IL",,,,,,,
CHAR-GRILLED POLISH SAUSAGE,6.11,,PORTILLO’S HOT DOGS (100 W. LAKE ST.),"UBEREATS, ADDISON, IL",,,,,,,
JUMBO CHILI CHEESE DOG,5.74,,PORTILLO’S HOT DOGS (100 W. LAKE ST.),"UBEREATS, ADDISON, IL",,,,,,,
BOWL OF CHILI,5.36,,PORTILLO’S HOT DOGS (100 W. LAKE ST.),"UBEREATS, ADDISON, IL",,,,,,,
CHAR BROILED CHICKEN SANDWICH,6.61,,PORTILLO’S HOT DOGS (100 W. LAKE ST.),"UBEREATS, ADDISON, IL",,,,,,,
BREADED CHICKEN SANDWICH,6.61,,PORTILLO’S HOT DOGS (100 W. LAKE ST.),"UBEREATS, ADDISON, IL",,,,,,,
CHICKEN TENDERS 4 PIECE,5.86,,PORTILLO’S HOT DOGS (100 W. LAKE ST.),"UBEREATS, ADDISON, IL",,,,,,,
CHICKEN TENDERS 6 PIECE,8.61,,PORTILLO’S HOT DOGS (100 W. LAKE ST.),"UBEREATS, ADDISON, IL",,,,,,,
NEW CLASSIC BEEF BOWL,8.36,,PORTILLO’S HOT DOGS (100 W. LAKE ST.),"UBEREATS, ADDISON, IL",,,,,,,
NEW CHICAGO COMBO BOWL,9.11,,PORTILLO’S HOT DOGS (100 W. LAKE ST.),"UBEREATS, ADDISON, IL",,,,,,,
BIG BEEF SANDWICH,10.61,,PORTILLO’S HOT DOGS (100 W. LAKE ST.),"UBEREATS, ADDISON, IL",,,,,,,
CHAR-GRILLED ITALIAN SAUSAGE SANDWICH,6.86,,PORTILLO’S HOT DOGS (100 W. LAKE ST.),"UBEREATS, ADDISON, IL",,,,,,,
COMBO BEEF & CHAR-GRILLED ITALIAN SAUSAGE,9.36,,PORTILLO’S HOT DOGS (100 W. LAKE ST.),"UBEREATS, ADDISON, IL",,,,,,,
BIG BEEF COMBO,13.99,,PORTILLO’S HOT DOGS (100 W. LAKE ST.),"UBEREATS, ADDISON, IL",,,,,,,
BEEF-N-CHEDDAR CROISSANT,8.11,,PORTILLO’S HOT DOGS (100 W. LAKE ST.),"UBEREATS, ADDISON, IL",,,,,,,
GRAVY BREAD,2.11,,PORTILLO’S HOT DOGS (100 W. LAKE ST.),"UBEREATS, ADDISON, IL",,,,,,,
SWEET PEPPERS,0.88,,PORTILLO’S HOT DOGS (100 W. LAKE ST.),"UBEREATS, ADDISON, IL",,,,,,,
HOT PEPPERS,0.88,,PORTILLO’S HOT DOGS (100 W. LAKE ST.),"UBEREATS, ADDISON, IL",,,,,,,
SIDE OF GRAVY,0.36,,PORTILLO’S HOT DOGS (100 W. LAKE ST.),"UBEREATS, ADDISON, IL",,,,,,,
HAMBURGER,6.74,,PORTILLO’S HOT DOGS (100 W. LAKE ST.),"UBEREATS, ADDISON, IL",,,,,,,
CHEESEBURGER,7.61,,PORTILLO’S HOT DOGS (100 W. LAKE ST.),"UBEREATS, ADDISON, IL",,,,,,,
DOUBLE HAMBURGER,9.74,,PORTILLO’S HOT DOGS (100 W. LAKE ST.),"UBEREATS, ADDISON, IL",,,,,,,
DOUBLE CHEESEBURGER,11.24,,PORTILLO’S HOT DOGS (100 W. LAKE ST.),"UBEREATS, ADDISON, IL",,,,,,,
BACON HAMBURGER,7.99,,PORTILLO’S HOT DOGS (100 W. LAKE ST.),"UBEREATS, ADDISON, IL",,,,,,,
BACON CHEESEBURGER,8.86,,PORTILLO’S HOT DOGS (100 W. LAKE ST.),"UBEREATS, ADDISON, IL",,,,,,,
BACON DOUBLE HAMBURGER,12.49,,PORTILLO’S HOT DOGS (100 W. LAKE ST.),"UBEREATS, ADDISON, IL",,,,,,,
BACON DOUBLE CHEESEBURGER,12.49,,PORTILLO’S HOT DOGS (100 W. LAKE ST.),"UBEREATS, ADDISON, IL",,,,,,,
BREADED WHITEFISH SANDWICH,7.99,,PORTILLO’S HOT DOGS (100 W. LAKE ST.),"UBEREATS, ADDISON, IL",,,,,,,
GRILLED PORTOBELLO SANDWICH,7.74,,PORTILLO’S HOT DOGS (100 W. LAKE ST.),"UBEREATS, ADDISON, IL",,,,,,,
COLD VEGGIE CROISSANT,4.11,,PORTILLO’S HOT DOGS (100 W. LAKE ST.),"UBEREATS, ADDISON, IL",,,,,,,
VEGGIE DOG,2.49,,PORTILLO’S HOT DOGS (100 W. LAKE ST.),"UBEREATS, ADDISON, IL",,,,,,,
CHOPPED SALAD,10.74,,PORTILLO’S HOT DOGS (100 W. LAKE ST.),"UBEREATS, ADDISON, IL",,,,,,,
CAESAR SALAD,7.49,,PORTILLO’S HOT DOGS (100 W. LAKE ST.),"UBEREATS, ADDISON, IL",,,,,,,
GREEK SALAD WITH CHICKEN,10.74,,PORTILLO’S HOT DOGS (100 W. LAKE ST.),"UBEREATS, ADDISON, IL",,,,,,,
GARDEN SIDE SALAD,4.86,,PORTILLO’S HOT DOGS (100 W. LAKE ST.),"UBEREATS, ADDISON, IL",,,,,,,
HALF SLAB OF RIBS,15.61,,PORTILLO’S HOT DOGS (100 W. LAKE ST.),"UBEREATS, ADDISON, IL",,,,,,,
HALF SLAB OF RIBS DINNER,20.61,,PORTILLO’S HOT DOGS (100 W. LAKE ST.),"UBEREATS, ADDISON, IL",,,,,,,
FULL SLAB OF RIBS,23.74,,PORTILLO’S HOT DOGS (100 W. LAKE ST.),"UBEREATS, ADDISON, IL",,,,,,,
FULL SLAB OF RIBS DINNER,28.74,,PORTILLO’S HOT DOGS (100 W. LAKE ST.),"UBEREATS, ADDISON, IL",,,,,,,
ONION RINGS,3.49,,PORTILLO’S HOT DOGS (100 W. LAKE ST.),"UBEREATS, ADDISON, IL",,,,,,,
LARGE ONION RINGS,4.36,,PORTILLO’S HOT DOGS (100 W. LAKE ST.),"UBEREATS, ADDISON, IL",,,,,,,
TAMALE,2.99,,PORTILLO’S HOT DOGS (100 W. LAKE ST.),"UBEREATS, ADDISON, IL",,,,,,,
