name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CHUCK WAGON,24.99,,SOULMAN'S BAR-B-QUE - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
SUPER CHUCK WAGON,46.99,,SOULMAN'S BAR-B-QUE - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
TRUCKER'S SPECIAL,20.99,,SOULMAN'S BAR-B-QUE - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
OUT OF SIGHT,9.99,,SOULMAN'S BAR-B-QUE - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
SOUL BOWL,9.79,,SOULMAN'S BAR-B-QUE - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
DYN-O-MITE,8.99,,SOULMAN'S BAR-B-QUE - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
ONE MEAT PLATE,12.99,,SOULMAN'S BAR-B-QUE - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
TWO MEAT PLATE,14.99,,SOULMAN'S BAR-B-QUE - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
THREE MEAT PLATE,16.99,,SOULMAN'S BAR-B-QUE - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
1/2 SLAB OF RIBS PLATE,14.49,,SOULMAN'S BAR-B-QUE - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
SANDWICH PLATE,10.29,,SOULMAN'S BAR-B-QUE - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
WHOLE SLAB OF RIBS,19.99,,SOULMAN'S BAR-B-QUE - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
1/2 SLAB RIBS,9.99,,SOULMAN'S BAR-B-QUE - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
BEEF BRISKET 1 LB,17.99,,SOULMAN'S BAR-B-QUE - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
TURKEY 1 LB,15.99,,SOULMAN'S BAR-B-QUE - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
HAM 1 LB,15.99,,SOULMAN'S BAR-B-QUE - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
SAUSAGE 1 LB,15.99,,SOULMAN'S BAR-B-QUE - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
HOT LINKS 1 LB,15.99,,SOULMAN'S BAR-B-QUE - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
PULLED PORK 1 LB,15.99,,SOULMAN'S BAR-B-QUE - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
BEEF BRISKET 1/2 LB,8.99,,SOULMAN'S BAR-B-QUE - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
TURKEY 1/2 LB,7.99,,SOULMAN'S BAR-B-QUE - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
HAM 1/2 LB,7.99,,SOULMAN'S BAR-B-QUE - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
SAUSAGE 1/2 LB,7.99,,SOULMAN'S BAR-B-QUE - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
HOT LINKS 1/2 LB,7.99,,SOULMAN'S BAR-B-QUE - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
PULLED PORK 1/2 LB,7.99,,SOULMAN'S BAR-B-QUE - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
DOUBLE BARREL,9.49,,SOULMAN'S BAR-B-QUE - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
STUFFED YOUR WAY,5.99,,SOULMAN'S BAR-B-QUE - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
SOULMAN'S SANDWICH,6.59,,SOULMAN'S BAR-B-QUE - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
ROUND UP SANDWICH,5.59,,SOULMAN'S BAR-B-QUE - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
SIDES,2.25,,SOULMAN'S BAR-B-QUE - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
GALLON SWEET TEA,5.49,,SOULMAN'S BAR-B-QUE - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
GALLON UNSWEET TEA,5.49,,SOULMAN'S BAR-B-QUE - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
GALLON OF LEMONADE,5.49,,SOULMAN'S BAR-B-QUE - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
WHOLE PIE,13.99,,SOULMAN'S BAR-B-QUE - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
PECAN PIE,2.99,,SOULMAN'S BAR-B-QUE - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
BUTTERMILK PIE,2.99,,SOULMAN'S BAR-B-QUE - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
BANANA PUDDING,2.25,,SOULMAN'S BAR-B-QUE - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
