name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
PEPPERONI PIZZAWICH SUPER WICH,11.9,,WHICH WICH - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
TURKEY LARGE WICH,8.75,,WHICH WICH - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
ULTIMATE BLT,8.65,,WHICH WICH - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
GRINDER LARGE WICH,8.75,,WHICH WICH - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
CLUB LARGE WICH,8.75,,WHICH WICH - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
THE REUBEN,8.65,,WHICH WICH - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
AUTHENTIC PHILLY,8.65,,WHICH WICH - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
PROJECT PB AND J SANDWICH,3.0,,WHICH WICH - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
REGULAR WICH,8.5,,WHICH WICH - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
LARGE WICH,10.25,,WHICH WICH - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
SUPER WICH,13.9,,WHICH WICH - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
SALAD,7.95,,WHICH WICH - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
TURKEY REGULAR WICH,6.75,,WHICH WICH - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
TURKEY SUPER WICH,12.9,,WHICH WICH - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
HAM REGULAR WICH,6.75,,WHICH WICH - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
HAM LARGE WICH,8.75,,WHICH WICH - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
HAM SUPER WICH,11.9,,WHICH WICH - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
ROAST BEEF REGULAR WICH,6.75,,WHICH WICH - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
ROAST BEEF LARGE WICH,8.75,,WHICH WICH - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
ROAST BEEF SUPER WICH,11.9,,WHICH WICH - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
ROAST BEEF SALAD,6.95,,WHICH WICH - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
CORNED BEEF REGULAR WICH,6.75,,WHICH WICH - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
CORNED BEEF LARGE WICH,8.75,,WHICH WICH - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
CORNED BEEF SUPER WICH,11.9,,WHICH WICH - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
CHICKEN REGULAR WICH,6.75,,WHICH WICH - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
CHICKEN LARGE WICH,8.75,,WHICH WICH - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
CHICKEN SUPER WICH,11.9,,WHICH WICH - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
CHICKEN SALAD,6.95,,WHICH WICH - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
BUFFALO CHICKEN REGULAR WICH,6.75,,WHICH WICH - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
BUFFALO CHICKEN LARGE WICH,8.75,,WHICH WICH - ADDISON,"UBEREATS, ADDISON, TX",,,,,,,
