name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
GRANDPA ROLLING BEEF,10.5,,FOOKI,"UBEREATS, AIEA, HI",,,,,,,
FOOKI BAO,10.5,,FOOKI,"UBEREATS, AIEA, HI",,,,,,,
COWWOW BRAISED NOODLE SOUP,20.35,,FOOKI,"UBEREATS, AIEA, HI",,,,,,,
HOLY PORK NACHO,13.2,,FOOKI,"UBEREATS, AIEA, HI",,,,,,,
BOOM BOOM CHICKEN,13.2,,FOOKI,"UBEREATS, AIEA, HI",,,,,,,
COWWOW ORIGINAL NOODLE SOUP,19.25,,FOOKI,"UBEREATS, AIEA, HI",,,,,,,
CLASSIC BEEF NOODLE SOUP (ORIGINAL),15.95,,FOOKI,"UBEREATS, AIEA, HI",,,,,,,
CLASSIC BEEF NOODLE SOUP (HEARTY BRAISED),17.05,,FOOKI,"UBEREATS, AIEA, HI",,,,,,,
FOOKI WONTON NOODLE SOUP (ORIGINAL),13.8,,FOOKI,"UBEREATS, AIEA, HI",,,,,,,
FOOKI WONTON NOODLE SOUP (SPICY),14.9,,FOOKI,"UBEREATS, AIEA, HI",,,,,,,
MUSHROOM NOODLE SOUP,14.3,,FOOKI,"UBEREATS, AIEA, HI",,,,,,,
JAJANG NOODLE,14.3,,FOOKI,"UBEREATS, AIEA, HI",,,,,,,
MALA WONTON NOODLE,15.4,,FOOKI,"UBEREATS, AIEA, HI",,,,,,,
BEEF SCALLION NOODLES,14.3,,FOOKI,"UBEREATS, AIEA, HI",,,,,,,
VEGGIE SCALLION NOODLES,14.3,,FOOKI,"UBEREATS, AIEA, HI",,,,,,,
PINEAPPLE FRIED CHICKEN BURGER,16.5,,FOOKI,"UBEREATS, AIEA, HI",,,,,,,
DOUBLE DELIGHT POTSTICKERS,11.0,,FOOKI,"UBEREATS, AIEA, HI",,,,,,,
MALA WONTON,13.2,,FOOKI,"UBEREATS, AIEA, HI",,,,,,,
LIHINGMUI SWEET POTATO FRIES,6.6,,FOOKI,"UBEREATS, AIEA, HI",,,,,,,
CHUBBY RIB BOWL,19.75,,FOOKI,"UBEREATS, AIEA, HI",,,,,,,
FOOKI BELLY BOWL,16.0,,FOOKI,"UBEREATS, AIEA, HI",,,,,,,
HOLY PORKY BOWL,14.9,,FOOKI,"UBEREATS, AIEA, HI",,,,,,,
MONSTER PORK CHOP,15.4,,FOOKI,"UBEREATS, AIEA, HI",,,,,,,
TRIO-CUP CHICKEN,13.7,,FOOKI,"UBEREATS, AIEA, HI",,,,,,,
TIRAMISU COLD BREW COFFEE,5.2,,FOOKI,"UBEREATS, AIEA, HI",,,,,,,
COLD BREW COFFEE,4.4,,FOOKI,"UBEREATS, AIEA, HI",,,,,,,
ICED VIETNAMESE COFFEE,5.0,,FOOKI,"UBEREATS, AIEA, HI",,,,,,,
LUV YOU SO MATCHA,5.8,,FOOKI,"UBEREATS, AIEA, HI",,,,,,,
MOCHA LONDON FOG (HOT),5.8,,FOOKI,"UBEREATS, AIEA, HI",,,,,,,
PURE TEA,3.3,,FOOKI,"UBEREATS, AIEA, HI",,,,,,,
MILK TEA FOR REAL,5.0,,FOOKI,"UBEREATS, AIEA, HI",,,,,,,
TAIWANESE VINTAGE TEA,3.85,,FOOKI,"UBEREATS, AIEA, HI",,,,,,,
MINTY VIRGIN MOJITO,5.2,,FOOKI,"UBEREATS, AIEA, HI",,,,,,,
STRAWBERRY VIRGIN MOJITO,5.4,,FOOKI,"UBEREATS, AIEA, HI",,,,,,,
ICED HONEY LEMONADE,5.2,,FOOKI,"UBEREATS, AIEA, HI",,,,,,,
A CAN OF HAPPINESS,2.2,,FOOKI,"UBEREATS, AIEA, HI",,,,,,,
SWEETHEART EGG,2.2,,FOOKI,"UBEREATS, AIEA, HI",,,,,,,
SIDE BRAISED BEEF RIBS,6.05,,FOOKI,"UBEREATS, AIEA, HI",,,,,,,
SCALLION PANCAKE,5.5,,FOOKI,"UBEREATS, AIEA, HI",,,,,,,
WHITE RICE,2.2,,FOOKI,"UBEREATS, AIEA, HI",,,,,,,
EXTRA NOODLE,2.75,,FOOKI,"UBEREATS, AIEA, HI",,,,,,,
