name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
FORTY NINER BREAKFAST,11.57,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
DIRTY HASH LOCO MOCO,20.73,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
DA ORIGINAL,13.71,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
CORNBEEF HASH AND EGGS,14.88,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
LEMON RICOTTA PANCAKES WITH HONEY AND FRESH BERRIES,12.23,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
SMOKED MEAT WITH EGGS,14.88,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
HAWAIIAN BREAKFAST,15.05,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
STEAK AND EGGS,24.63,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
HAM STEAK AND EGGS,15.4,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
GRILLED PORK CHOPS WITH EGGS,18.15,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
UBE WAFFLES,14.23,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
FURIKAKE SALMON WITH WASABI AIOLI,18.13,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
CHORIZO HASH AND EGGS,13.23,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
MOLOKAI PORK ROAST,13.71,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
FORTY NINER LOCO MOCO,18.13,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
FRIED RICE OMELETE,14.36,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
KALUA PORK OMELETE,14.62,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
MEATEATER OMELETE,14.95,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
FORTY NINER OMELETE,13.95,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
VEGGIE OMELETE,13.85,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
PANCAKES,10.2,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
FORTY NINER PANCAKES,15.25,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
DA ELVIS PANCAKES,15.9,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
HAPA PANCAKES,13.95,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
PANCAKE BREAKFAST,11.11,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
BELGIAN WAFFLE,11.05,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
UNCLE BOY'S WAFFLE,14.85,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
FRIED CHICKEN AND WAFFLES,14.95,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
BANANA FRENCH TOAST,12.65,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
SWEET LEILANI BLUEBERRY FRENCH TOAST,15.25,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
HAMBURGER STEAK,14.69,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
PORK ROAST,13.69,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
TERIYAKI BEEF,14.06,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
BEEF CUTLET,13.69,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
HAWAIIAN RIBEYE STEAK,21.19,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
GARLIC CHICKEN,13.68,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
FRIED CHICKEN,12.18,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
BBQ CHICKEN,12.18,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
PORK CHOPS,16.18,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
PORK LECHON,16.18,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
CHOPPED STEAK,21.18,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
FORTY NINER BENTO,15.31,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
HAWAIIAN PLATE,16.87,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
FRIED SAIMIN,10.68,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
OXTAIL SOUP,19.95,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
HAMBURGER,4.35,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
CHEESEBURGER,6.15,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
DOUBLE CHEESEBURGER,8.65,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
TERI BURGER,4.95,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
TERI CHEESEBURGER,6.15,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
EGG BURGER,6.25,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
EGG CHEESEBURGER,7.15,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
TERI BEEF SANDWICH,5.95,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
GRILLED CHEESE SANDWICH,4.65,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
SMALL SAIMIN,6.85,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
LARGE SAIMIN,9.45,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
BIG BOY SAIMIN,12.45,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
OXTAIL SAIMIN,21.25,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
TERI BEEF,4.95,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
FRENCH FRIES,4.05,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
MACARONI SALAD,2.55,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
FOUNTAIN DRINK,2.95,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
GREEN RIVER,2.95,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
BOTTLED WATER,1.55,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
CANNED DRINKS,2.05,,FORTY NINER,"UBEREATS, AIEA, HI",,,,,,,
