name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
TAPAS SAMPLER PLATTER,14.0,,JILLY'S MUSIC ROOM,"UBEREATS, AKRON, OH",,,,,,,
POPCORN INDIVIDUAL BOWL,2.5,,JILLY'S MUSIC ROOM,"UBEREATS, AKRON, OH",,,,,,,
POPCORN SHARING BOWL,6.0,,JILLY'S MUSIC ROOM,"UBEREATS, AKRON, OH",,,,,,,
WASABI DEVILED EGGS,6.0,,JILLY'S MUSIC ROOM,"UBEREATS, AKRON, OH",,,,,,,
FRIED MUSHROOMS,6.0,,JILLY'S MUSIC ROOM,"UBEREATS, AKRON, OH",,,,,,,
CHEESE STICKS,6.5,,JILLY'S MUSIC ROOM,"UBEREATS, AKRON, OH",,,,,,,
ARTICHOKE FRITTERS,6.5,,JILLY'S MUSIC ROOM,"UBEREATS, AKRON, OH",,,,,,,
RICE BALLS,8.0,,JILLY'S MUSIC ROOM,"UBEREATS, AKRON, OH",,,,,,,
CAULIFLOWER BITES,8.5,,JILLY'S MUSIC ROOM,"UBEREATS, AKRON, OH",,,,,,,
ONION RINGS,8.5,,JILLY'S MUSIC ROOM,"UBEREATS, AKRON, OH",,,,,,,
FRIED PICKLES,6.5,,JILLY'S MUSIC ROOM,"UBEREATS, AKRON, OH",,,,,,,
STUFFED DATES,7.0,,JILLY'S MUSIC ROOM,"UBEREATS, AKRON, OH",,,,,,,
KALE & ARTICHOKE DIP,7.5,,JILLY'S MUSIC ROOM,"UBEREATS, AKRON, OH",,,,,,,
HUMMUS,7.0,,JILLY'S MUSIC ROOM,"UBEREATS, AKRON, OH",,,,,,,
JILLY'S SIGNATURE WINGS,9.0,,JILLY'S MUSIC ROOM,"UBEREATS, AKRON, OH",,,,,,,
TRADITIONAL WINGS,9.0,,JILLY'S MUSIC ROOM,"UBEREATS, AKRON, OH",,,,,,,
BLACKENED SHRIMP,9.5,,JILLY'S MUSIC ROOM,"UBEREATS, AKRON, OH",,,,,,,
MUSSELS,10.5,,JILLY'S MUSIC ROOM,"UBEREATS, AKRON, OH",,,,,,,
FIRECRACKER SHRIMP,9.5,,JILLY'S MUSIC ROOM,"UBEREATS, AKRON, OH",,,,,,,
CAPRESE SALAD,7.0,,JILLY'S MUSIC ROOM,"UBEREATS, AKRON, OH",,,,,,,
WEDGE,7.0,,JILLY'S MUSIC ROOM,"UBEREATS, AKRON, OH",,,,,,,
GARDEN SALAD,7.0,,JILLY'S MUSIC ROOM,"UBEREATS, AKRON, OH",,,,,,,
BRIE FLATBREAD,11.0,,JILLY'S MUSIC ROOM,"UBEREATS, AKRON, OH",,,,,,,
BUFFALO CHICKEN FLATBREAD,12.0,,JILLY'S MUSIC ROOM,"UBEREATS, AKRON, OH",,,,,,,
CAPRESE FLATBREAD,11.0,,JILLY'S MUSIC ROOM,"UBEREATS, AKRON, OH",,,,,,,
SHRIMP ALFREDO FLATBREAD,12.0,,JILLY'S MUSIC ROOM,"UBEREATS, AKRON, OH",,,,,,,
SUNDRIED TOMATO PESTO CHICKEN FLATBREAD,12.0,,JILLY'S MUSIC ROOM,"UBEREATS, AKRON, OH",,,,,,,
ZUCCHINI PARMESAN FLATBREAD,12.0,,JILLY'S MUSIC ROOM,"UBEREATS, AKRON, OH",,,,,,,
PHILLY FLATBREAD,12.0,,JILLY'S MUSIC ROOM,"UBEREATS, AKRON, OH",,,,,,,
GARLIC BACON FLATBREAD,13.0,,JILLY'S MUSIC ROOM,"UBEREATS, AKRON, OH",,,,,,,
BBQ PULLED PORK FLATBREAD,12.0,,JILLY'S MUSIC ROOM,"UBEREATS, AKRON, OH",,,,,,,
CHEESEBURGER FLATBREAD,13.0,,JILLY'S MUSIC ROOM,"UBEREATS, AKRON, OH",,,,,,,
THREE CHEESE FLATBREAD,11.5,,JILLY'S MUSIC ROOM,"UBEREATS, AKRON, OH",,,,,,,
KIELBASA KEBAB,8.5,,JILLY'S MUSIC ROOM,"UBEREATS, AKRON, OH",,,,,,,
CHICKEN SATAY,9.0,,JILLY'S MUSIC ROOM,"UBEREATS, AKRON, OH",,,,,,,
STEAK SKEWER,9.5,,JILLY'S MUSIC ROOM,"UBEREATS, AKRON, OH",,,,,,,
YELLOW FIN TUNA SKEWER,9.0,,JILLY'S MUSIC ROOM,"UBEREATS, AKRON, OH",,,,,,,
SHRIMP SKEWER,9.5,,JILLY'S MUSIC ROOM,"UBEREATS, AKRON, OH",,,,,,,
TRIO OF STREET TACOS,11.0,,JILLY'S MUSIC ROOM,"UBEREATS, AKRON, OH",,,,,,,
CLASSIC BRUSCHETTA,6.5,,JILLY'S MUSIC ROOM,"UBEREATS, AKRON, OH",,,,,,,
JILLY'S BARK,5.5,,JILLY'S MUSIC ROOM,"UBEREATS, AKRON, OH",,,,,,,
