name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
FRENCH FRIES,2.34,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
10 PC. CRISPY CHICKEN NUGGETS,5.28,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
SPICY JALAPEÑO POPPER SANDWICH,7.74,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
6 PC. CRISPY CHICKEN NUGGETS,3.4,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
10 PC. SPICY CHICKEN NUGGET,5.28,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
DAVE'S COMBO,8.8,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
BACONATOR,12.44,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
CLASSIC CHICKEN SANDWICH COMBO,9.51,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
GRILLED CHICKEN SANDWICH COMBO,9.51,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
SPICY CHICKEN SANDWICH COMBO,9.51,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
BIG BACON CLASSIC COMBO,10.09,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
PRETZEL BACON PUB CHEESEBURGER COMBO,10.21,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
BOURBON BACON CHEESEBURGER COMBO,10.21,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
ASIAGO RANCH CHICKEN CLUB COMBO,10.56,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
PRETZEL BACON PUB CHICKEN SANDWICH COMBO,10.92,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
JALAPEÑO POPPER CHICKEN SANDWICH COMBO,10.92,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
"2 SPICY CHICKENS, 2 JBCS & 4 SM FRIES",17.63,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
BOURBON BACON CHEESEBURGER,7.04,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
BOURBON BACON CHEESEBURGER DOUBLE,8.45,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
BOURBON BACON CHEESEBURGER TRIPLE,9.62,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
PRETZEL BACON PUB CHEESEBURGER,7.04,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
PRETZEL BACON PUB DOUBLE,8.45,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
PRETZEL BACON PUB TRIPLE,9.62,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
DAVE'S SINGLE,5.63,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
DAVE'S DOUBLE,7.04,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
DAVE'S TRIPLE,8.21,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
SON OF BACONATOR,6.33,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
BIG BACON CLASSIC,6.92,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
BIG BACON CLASSIC DOUBLE,8.33,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
BIG BACON CLASSIC TRIPLE,9.51,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
BACON DOUBLE STACK,4.1,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
JR. BACON CHEESEBURGER,2.93,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
JR. CHEESEBURGER DELUXE,2.57,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
JR. CHEESEBURGER,1.99,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
DOUBLE STACK™,3.63,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
JR. HAMBURGER,1.75,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
CLASSIC JALAPEÑO POPPER SANDWICH,7.74,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
GRILLED JALAPEÑO POPPER SANDWICH,7.74,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
PRETZEL BACON PUB CHICKEN,7.74,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
SPICY PRETZEL BACON PUB,7.74,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
GRILLED PRETZEL BACON PUB,7.74,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
6 PC. SPICY CHICKEN NUGGETS,3.4,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
4 PC. SPICY CHICKEN NUGGETS,1.87,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
SPICY CHICKEN SANDWICH,6.33,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
CLASSIC CHICKEN SANDWICH,6.33,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
GRILLED CHICKEN SANDWICH,6.33,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
ASIAGO RANCH CLASSIC CHICKEN CLUB,7.39,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
SPICY ASIAGO RANCH CLUB,7.39,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
GRILLED ASIAGO RANCH CLUB,7.39,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
CRISPY CHICKEN BLT,3.04,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
CRISPY CHICKEN SANDWICH,2.1,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
4 PC. CRISPY CHICKEN NUGGETS,1.99,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
CRISPY PANKO FISH SANDWICH,5.86,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
SUMMER STRAWBERRY SALAD,8.45,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
JALAPEÑO POPPER SALAD,8.45,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
PARMESAN CAESAR SALAD,8.45,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
SOUTHWEST AVOCADO SALAD,8.45,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
TACO SALAD,8.45,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
APPLE PECAN SALAD,8.45,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
PUB FRIES,3.98,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
BACONATOR FRIES,3.98,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
CHILI CHEESE FRIES,3.98,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
CHEESE FRIES,2.57,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
FAMILY CHILI,11.74,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
CHILI,3.04,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
SOUR CREAM AND CHIVE BAKED POTATO,2.34,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
PLAIN BAKED POTATO,2.34,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
BACON CHEESE BAKED POTATO,3.98,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
CHILI & CHEESE BAKED POTATO,3.98,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
CHEESE BAKED POTATO,3.75,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
APPLE BITES,1.52,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
STRAWBERRIES,2.1,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
PINEAPPLE MANGO LEMONADE,2.69,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
TROPICAL BERRY LEMONADE,2.69,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
ALL-NATURAL LEMONADE,2.69,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
STRAWBERRY LEMONADE,2.69,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
COCA-COLA,2.22,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
COCA-COLA ZERO SUGAR,2.22,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
DIET COKE,2.22,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
SPRITE,2.22,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
DR PEPPER,2.22,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
BARQ'S ROOT BEER,2.22,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
FANTA ORANGE,2.22,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
HI-C FLASHIN' FRUIT PUNCH,2.22,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
ICED TEA,2.1,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
SWEET ICED TEA,2.1,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
NESTLÉ PURE LIFE BOTTLED WATER,1.87,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
FRESH BREWED COFFEE,1.52,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
FRESH BREWED DECAFFEINATED COFFEE,1.52,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
MILK,1.87,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
CHOCOLATE MILK,1.87,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
COLD BREW ICED COFFEE,2.93,,WENDY'S,"1266 CANTON RD, UBEREATS, AKRON, OH",,,,,,,
