name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CALIFORNIA ROLL,7.95,,BLUEFIN SUSHI THAI,"UBEREATS, ALAMEDA, CA",,,,,,,
GYOZA,7.95,,BLUEFIN SUSHI THAI,"UBEREATS, ALAMEDA, CA",,,,,,,
LION KING ROLL,14.95,,BLUEFIN SUSHI THAI,"UBEREATS, ALAMEDA, CA",,,,,,,
SAKE SASHIMI,7.95,,BLUEFIN SUSHI THAI,"UBEREATS, ALAMEDA, CA",,,,,,,
PAD THAI,12.95,,BLUEFIN SUSHI THAI,"UBEREATS, ALAMEDA, CA",,,,,,,
MISO SOUP,3.25,,BLUEFIN SUSHI THAI,"UBEREATS, ALAMEDA, CA",,,,,,,
TOM YUM,12.95,,BLUEFIN SUSHI THAI,"UBEREATS, ALAMEDA, CA",,,,,,,
TOM KHA,12.95,,BLUEFIN SUSHI THAI,"UBEREATS, ALAMEDA, CA",,,,,,,
WONTON SOUP,12.95,,BLUEFIN SUSHI THAI,"UBEREATS, ALAMEDA, CA",,,,,,,
SPICY SEAFOOD UDON,16.95,,BLUEFIN SUSHI THAI,"UBEREATS, ALAMEDA, CA",,,,,,,
BEEF UDON,16.95,,BLUEFIN SUSHI THAI,"UBEREATS, ALAMEDA, CA",,,,,,,
CHICKEN NOODLE SOUP,12.95,,BLUEFIN SUSHI THAI,"UBEREATS, ALAMEDA, CA",,,,,,,
VEGGIE NOODLE SOUP,10.95,,BLUEFIN SUSHI THAI,"UBEREATS, ALAMEDA, CA",,,,,,,
TEMPURA UDON,16.95,,BLUEFIN SUSHI THAI,"UBEREATS, ALAMEDA, CA",,,,,,,
SEAFOOD SEAWEED SALAD,15.95,,BLUEFIN SUSHI THAI,"UBEREATS, ALAMEDA, CA",,,,,,,
HOUSE SALAD,8.95,,BLUEFIN SUSHI THAI,"UBEREATS, ALAMEDA, CA",,,,,,,
GRILLED BEEF SALAD,15.95,,BLUEFIN SUSHI THAI,"UBEREATS, ALAMEDA, CA",,,,,,,
AVOCADO SALAD,12.95,,BLUEFIN SUSHI THAI,"UBEREATS, ALAMEDA, CA",,,,,,,
SPICY TUNA SALAD,13.95,,BLUEFIN SUSHI THAI,"UBEREATS, ALAMEDA, CA",,,,,,,
PAPAYA SALAD,12.95,,BLUEFIN SUSHI THAI,"UBEREATS, ALAMEDA, CA",,,,,,,
GRILLED CHICKEN SALAD,12.95,,BLUEFIN SUSHI THAI,"UBEREATS, ALAMEDA, CA",,,,,,,
GRILLED SALMON SALAD,15.95,,BLUEFIN SUSHI THAI,"UBEREATS, ALAMEDA, CA",,,,,,,
SPRING ROLL,7.95,,BLUEFIN SUSHI THAI,"UBEREATS, ALAMEDA, CA",,,,,,,
CHICKEN SATAY,9.45,,BLUEFIN SUSHI THAI,"UBEREATS, ALAMEDA, CA",,,,,,,
FRIED TOFU,8.95,,BLUEFIN SUSHI THAI,"UBEREATS, ALAMEDA, CA",,,,,,,
FRIED CALAMARI,9.95,,BLUEFIN SUSHI THAI,"UBEREATS, ALAMEDA, CA",,,,,,,
EDAMAME,6.95,,BLUEFIN SUSHI THAI,"UBEREATS, ALAMEDA, CA",,,,,,,
MIX TEMPURA,11.95,,BLUEFIN SUSHI THAI,"UBEREATS, ALAMEDA, CA",,,,,,,
SHRIMP TEMPURA,8.95,,BLUEFIN SUSHI THAI,"UBEREATS, ALAMEDA, CA",,,,,,,
FRESH ROLL,8.45,,BLUEFIN SUSHI THAI,"UBEREATS, ALAMEDA, CA",,,,,,,
CHICKEN WINGS,9.95,,BLUEFIN SUSHI THAI,"UBEREATS, ALAMEDA, CA",,,,,,,
WAKAME,6.95,,BLUEFIN SUSHI THAI,"UBEREATS, ALAMEDA, CA",,,,,,,
