name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CURLY FRIES (REGULAR),3.96,,CHEESE STEAK SHOP,"UBEREATS, ALAMEDA, CA",,,,,,,
STEAK FRIES (REGULAR),3.83,,CHEESE STEAK SHOP,"UBEREATS, ALAMEDA, CA",,,,,,,
SWEET POTATO FRIES (REGULAR),4.47,,CHEESE STEAK SHOP,"UBEREATS, ALAMEDA, CA",,,,,,,
HANK'S ROOT BEER BOTTLE,3.83,,CHEESE STEAK SHOP,"UBEREATS, ALAMEDA, CA",,,,,,,
STEAK FRIES (LARGE),5.11,,CHEESE STEAK SHOP,"UBEREATS, ALAMEDA, CA",,,,,,,
CLASSIC PHILLY CHEESE STEAK (HALF),8.31,,CHEESE STEAK SHOP,"UBEREATS, ALAMEDA, CA",,,,,,,
THE HOAGIE (HALF),8.82,,CHEESE STEAK SHOP,"UBEREATS, ALAMEDA, CA",,,,,,,
MOTOWN PHILLY (HALF),8.82,,CHEESE STEAK SHOP,"UBEREATS, ALAMEDA, CA",,,,,,,
PIZZA STEAK (HALF),8.82,,CHEESE STEAK SHOP,"UBEREATS, ALAMEDA, CA",,,,,,,
SOUTH PHILLY (HALF),8.82,,CHEESE STEAK SHOP,"UBEREATS, ALAMEDA, CA",,,,,,,
CHILLIN' CHILI (HALF),8.82,,CHEESE STEAK SHOP,"UBEREATS, ALAMEDA, CA",,,,,,,
PAT'S BBQ (HALF),8.82,,CHEESE STEAK SHOP,"UBEREATS, ALAMEDA, CA",,,,,,,
WESTERN (HALF),8.82,,CHEESE STEAK SHOP,"UBEREATS, ALAMEDA, CA",,,,,,,
PHILLY JOE'S (HALF),8.82,,CHEESE STEAK SHOP,"UBEREATS, ALAMEDA, CA",,,,,,,
SIZZLIN' PIG (HALF),8.82,,CHEESE STEAK SHOP,"UBEREATS, ALAMEDA, CA",,,,,,,
THE GILROY (HALF),8.82,,CHEESE STEAK SHOP,"UBEREATS, ALAMEDA, CA",,,,,,,
ORIGINAL VEGETARIAN SANDWICH (LARGE),12.28,,CHEESE STEAK SHOP,"UBEREATS, ALAMEDA, CA",,,,,,,
ORIGINAL VEGETARIAN SANDWICH (HALF),8.18,,CHEESE STEAK SHOP,"UBEREATS, ALAMEDA, CA",,,,,,,
ZESTY VEGGIE SANDWICH (LARGE),12.28,,CHEESE STEAK SHOP,"UBEREATS, ALAMEDA, CA",,,,,,,
ZESTY VEGGIE SANDWICH (HALF),8.18,,CHEESE STEAK SHOP,"UBEREATS, ALAMEDA, CA",,,,,,,
PHILLY SALAD,12.53,,CHEESE STEAK SHOP,"UBEREATS, ALAMEDA, CA",,,,,,,
GARDEN SALAD,8.56,,CHEESE STEAK SHOP,"UBEREATS, ALAMEDA, CA",,,,,,,
SIDE SALAD,5.36,,CHEESE STEAK SHOP,"UBEREATS, ALAMEDA, CA",,,,,,,
KID'S CHICKEN TENDERS,3.07,,CHEESE STEAK SHOP,"UBEREATS, ALAMEDA, CA",,,,,,,
KID'S CHEESE STEAK SANDWICH,3.07,,CHEESE STEAK SHOP,"UBEREATS, ALAMEDA, CA",,,,,,,
KID'S GRILLED CHEESE SANDWICH,3.07,,CHEESE STEAK SHOP,"UBEREATS, ALAMEDA, CA",,,,,,,
PHILLY CHEESE FRIES,10.48,,CHEESE STEAK SHOP,"UBEREATS, ALAMEDA, CA",,,,,,,
CURLY FRIES (LARGE),5.24,,CHEESE STEAK SHOP,"UBEREATS, ALAMEDA, CA",,,,,,,
HOUSE MADE CHIPS (LARGE),5.88,,CHEESE STEAK SHOP,"UBEREATS, ALAMEDA, CA",,,,,,,
HOUSE MADE CHIPS (REGULAR),4.6,,CHEESE STEAK SHOP,"UBEREATS, ALAMEDA, CA",,,,,,,
SWEET POTATO FRIES (LARGE),5.75,,CHEESE STEAK SHOP,"UBEREATS, ALAMEDA, CA",,,,,,,
ONION RINGS (LARGE),6.39,,CHEESE STEAK SHOP,"UBEREATS, ALAMEDA, CA",,,,,,,
ONION RINGS (REGULAR),4.6,,CHEESE STEAK SHOP,"UBEREATS, ALAMEDA, CA",,,,,,,
CHICKEN TENDERS (LARGE),9.2,,CHEESE STEAK SHOP,"UBEREATS, ALAMEDA, CA",,,,,,,
CHICKEN TENDERS (REGULAR),6.52,,CHEESE STEAK SHOP,"UBEREATS, ALAMEDA, CA",,,,,,,
BOTTLED WATER,3.44,,CHEESE STEAK SHOP,"UBEREATS, ALAMEDA, CA",,,,,,,
MOTT'S APPLE JUICE BOX,2.18,,CHEESE STEAK SHOP,"UBEREATS, ALAMEDA, CA",,,,,,,
MOTT'S FRUIT PUNCH BOX,2.18,,CHEESE STEAK SHOP,"UBEREATS, ALAMEDA, CA",,,,,,,
GATORADE FRUIT PUNCH,3.83,,CHEESE STEAK SHOP,"UBEREATS, ALAMEDA, CA",,,,,,,
GATORADE GLACIER ICE,3.83,,CHEESE STEAK SHOP,"UBEREATS, ALAMEDA, CA",,,,,,,
GATORADE LEMON LIME,3.83,,CHEESE STEAK SHOP,"UBEREATS, ALAMEDA, CA",,,,,,,
GATORADE ORANGE,3.83,,CHEESE STEAK SHOP,"UBEREATS, ALAMEDA, CA",,,,,,,
MOUNTAIN DEW,3.7,,CHEESE STEAK SHOP,"UBEREATS, ALAMEDA, CA",,,,,,,
DIET PEPSI,3.7,,CHEESE STEAK SHOP,"UBEREATS, ALAMEDA, CA",,,,,,,
MUG ROOT BEER,3.7,,CHEESE STEAK SHOP,"UBEREATS, ALAMEDA, CA",,,,,,,
PEPSI,3.7,,CHEESE STEAK SHOP,"UBEREATS, ALAMEDA, CA",,,,,,,
DR. PEPPER,3.7,,CHEESE STEAK SHOP,"UBEREATS, ALAMEDA, CA",,,,,,,
HANK'S ORANGE BOTTLE,3.83,,CHEESE STEAK SHOP,"UBEREATS, ALAMEDA, CA",,,,,,,
HANK'S BLACK CHERRY BOTTLE,3.83,,CHEESE STEAK SHOP,"UBEREATS, ALAMEDA, CA",,,,,,,
