name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
COKE BOTTLE,3.23,,FIVE GUYS CA-1624 2254 SOUTH SHORE CENTER,"UBEREATS, ALAMEDA, CA",,,,,,,
SPRITE BOTTLE,3.23,,FIVE GUYS CA-1624 2254 SOUTH SHORE CENTER,"UBEREATS, ALAMEDA, CA",,,,,,,
SIMPLY LEMONADE,3.23,,FIVE GUYS CA-1624 2254 SOUTH SHORE CENTER,"UBEREATS, ALAMEDA, CA",,,,,,,
HAMBURGER,10.43,,FIVE GUYS CA-1624 2254 SOUTH SHORE CENTER,"UBEREATS, ALAMEDA, CA",,,,,,,
CHEESEBURGER,11.39,,FIVE GUYS CA-1624 2254 SOUTH SHORE CENTER,"UBEREATS, ALAMEDA, CA",,,,,,,
BACON BURGER,11.39,,FIVE GUYS CA-1624 2254 SOUTH SHORE CENTER,"UBEREATS, ALAMEDA, CA",,,,,,,
BACON CHEESEBURGER,11.63,,FIVE GUYS CA-1624 2254 SOUTH SHORE CENTER,"UBEREATS, ALAMEDA, CA",,,,,,,
LITTLE HAMBURGER,7.91,,FIVE GUYS CA-1624 2254 SOUTH SHORE CENTER,"UBEREATS, ALAMEDA, CA",,,,,,,
LITTLE CHEESEBURGER,8.87,,FIVE GUYS CA-1624 2254 SOUTH SHORE CENTER,"UBEREATS, ALAMEDA, CA",,,,,,,
LITTLE BACON BURGER,8.87,,FIVE GUYS CA-1624 2254 SOUTH SHORE CENTER,"UBEREATS, ALAMEDA, CA",,,,,,,
LITTLE BACON CHEESEBURGER,10.07,,FIVE GUYS CA-1624 2254 SOUTH SHORE CENTER,"UBEREATS, ALAMEDA, CA",,,,,,,
KOSHER STYLE HOT DOG,7.67,,FIVE GUYS CA-1624 2254 SOUTH SHORE CENTER,"UBEREATS, ALAMEDA, CA",,,,,,,
CHEESE DOG,8.39,,FIVE GUYS CA-1624 2254 SOUTH SHORE CENTER,"UBEREATS, ALAMEDA, CA",,,,,,,
BACON DOG,8.39,,FIVE GUYS CA-1624 2254 SOUTH SHORE CENTER,"UBEREATS, ALAMEDA, CA",,,,,,,
BACON CHEESE DOG,9.59,,FIVE GUYS CA-1624 2254 SOUTH SHORE CENTER,"UBEREATS, ALAMEDA, CA",,,,,,,
GRILLED CHEESE SANDWICH,6.11,,FIVE GUYS CA-1624 2254 SOUTH SHORE CENTER,"UBEREATS, ALAMEDA, CA",,,,,,,
BLT SANDWICH,7.55,,FIVE GUYS CA-1624 2254 SOUTH SHORE CENTER,"UBEREATS, ALAMEDA, CA",,,,,,,
VEGGIE SANDWICH,5.51,,FIVE GUYS CA-1624 2254 SOUTH SHORE CENTER,"UBEREATS, ALAMEDA, CA",,,,,,,
VEGGIE CHEESE SANDWICH,6.11,,FIVE GUYS CA-1624 2254 SOUTH SHORE CENTER,"UBEREATS, ALAMEDA, CA",,,,,,,
LITTLE FRIES,4.43,,FIVE GUYS CA-1624 2254 SOUTH SHORE CENTER,"UBEREATS, ALAMEDA, CA",,,,,,,
REGULAR FRIES,5.63,,FIVE GUYS CA-1624 2254 SOUTH SHORE CENTER,"UBEREATS, ALAMEDA, CA",,,,,,,
LARGE FRIES,7.31,,FIVE GUYS CA-1624 2254 SOUTH SHORE CENTER,"UBEREATS, ALAMEDA, CA",,,,,,,
LITTLE CAJUN FRIES,4.43,,FIVE GUYS CA-1624 2254 SOUTH SHORE CENTER,"UBEREATS, ALAMEDA, CA",,,,,,,
REGULAR CAJUN FRIES,5.63,,FIVE GUYS CA-1624 2254 SOUTH SHORE CENTER,"UBEREATS, ALAMEDA, CA",,,,,,,
LARGE CAJUN FRIES,7.31,,FIVE GUYS CA-1624 2254 SOUTH SHORE CENTER,"UBEREATS, ALAMEDA, CA",,,,,,,
DASANI,2.39,,FIVE GUYS CA-1624 2254 SOUTH SHORE CENTER,"UBEREATS, ALAMEDA, CA",,,,,,,
HONEST GREEN TEA,3.35,,FIVE GUYS CA-1624 2254 SOUTH SHORE CENTER,"UBEREATS, ALAMEDA, CA",,,,,,,
DIET COKE BOTTLE,3.23,,FIVE GUYS CA-1624 2254 SOUTH SHORE CENTER,"UBEREATS, ALAMEDA, CA",,,,,,,
MILKSHAKE,5.99,,FIVE GUYS CA-1624 2254 SOUTH SHORE CENTER,"UBEREATS, ALAMEDA, CA",,,,,,,
