name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CHICKEN KATSU,11.95,,OHANA HAWAIIAN BBQ,"UBEREATS, ALAMEDA, CA",,,,,,,
BBQ CHICKEN,11.95,,OHANA HAWAIIAN BBQ,"UBEREATS, ALAMEDA, CA",,,,,,,
BBQ MIX,13.95,,OHANA HAWAIIAN BBQ,"UBEREATS, ALAMEDA, CA",,,,,,,
HAWAIIAN SUNRISE SMOOTHIE,4.75,,OHANA HAWAIIAN BBQ,"UBEREATS, ALAMEDA, CA",,,,,,,
LOCO MOCO,12.95,,OHANA HAWAIIAN BBQ,"UBEREATS, ALAMEDA, CA",,,,,,,
OHANA FAMILY MEAL,46.95,,OHANA HAWAIIAN BBQ,"UBEREATS, ALAMEDA, CA",,,,,,,
SURF AND TURF,13.95,,OHANA HAWAIIAN BBQ,"UBEREATS, ALAMEDA, CA",,,,,,,
BBQ SHORT RIB,12.95,,OHANA HAWAIIAN BBQ,"UBEREATS, ALAMEDA, CA",,,,,,,
KALUA PORK,12.95,,OHANA HAWAIIAN BBQ,"UBEREATS, ALAMEDA, CA",,,,,,,
HALF COMBO,12.95,,OHANA HAWAIIAN BBQ,"UBEREATS, ALAMEDA, CA",,,,,,,
LAU LAU COMBO,13.95,,OHANA HAWAIIAN BBQ,"UBEREATS, ALAMEDA, CA",,,,,,,
BBQ CHICKEN BOWL,8.95,,OHANA HAWAIIAN BBQ,"UBEREATS, ALAMEDA, CA",,,,,,,
BBQ PORK BOWL,8.95,,OHANA HAWAIIAN BBQ,"UBEREATS, ALAMEDA, CA",,,,,,,
BBQ BEEF BOWL,9.95,,OHANA HAWAIIAN BBQ,"UBEREATS, ALAMEDA, CA",,,,,,,
GRILLED FISH BOWL,9.95,,OHANA HAWAIIAN BBQ,"UBEREATS, ALAMEDA, CA",,,,,,,
KATSU CHICKEN BOWL,8.95,,OHANA HAWAIIAN BBQ,"UBEREATS, ALAMEDA, CA",,,,,,,
KATSU CURRY CHICKEN BOWL,8.95,,OHANA HAWAIIAN BBQ,"UBEREATS, ALAMEDA, CA",,,,,,,
LOCO MOCO BOWL,9.95,,OHANA HAWAIIAN BBQ,"UBEREATS, ALAMEDA, CA",,,,,,,
KALUA PORK BOWL,8.95,,OHANA HAWAIIAN BBQ,"UBEREATS, ALAMEDA, CA",,,,,,,
SPAM BOWL,8.95,,OHANA HAWAIIAN BBQ,"UBEREATS, ALAMEDA, CA",,,,,,,
SHRIMP BOWL,9.95,,OHANA HAWAIIAN BBQ,"UBEREATS, ALAMEDA, CA",,,,,,,
VOLCANO BOWL,8.95,,OHANA HAWAIIAN BBQ,"UBEREATS, ALAMEDA, CA",,,,,,,
GRAVY KATSU BOWL,8.95,,OHANA HAWAIIAN BBQ,"UBEREATS, ALAMEDA, CA",,,,,,,
BEEF BURGER BOWL,9.95,,OHANA HAWAIIAN BBQ,"UBEREATS, ALAMEDA, CA",,,,,,,
VOLCANO CHICKEN,11.95,,OHANA HAWAIIAN BBQ,"UBEREATS, ALAMEDA, CA",,,,,,,
CHICKEN GRAVY KATSU,11.95,,OHANA HAWAIIAN BBQ,"UBEREATS, ALAMEDA, CA",,,,,,,
CHICKEN CURRY KATSU,11.95,,OHANA HAWAIIAN BBQ,"UBEREATS, ALAMEDA, CA",,,,,,,
FLAMING CHICKEN,11.95,,OHANA HAWAIIAN BBQ,"UBEREATS, ALAMEDA, CA",,,,,,,
CHICKEN WING,11.95,,OHANA HAWAIIAN BBQ,"UBEREATS, ALAMEDA, CA",,,,,,,
SWEET AND SOUR KATSU,11.95,,OHANA HAWAIIAN BBQ,"UBEREATS, ALAMEDA, CA",,,,,,,
PANKO SHRIMP,12.95,,OHANA HAWAIIAN BBQ,"UBEREATS, ALAMEDA, CA",,,,,,,
FISH AND CHIP,12.95,,OHANA HAWAIIAN BBQ,"UBEREATS, ALAMEDA, CA",,,,,,,
FRIED ISLAND FISH,12.95,,OHANA HAWAIIAN BBQ,"UBEREATS, ALAMEDA, CA",,,,,,,
GRILLED FISH,12.95,,OHANA HAWAIIAN BBQ,"UBEREATS, ALAMEDA, CA",,,,,,,
SPAM LOCO MOCO,12.95,,OHANA HAWAIIAN BBQ,"UBEREATS, ALAMEDA, CA",,,,,,,
BBQ BEEF,12.95,,OHANA HAWAIIAN BBQ,"UBEREATS, ALAMEDA, CA",,,,,,,
HAMBURGER STEAK,12.95,,OHANA HAWAIIAN BBQ,"UBEREATS, ALAMEDA, CA",,,,,,,
BBQ PORK,12.95,,OHANA HAWAIIAN BBQ,"UBEREATS, ALAMEDA, CA",,,,,,,
KALUA CABBAGE,12.95,,OHANA HAWAIIAN BBQ,"UBEREATS, ALAMEDA, CA",,,,,,,
BBQ SHORT RIBS,12.95,,OHANA HAWAIIAN BBQ,"UBEREATS, ALAMEDA, CA",,,,,,,
GROUND BEEF STEAK,12.95,,OHANA HAWAIIAN BBQ,"UBEREATS, ALAMEDA, CA",,,,,,,
SPAM MUSUBI,3.0,,OHANA HAWAIIAN BBQ,"UBEREATS, ALAMEDA, CA",,,,,,,
KATSU MUSUBI,3.0,,OHANA HAWAIIAN BBQ,"UBEREATS, ALAMEDA, CA",,,,,,,
BBQ CHICKEN MUSUBI (1 PC),3.0,,OHANA HAWAIIAN BBQ,"UBEREATS, ALAMEDA, CA",,,,,,,
BBQ CHICKEN SAIMIN,8.95,,OHANA HAWAIIAN BBQ,"UBEREATS, ALAMEDA, CA",,,,,,,
CHICKEN KATSU SAIMIN,8.95,,OHANA HAWAIIAN BBQ,"UBEREATS, ALAMEDA, CA",,,,,,,
BBQ PORK SAIMIN,8.95,,OHANA HAWAIIAN BBQ,"UBEREATS, ALAMEDA, CA",,,,,,,
