name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
BEEF NAHARI,14.99,,GOURMET RESTAURANT & SWEETS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
WHITE BOILED RICE,5.99,,GOURMET RESTAURANT & SWEETS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
DAL TARKA,8.99,,GOURMET RESTAURANT & SWEETS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
CHICKEN BIRYANI,14.99,,GOURMET RESTAURANT & SWEETS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
ALOO MUTTER,12.99,,GOURMET RESTAURANT & SWEETS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
RAS MALAI,5.99,,GOURMET RESTAURANT & SWEETS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
KHEER,5.0,,GOURMET RESTAURANT & SWEETS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
GAJRELA,5.99,,GOURMET RESTAURANT & SWEETS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
ZARDA,5.99,,GOURMET RESTAURANT & SWEETS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
GAJAR KA HALWA,5.99,,GOURMET RESTAURANT & SWEETS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
FALOODA,7.99,,GOURMET RESTAURANT & SWEETS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
DAHI BHARA,8.99,,GOURMET RESTAURANT & SWEETS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
TANDOORI ROTI,2.5,,GOURMET RESTAURANT & SWEETS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
TANDOORI NAAN,3.0,,GOURMET RESTAURANT & SWEETS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
ROGHANI NAAN,4.0,,GOURMET RESTAURANT & SWEETS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
PARATHA,3.99,,GOURMET RESTAURANT & SWEETS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
ALOO PARATHA,5.99,,GOURMET RESTAURANT & SWEETS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
KEEMA NAAN,5.99,,GOURMET RESTAURANT & SWEETS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
GARLIC NAAN,3.5,,GOURMET RESTAURANT & SWEETS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
MANGO LASSI,5.0,,GOURMET RESTAURANT & SWEETS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
SWEET LASSI,4.99,,GOURMET RESTAURANT & SWEETS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
SODA (CAN),1.5,,GOURMET RESTAURANT & SWEETS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
TEA,2.99,,GOURMET RESTAURANT & SWEETS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
GREEN TEA,2.5,,GOURMET RESTAURANT & SWEETS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
GREEN SALAD,3.99,,GOURMET RESTAURANT & SWEETS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
RAITA,4.99,,GOURMET RESTAURANT & SWEETS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
