name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
QUESADILLAS,15.0,,RYFE BAR RESTAURANT EVENTS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
CHICKEN TENDERS AND FRIES,14.0,,RYFE BAR RESTAURANT EVENTS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
CLASSIC CHEESEBURGER,17.0,,RYFE BAR RESTAURANT EVENTS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
CRABCAKE SALAD,19.0,,RYFE BAR RESTAURANT EVENTS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
BELLA BURGER,18.0,,RYFE BAR RESTAURANT EVENTS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
ASIAGO AND ARTICHOKE DIP,14.0,,RYFE BAR RESTAURANT EVENTS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
BEET AND GOAT CHEESE CRUSTINI,16.0,,RYFE BAR RESTAURANT EVENTS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
ROASTED CAULIFLOWER,18.0,,RYFE BAR RESTAURANT EVENTS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
MOZZARELLA STICKS,9.0,,RYFE BAR RESTAURANT EVENTS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
TIGER SHRIMP AND CROSTINI,28.0,,RYFE BAR RESTAURANT EVENTS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
SCALLOPS FLORENTINE,30.0,,RYFE BAR RESTAURANT EVENTS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
MARGHERITA PIZZA,16.0,,RYFE BAR RESTAURANT EVENTS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
BUFFALO CHICKEN PIZZA,16.0,,RYFE BAR RESTAURANT EVENTS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
BONE-IN WINGS,16.0,,RYFE BAR RESTAURANT EVENTS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
BONELESS TENDERS,14.0,,RYFE BAR RESTAURANT EVENTS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
RYFE TRUFFLE FRIES,8.0,,RYFE BAR RESTAURANT EVENTS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
SIGNATURE FRIES,5.0,,RYFE BAR RESTAURANT EVENTS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
SWEET POTATO FRIES,9.0,,RYFE BAR RESTAURANT EVENTS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
AHI TUNA SALAD,21.0,,RYFE BAR RESTAURANT EVENTS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
CAESAR SALAD,16.0,,RYFE BAR RESTAURANT EVENTS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
CHIPS AND SALSA,8.0,,RYFE BAR RESTAURANT EVENTS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
NACHOS,18.0,,RYFE BAR RESTAURANT EVENTS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
MAHI TACOS,18.0,,RYFE BAR RESTAURANT EVENTS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
STEAK TACOS,21.0,,RYFE BAR RESTAURANT EVENTS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
CHICKEN TACOS,17.0,,RYFE BAR RESTAURANT EVENTS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
BURRITOS,15.0,,RYFE BAR RESTAURANT EVENTS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
FISH AND CHIPS,14.0,,RYFE BAR RESTAURANT EVENTS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
HANGOVER BURGER,18.0,,RYFE BAR RESTAURANT EVENTS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
VEGAN BURGER,13.0,,RYFE BAR RESTAURANT EVENTS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
GRILLED BUFFALO CHICKEN SANDWICH,14.0,,RYFE BAR RESTAURANT EVENTS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
BEER CHEESE STEAK,17.0,,RYFE BAR RESTAURANT EVENTS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
BONE-IN CHOPS,23.0,,RYFE BAR RESTAURANT EVENTS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
20 OZ RIBEYE,49.0,,RYFE BAR RESTAURANT EVENTS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
8 OZ FILET,38.0,,RYFE BAR RESTAURANT EVENTS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
BLACKENED AHI TUNA STEAK,31.0,,RYFE BAR RESTAURANT EVENTS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
MARYLAND STYLE CRAB CAKES,34.0,,RYFE BAR RESTAURANT EVENTS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
10 OZ GRILLED LOBSTER TAIL,60.0,,RYFE BAR RESTAURANT EVENTS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
CRISPY SKIN-ON SALMON,30.0,,RYFE BAR RESTAURANT EVENTS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
PAN SEARED SCALLOPS,37.0,,RYFE BAR RESTAURANT EVENTS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
SHRIMP SCAMPI PASTA,31.0,,RYFE BAR RESTAURANT EVENTS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
WILD TRUFFLED COUS COUS,29.0,,RYFE BAR RESTAURANT EVENTS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
KID FLATBREAD PIZZA,9.0,,RYFE BAR RESTAURANT EVENTS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
KID CHICKEN TENDERS,9.0,,RYFE BAR RESTAURANT EVENTS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
KID MACARONI AND CHEESE,9.0,,RYFE BAR RESTAURANT EVENTS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
3 LAYER CHOCOLATE CAKE,7.0,,RYFE BAR RESTAURANT EVENTS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
CHEESECAKE,7.0,,RYFE BAR RESTAURANT EVENTS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
CARROT CAKE,7.0,,RYFE BAR RESTAURANT EVENTS,"UBEREATS, ATLANTIC CITY, NJ",,,,,,,
