name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
EPIC STUFFED CRUST CREATE YOUR OWN PIZZA,15.64,270.0,PAPA JOHN'S,"922 WOOSTER ROAD NORTH, UBEREATS, BARBERTON, OH",,,,,,,
CHEESESTICKS,7.49,110.0,PAPA JOHN'S,"922 WOOSTER ROAD NORTH, UBEREATS, BARBERTON, OH",,,,,,,
CREATE YOUR OWN,8.74,180.0,PAPA JOHN'S,"922 WOOSTER ROAD NORTH, UBEREATS, BARBERTON, OH",,,,,,,
PAPADIAS,7.0,840.0,PAPA JOHN'S,"922 WOOSTER ROAD NORTH, UBEREATS, BARBERTON, OH",,,,,,,
"PEPPERONI, SAUSAGE, AND SIX CHEESE",12.99,260.0,PAPA JOHN'S,"922 WOOSTER ROAD NORTH, UBEREATS, BARBERTON, OH",,,,,,,
PARMESAN CHEESE-CRUSTED CREATE YOUR OWN PAPADIA,8.0,,PAPA JOHN'S,"922 WOOSTER ROAD NORTH, UBEREATS, BARBERTON, OH",,,,,,,
PEPPERONI PIZZA,9.99,150.0,PAPA JOHN'S,"922 WOOSTER ROAD NORTH, UBEREATS, BARBERTON, OH",,,,,,,
ESC CREATE YOUR OWN,15.64,270.0,PAPA JOHN'S,"922 WOOSTER ROAD NORTH, UBEREATS, BARBERTON, OH",,,,,,,
SAUSAGE,9.99,150.0,PAPA JOHN'S,"922 WOOSTER ROAD NORTH, UBEREATS, BARBERTON, OH",,,,,,,
EXTRA CHEESE,9.99,150.0,PAPA JOHN'S,"922 WOOSTER ROAD NORTH, UBEREATS, BARBERTON, OH",,,,,,,
CHEESE,9.99,180.0,PAPA JOHN'S,"922 WOOSTER ROAD NORTH, UBEREATS, BARBERTON, OH",,,,,,,
PEPPERONI,9.99,150.0,PAPA JOHN'S,"922 WOOSTER ROAD NORTH, UBEREATS, BARBERTON, OH",,,,,,,
EXTRA CHEESY ALFREDO,12.99,180.0,PAPA JOHN'S,"922 WOOSTER ROAD NORTH, UBEREATS, BARBERTON, OH",,,,,,,
MEATBALL PEPPERONI,12.99,230.0,PAPA JOHN'S,"922 WOOSTER ROAD NORTH, UBEREATS, BARBERTON, OH",,,,,,,
GARDEN FRESH,12.99,190.0,PAPA JOHN'S,"922 WOOSTER ROAD NORTH, UBEREATS, BARBERTON, OH",,,,,,,
HAWAIIAN BBQ CHICKEN,12.99,230.0,PAPA JOHN'S,"922 WOOSTER ROAD NORTH, UBEREATS, BARBERTON, OH",,,,,,,
THE WORKS,12.99,230.0,PAPA JOHN'S,"922 WOOSTER ROAD NORTH, UBEREATS, BARBERTON, OH",,,,,,,
THE MEATS,12.99,250.0,PAPA JOHN'S,"922 WOOSTER ROAD NORTH, UBEREATS, BARBERTON, OH",,,,,,,
TUSCAN SIX CHEESE,12.99,220.0,PAPA JOHN'S,"922 WOOSTER ROAD NORTH, UBEREATS, BARBERTON, OH",,,,,,,
PHILLY CHEESESTEAK,12.99,180.0,PAPA JOHN'S,"922 WOOSTER ROAD NORTH, UBEREATS, BARBERTON, OH",,,,,,,
BBQ CHICKEN BACON,12.99,230.0,PAPA JOHN'S,"922 WOOSTER ROAD NORTH, UBEREATS, BARBERTON, OH",,,,,,,
FIERY BUFFALO CHICKEN,12.99,160.0,PAPA JOHN'S,"922 WOOSTER ROAD NORTH, UBEREATS, BARBERTON, OH",,,,,,,
ULTIMATE PEPPERONI,12.99,240.0,PAPA JOHN'S,"922 WOOSTER ROAD NORTH, UBEREATS, BARBERTON, OH",,,,,,,
SUPER HAWAIIAN,12.99,170.0,PAPA JOHN'S,"922 WOOSTER ROAD NORTH, UBEREATS, BARBERTON, OH",,,,,,,
ZESTY ITALIAN TRIO,12.99,240.0,PAPA JOHN'S,"922 WOOSTER ROAD NORTH, UBEREATS, BARBERTON, OH",,,,,,,
PARMESAN CRUSTED PAPADIAS,8.0,1060.0,PAPA JOHN'S,"922 WOOSTER ROAD NORTH, UBEREATS, BARBERTON, OH",,,,,,,
ROLLS,7.49,60.0,PAPA JOHN'S,"922 WOOSTER ROAD NORTH, UBEREATS, BARBERTON, OH",,,,,,,
CHICKEN WINGS,6.99,860.0,PAPA JOHN'S,"922 WOOSTER ROAD NORTH, UBEREATS, BARBERTON, OH",,,,,,,
BREADSTICKS,5.99,150.0,PAPA JOHN'S,"922 WOOSTER ROAD NORTH, UBEREATS, BARBERTON, OH",,,,,,,
CHICKEN POPPERS,6.99,650.0,PAPA JOHN'S,"922 WOOSTER ROAD NORTH, UBEREATS, BARBERTON, OH",,,,,,,
KNOTS,5.99,110.0,PAPA JOHN'S,"922 WOOSTER ROAD NORTH, UBEREATS, BARBERTON, OH",,,,,,,
DESSERT,5.49,190.0,PAPA JOHN'S,"922 WOOSTER ROAD NORTH, UBEREATS, BARBERTON, OH",,,,,,,
SOFT DRINK,2.99,900.0,PAPA JOHN'S,"922 WOOSTER ROAD NORTH, UBEREATS, BARBERTON, OH",,,,,,,
ADD-ON,1.85,5.0,PAPA JOHN'S,"922 WOOSTER ROAD NORTH, UBEREATS, BARBERTON, OH",,,,,,,
SEASONING PACKET,0.1,15.0,PAPA JOHN'S,"922 WOOSTER ROAD NORTH, UBEREATS, BARBERTON, OH",,,,,,,
DIPPING SAUCE,0.5,150.0,PAPA JOHN'S,"922 WOOSTER ROAD NORTH, UBEREATS, BARBERTON, OH",,,,,,,
