name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
DOZEN MINI CUPCAKES,18.5,,FLAVOR CUPCAKERY,"UBEREATS, BEL AIR, MD",,,,,,,
CARD WITH MESSAGE,2.0,,FLAVOR CUPCAKERY,"UBEREATS, BEL AIR, MD",,,,,,,
6 MACARONS (ASSORTED),11.0,,FLAVOR CUPCAKERY,"UBEREATS, BEL AIR, MD",,,,,,,
12 MACARONS (ASSORTED),21.5,,FLAVOR CUPCAKERY,"UBEREATS, BEL AIR, MD",,,,,,,
GLUTEN-FREE OF THE DAY CUPCAKE,4.5,,FLAVOR CUPCAKERY,"UBEREATS, BEL AIR, MD",,,,,,,
BLACK BOTTOM CUPCAKE,3.75,,FLAVOR CUPCAKERY,"UBEREATS, BEL AIR, MD",,,,,,,
CHOCOLATE PEANUT BUTTER CUPCAKE,3.75,,FLAVOR CUPCAKERY,"UBEREATS, BEL AIR, MD",,,,,,,
CHOCOLATE VANILLA CUPCAKE,3.75,,FLAVOR CUPCAKERY,"UBEREATS, BEL AIR, MD",,,,,,,
CLASSIC CHOCOLATE CUPCAKE,3.75,,FLAVOR CUPCAKERY,"UBEREATS, BEL AIR, MD",,,,,,,
COOKIES N' CREAM CUPCAKE,3.75,,FLAVOR CUPCAKERY,"UBEREATS, BEL AIR, MD",,,,,,,
SALTED CARAMEL CUPCAKE,3.75,,FLAVOR CUPCAKERY,"UBEREATS, BEL AIR, MD",,,,,,,
SNICKERDOODLE CUPCAKE,3.75,,FLAVOR CUPCAKERY,"UBEREATS, BEL AIR, MD",,,,,,,
VANILLA CHOCOLATE CUPCAKE,3.75,,FLAVOR CUPCAKERY,"UBEREATS, BEL AIR, MD",,,,,,,
RED VELVET CUPCAKE,3.75,,FLAVOR CUPCAKERY,"UBEREATS, BEL AIR, MD",,,,,,,
VANILLA BIRTHDAY CAKE CUPCAKE,3.75,,FLAVOR CUPCAKERY,"UBEREATS, BEL AIR, MD",,,,,,,
VEGAN OF THE DAY CUPCAKE,4.5,,FLAVOR CUPCAKERY,"UBEREATS, BEL AIR, MD",,,,,,,
STRAIGHT UP CHOCOLATE CHIP COOKIE DOUGH,4.5,,FLAVOR CUPCAKERY,"UBEREATS, BEL AIR, MD",,,,,,,
STRAIGHT UP SUGAR COOKIE DOUGH,4.5,,FLAVOR CUPCAKERY,"UBEREATS, BEL AIR, MD",,,,,,,
GIFT BOX FOR CUPCAKES,1.5,,FLAVOR CUPCAKERY,"UBEREATS, BEL AIR, MD",,,,,,,
GIFT BOX FOR MACARONS,1.5,,FLAVOR CUPCAKERY,"UBEREATS, BEL AIR, MD",,,,,,,
GIFT TAG WITH RIBBON,1.0,,FLAVOR CUPCAKERY,"UBEREATS, BEL AIR, MD",,,,,,,
RAINBOW SHERBET CUPCAKE,3.75,,FLAVOR CUPCAKERY,"UBEREATS, BEL AIR, MD",,,,,,,
DOUBLE DUNKER (MOCHA COOKIE DOUGH) CUPCAKE,3.75,,FLAVOR CUPCAKERY,"UBEREATS, BEL AIR, MD",,,,,,,
CHOCOLATE CHEESECAKE CUPCAKE,3.75,,FLAVOR CUPCAKERY,"UBEREATS, BEL AIR, MD",,,,,,,
ICE CREAM SNOWBALL CUPCAKE,3.75,,FLAVOR CUPCAKERY,"UBEREATS, BEL AIR, MD",,,,,,,
KEY LIME PIE CUPCAKE,3.75,,FLAVOR CUPCAKERY,"UBEREATS, BEL AIR, MD",,,,,,,
