name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CAJUN SHRIMP & CHICKEN PASTA,17.24,,"TGI FRIDAYS (629 - BENSALEM, PA)","UBEREATS, BENSALEM, PA",,,,,,,
CINNABON CARAMEL PECAN CHEESECAKE,9.53,,"TGI FRIDAYS (629 - BENSALEM, PA)","UBEREATS, BENSALEM, PA",,,,,,,
KID'S CRISPY CHICKEN FINGERS,7.12,,"TGI FRIDAYS (629 - BENSALEM, PA)","UBEREATS, BENSALEM, PA",,,,,,,
KID'S SLIDERS,6.66,,"TGI FRIDAYS (629 - BENSALEM, PA)","UBEREATS, BENSALEM, PA",,,,,,,
FRIDAYS SIGNATURE WHISKEY-GLAZED BURGER,13.79,,"TGI FRIDAYS (629 - BENSALEM, PA)","UBEREATS, BENSALEM, PA",,,,,,,
NEW! AMAZING BLAZING POUND OF CHEESE FRIES,12.52,,"TGI FRIDAYS (629 - BENSALEM, PA)","UBEREATS, BENSALEM, PA",,,,,,,
AROUND THE WORLD OF DUMPLINGS,9.89,,"TGI FRIDAYS (629 - BENSALEM, PA)","UBEREATS, BENSALEM, PA",,,,,,,
WING AROUND THE WORLD,17.49,,"TGI FRIDAYS (629 - BENSALEM, PA)","UBEREATS, BENSALEM, PA",,,,,,,
POTATO SKIN PASSPORT,9.29,,"TGI FRIDAYS (629 - BENSALEM, PA)","UBEREATS, BENSALEM, PA",,,,,,,
TRADITIONAL WINGS,14.02,,"TGI FRIDAYS (629 - BENSALEM, PA)","UBEREATS, BENSALEM, PA",,,,,,,
MOZZARELLA STICKS,10.34,,"TGI FRIDAYS (629 - BENSALEM, PA)","UBEREATS, BENSALEM, PA",,,,,,,
BONELESS WINGS,12.87,,"TGI FRIDAYS (629 - BENSALEM, PA)","UBEREATS, BENSALEM, PA",,,,,,,
FRIDAYS SIGNATURE WHISKEY-GLAZED SESAME CHICKEN STRIPS,12.87,,"TGI FRIDAYS (629 - BENSALEM, PA)","UBEREATS, BENSALEM, PA",,,,,,,
PAN-SEARED POT STICKERS,11.37,,"TGI FRIDAYS (629 - BENSALEM, PA)","UBEREATS, BENSALEM, PA",,,,,,,
FRIDAYS SIGNATURE WHISKEY-GLAZED SLIDERS,9.3,,"TGI FRIDAYS (629 - BENSALEM, PA)","UBEREATS, BENSALEM, PA",,,,,,,
GREEN BEAN FRIES,9.53,,"TGI FRIDAYS (629 - BENSALEM, PA)","UBEREATS, BENSALEM, PA",,,,,,,
SPINACH & ARTICHOKE DIP,11.37,,"TGI FRIDAYS (629 - BENSALEM, PA)","UBEREATS, BENSALEM, PA",,,,,,,
FRIDAYS SIGNATURE WHISKEY-GLAZED SAMPLER,18.39,,"TGI FRIDAYS (629 - BENSALEM, PA)","UBEREATS, BENSALEM, PA",,,,,,,
CLASSIC FRIDAYS COMBO,15.63,,"TGI FRIDAYS (629 - BENSALEM, PA)","UBEREATS, BENSALEM, PA",,,,,,,
WINGS ROULETTE,20.11,,"TGI FRIDAYS (629 - BENSALEM, PA)","UBEREATS, BENSALEM, PA",,,,,,,
