name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
STEAK BURRITO,5.99,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
TACO DINNER,10.99,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
GIANT QUESADILLA,6.99,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
FAJITAS DINNER,11.09,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
SMALL GUACAMOLE,5.99,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
TORTAS,5.49,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
SOPES,4.19,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
BEEF TOSTADAS,3.19,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
GORDITAS,3.99,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
FAJITA GORDITA,4.49,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
HUARACHES,4.29,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
NACHOS LOCOS,6.19,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
BABY NACHOS LOCOS,5.19,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
REGULAR NACHOS,3.79,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
GIANT FAJITA QUESADILLA,7.99,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
QUESADILLA,2.39,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
QUESADILLA WITH MEAT,3.79,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
FAJITA QUESADILLA,4.49,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
SINGLE CHIMICHANGA,6.49,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
BABY CHIMICHANGA,5.09,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
CHILE RELLENO,5.19,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
FIVE FLAUTAS,9.54,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
SINGLE FLAUTA,2.19,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
SINGLE ENCHILADA,2.19,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
TAMALES,2.49,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
CHIMCHANGA SUIZA,6.69,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
TOSTADA DE CEVICHE,4.49,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
COCTEL DE CAMARON,10.49,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
TORTA CUBANA,7.59,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
BURRITO,6.29,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
TOSTADAS,3.19,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
TACO,2.49,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
ENCHILADAS,2.19,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
QUESADILLAS,3.69,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
CALDO DE RES,9.49,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
CALDO DE POLLO,9.49,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
CALDO DE CAMARONES,11.49,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
POZOLE,9.49,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
MENUDO,9.49,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
MENUDO O POZOLE,19.99,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
BEANS,2.15,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
RICE,2.15,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
RICE AND BEANS,2.79,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
CHIPS AND SALSA,2.15,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
SIDE OF GUACAMOLE,1.1,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
AVOCADO SLICES,1.1,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
SOUR CREAM,0.6,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
CARROTS AND PEPPERS,0.6,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
PICO DE GALLO,3.69,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
FRENCH FRIES,3.6,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
CHEESE FRIES,4.09,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
CHEESE FRIES WITH MEAT,5.6,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
MEXICAN POTATOES,5.09,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
CORN IN A CUP,2.49,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
GRILLED JALAPENOS,1.29,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
SIDE PICO DE GALLO,0.55,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
GARDEN SALAD,5.99,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
GRILLED CHICKEN SALAD,8.99,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
GRILLED SHRIMP SALAD,9.99,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
TACO SALAD,7.99,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
CHICKEN TACO,2.49,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
BEEF TACO,2.49,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
PORK TACO,2.49,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
STEAK TACO,2.49,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
STEAK AND POTATO TACO,2.49,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
MILANESA TACO,2.49,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
CHICHARRON TACO,2.49,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
CHORIZO CON HUEVO TACO,2.49,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
CHORIZO TACO,2.49,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
CHILE RELLENO TACO,2.49,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
VEGGIE TACO,2.49,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
CABEZA TACO,2.49,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
TRIPAS TACO,2.49,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
LENGUA TACO,2.59,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
BARBACOA TACO,2.49,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
CARNITAS TACO,2.49,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
PASTOR TACO,2.49,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
SESOS TACO,2.29,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
NEW PESCADO TACO,3.45,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
FAJITAS DE BISTEC TACO,3.09,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
FAJITAS DE CAMARON TACO,3.45,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
FAJITAS DE POLLO TACO,3.09,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
PESCADO TACO,3.25,,MR BURRITO #1,"UBEREATS, BENSENVILLE, IL",,,,,,,
