name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CHICKEN WINGS (5 PCS),7.95,,BACCI PIZZA (BENSENVILLE),"UBEREATS, BENSONVILLE, IL",,,,,,,
HAND TOSSED CHEESE PIZZA,16.95,,BACCI PIZZA (BENSENVILLE),"UBEREATS, BENSONVILLE, IL",,,,,,,
JUMBO PEPPERONI SLICE,7.49,,BACCI PIZZA (BENSENVILLE),"UBEREATS, BENSONVILLE, IL",,,,,,,
JUMBO MEAT LOVERS SLICE,7.99,,BACCI PIZZA (BENSENVILLE),"UBEREATS, BENSONVILLE, IL",,,,,,,
JUMBO SAUSAGE SLICE,7.49,,BACCI PIZZA (BENSENVILLE),"UBEREATS, BENSONVILLE, IL",,,,,,,
JUMBO CHEESE SLICE,6.99,,BACCI PIZZA (BENSENVILLE),"UBEREATS, BENSONVILLE, IL",,,,,,,
JUMBO SUPREME SLICE,7.99,,BACCI PIZZA (BENSENVILLE),"UBEREATS, BENSONVILLE, IL",,,,,,,
HOUSE SALAD,7.95,,BACCI PIZZA (BENSENVILLE),"UBEREATS, BENSONVILLE, IL",,,,,,,
CAESAR SALAD,6.95,,BACCI PIZZA (BENSENVILLE),"UBEREATS, BENSONVILLE, IL",,,,,,,
ARUGULA SALAD,6.95,,BACCI PIZZA (BENSENVILLE),"UBEREATS, BENSONVILLE, IL",,,,,,,
CHOPPED SALAD,7.95,,BACCI PIZZA (BENSENVILLE),"UBEREATS, BENSONVILLE, IL",,,,,,,
TAYLOR STREET SALAD,7.95,,BACCI PIZZA (BENSENVILLE),"UBEREATS, BENSONVILLE, IL",,,,,,,
COBB SALAD,7.95,,BACCI PIZZA (BENSENVILLE),"UBEREATS, BENSONVILLE, IL",,,,,,,
PASTA SALAD,7.95,,BACCI PIZZA (BENSENVILLE),"UBEREATS, BENSONVILLE, IL",,,,,,,
TRADITIONAL ITALIAN BEEF,7.95,,BACCI PIZZA (BENSENVILLE),"UBEREATS, BENSONVILLE, IL",,,,,,,
OUR SIGNATURE ITALIAN BEEF,8.95,,BACCI PIZZA (BENSENVILLE),"UBEREATS, BENSONVILLE, IL",,,,,,,
TAYLOR STREET SAUSAGE,6.95,,BACCI PIZZA (BENSENVILLE),"UBEREATS, BENSONVILLE, IL",,,,,,,
CLASSIC CHICKEN SANDWICH,6.95,,BACCI PIZZA (BENSENVILLE),"UBEREATS, BENSONVILLE, IL",,,,,,,
CALIFORNIA CHICKEN SANDWICH,10.95,,BACCI PIZZA (BENSENVILLE),"UBEREATS, BENSONVILLE, IL",,,,,,,
CHICKEN PARMESAN SANDWICH,8.95,,BACCI PIZZA (BENSENVILLE),"UBEREATS, BENSONVILLE, IL",,,,,,,
FRESH GARDEN EGGPLANT SANDWICH,7.95,,BACCI PIZZA (BENSENVILLE),"UBEREATS, BENSONVILLE, IL",,,,,,,
