name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
TRY 2 COMBO,12.79,,CAFE ZUPAS (148 S. GARY AVE.),"UBEREATS, BLOOMINGDALE, IL",,,,,,,
ROASTED RED PEPPER & LOBSTER,6.09,,CAFE ZUPAS (148 S. GARY AVE.),"UBEREATS, BLOOMINGDALE, IL",,,,,,,
CHOCOLATE MOUSSE CAKE,5.69,,CAFE ZUPAS (148 S. GARY AVE.),"UBEREATS, BLOOMINGDALE, IL",,,,,,,
MUSHROOM BISQUE,6.09,,CAFE ZUPAS (148 S. GARY AVE.),"UBEREATS, BLOOMINGDALE, IL",,,,,,,
CHICKEN NOODLE,6.09,,CAFE ZUPAS (148 S. GARY AVE.),"UBEREATS, BLOOMINGDALE, IL",,,,,,,
THAI NOODLE,8.29,,CAFE ZUPAS (148 S. GARY AVE.),"UBEREATS, BLOOMINGDALE, IL",,,,,,,
CALIFORNIA COBB,8.29,,CAFE ZUPAS (148 S. GARY AVE.),"UBEREATS, BLOOMINGDALE, IL",,,,,,,
STRAWBERRY HARVEST,8.29,,CAFE ZUPAS (148 S. GARY AVE.),"UBEREATS, BLOOMINGDALE, IL",,,,,,,
AVOCADO CHICKEN CHOP,8.29,,CAFE ZUPAS (148 S. GARY AVE.),"UBEREATS, BLOOMINGDALE, IL",,,,,,,
BBQ CHICKEN,8.29,,CAFE ZUPAS (148 S. GARY AVE.),"UBEREATS, BLOOMINGDALE, IL",,,,,,,
MANGOBERRY,8.29,,CAFE ZUPAS (148 S. GARY AVE.),"UBEREATS, BLOOMINGDALE, IL",,,,,,,
CHIPOTLE GLAZED,8.29,,CAFE ZUPAS (148 S. GARY AVE.),"UBEREATS, BLOOMINGDALE, IL",,,,,,,
NUTS ABOUT BERRIES,8.29,,CAFE ZUPAS (148 S. GARY AVE.),"UBEREATS, BLOOMINGDALE, IL",,,,,,,
THAI STEAK,9.49,,CAFE ZUPAS (148 S. GARY AVE.),"UBEREATS, BLOOMINGDALE, IL",,,,,,,
CREATE YOUR OWN SALAD,8.29,,CAFE ZUPAS (148 S. GARY AVE.),"UBEREATS, BLOOMINGDALE, IL",,,,,,,
CHICKEN ENCHILADA CHILI,6.09,,CAFE ZUPAS (148 S. GARY AVE.),"UBEREATS, BLOOMINGDALE, IL",,,,,,,
TOMATO BASIL,6.09,,CAFE ZUPAS (148 S. GARY AVE.),"UBEREATS, BLOOMINGDALE, IL",,,,,,,
SOUTHWEST POTATO & GREEN CHILI,6.09,,CAFE ZUPAS (148 S. GARY AVE.),"UBEREATS, BLOOMINGDALE, IL",,,,,,,
NEW ENGLAND CLAM CHOWDER,6.09,,CAFE ZUPAS (148 S. GARY AVE.),"UBEREATS, BLOOMINGDALE, IL",,,,,,,
LOBSTER BISQUE,6.09,,CAFE ZUPAS (148 S. GARY AVE.),"UBEREATS, BLOOMINGDALE, IL",,,,,,,
WISCONSIN CAULIFLOWER,6.09,,CAFE ZUPAS (148 S. GARY AVE.),"UBEREATS, BLOOMINGDALE, IL",,,,,,,
CHICKPEA & VEGETABLE,6.09,,CAFE ZUPAS (148 S. GARY AVE.),"UBEREATS, BLOOMINGDALE, IL",,,,,,,
TOMATO BASIL PASTA,6.09,,CAFE ZUPAS (148 S. GARY AVE.),"UBEREATS, BLOOMINGDALE, IL",,,,,,,
MAC & CHEESE,6.09,,CAFE ZUPAS (148 S. GARY AVE.),"UBEREATS, BLOOMINGDALE, IL",,,,,,,
MIXED SOUP,6.09,,CAFE ZUPAS (148 S. GARY AVE.),"UBEREATS, BLOOMINGDALE, IL",,,,,,,
