name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
THE CUBAN (EL CUBANO),8.5,,CUBAN DULCERIA INTERNATIONAL BAKERY,"UBEREATS, CARROLLTON, TX",,,,,,,
GUAVA AND CHEESE PASTRY (PASTEL DE GUAYABA Y QUESO),3.0,,CUBAN DULCERIA INTERNATIONAL BAKERY,"UBEREATS, CARROLLTON, TX",,,,,,,
STUFFED POTATO BALL (PAPA RELLENA),4.25,,CUBAN DULCERIA INTERNATIONAL BAKERY,"UBEREATS, CARROLLTON, TX",,,,,,,
THE MIDNIGHT SANDWICH (MEDIA NOCHE),8.5,,CUBAN DULCERIA INTERNATIONAL BAKERY,"UBEREATS, CARROLLTON, TX",,,,,,,
CAFE CON LECHE,4.0,,CUBAN DULCERIA INTERNATIONAL BAKERY,"UBEREATS, CARROLLTON, TX",,,,,,,
YBOR CITY CUBAN (EL YBOR CITY CUBANO),10.5,,CUBAN DULCERIA INTERNATIONAL BAKERY,"UBEREATS, CARROLLTON, TX",,,,,,,
SHREDDED PORK SANDWICH (SPAN CON LECHON),9.99,,CUBAN DULCERIA INTERNATIONAL BAKERY,"UBEREATS, CARROLLTON, TX",,,,,,,
SHREDDED BEEF SANDWICH (ROPA VIEJA SANDWICH),10.5,,CUBAN DULCERIA INTERNATIONAL BAKERY,"UBEREATS, CARROLLTON, TX",,,,,,,
PREPARED CUBAN SANDWICH (EL PREPARADO SANDWICH),10.99,,CUBAN DULCERIA INTERNATIONAL BAKERY,"UBEREATS, CARROLLTON, TX",,,,,,,
THE AMERICAN SANDWICH (EL AMERICANO SANDWICH),9.99,,CUBAN DULCERIA INTERNATIONAL BAKERY,"UBEREATS, CARROLLTON, TX",,,,,,,
CUBAN TOAST (TOSTADA CUBANA),2.5,,CUBAN DULCERIA INTERNATIONAL BAKERY,"UBEREATS, CARROLLTON, TX",,,,,,,
SIMPLE MERENGUE (MERENGUITO SIMPLE),3.0,,CUBAN DULCERIA INTERNATIONAL BAKERY,"UBEREATS, CARROLLTON, TX",,,,,,,
CARMEL MERENGUE (MERENGUE CON DULCE LECHE),3.5,,CUBAN DULCERIA INTERNATIONAL BAKERY,"UBEREATS, CARROLLTON, TX",,,,,,,
MINI MERENGUES,3.0,,CUBAN DULCERIA INTERNATIONAL BAKERY,"UBEREATS, CARROLLTON, TX",,,,,,,
SOURSOP (GUANABANA),2.95,,CUBAN DULCERIA INTERNATIONAL BAKERY,"UBEREATS, CARROLLTON, TX",,,,,,,
LULO,2.95,,CUBAN DULCERIA INTERNATIONAL BAKERY,"UBEREATS, CARROLLTON, TX",,,,,,,
MANGO,2.95,,CUBAN DULCERIA INTERNATIONAL BAKERY,"UBEREATS, CARROLLTON, TX",,,,,,,
PASSION FRUIT (MARACUYA),2.95,,CUBAN DULCERIA INTERNATIONAL BAKERY,"UBEREATS, CARROLLTON, TX",,,,,,,
COKE,2.25,,CUBAN DULCERIA INTERNATIONAL BAKERY,"UBEREATS, CARROLLTON, TX",,,,,,,
DIET COKE,2.25,,CUBAN DULCERIA INTERNATIONAL BAKERY,"UBEREATS, CARROLLTON, TX",,,,,,,
SPRITE,2.25,,CUBAN DULCERIA INTERNATIONAL BAKERY,"UBEREATS, CARROLLTON, TX",,,,,,,
MATERVA,2.25,,CUBAN DULCERIA INTERNATIONAL BAKERY,"UBEREATS, CARROLLTON, TX",,,,,,,
