name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
FAJITAS,12.5,,EL RINCON MEXICAN KITCHEN & TEQUILA BAR,"UBEREATS, CARROLLTON, TX",,,,,,,
BROCHETTE SHRIMP,14.0,,EL RINCON MEXICAN KITCHEN & TEQUILA BAR,"UBEREATS, CARROLLTON, TX",,,,,,,
CHILE CON QUESO,4.5,,EL RINCON MEXICAN KITCHEN & TEQUILA BAR,"UBEREATS, CARROLLTON, TX",,,,,,,
CHIPS AND 8 OZ ROASTED TOMATO SALSA,3.0,,EL RINCON MEXICAN KITCHEN & TEQUILA BAR,"UBEREATS, CARROLLTON, TX",,,,,,,
BANDERA ENCHILADAS,15.5,,EL RINCON MEXICAN KITCHEN & TEQUILA BAR,"UBEREATS, CARROLLTON, TX",,,,,,,
HOUSEMADE GUACAMOLE,10.0,,EL RINCON MEXICAN KITCHEN & TEQUILA BAR,"UBEREATS, CARROLLTON, TX",,,,,,,
QUESO CARGADO,11.0,,EL RINCON MEXICAN KITCHEN & TEQUILA BAR,"UBEREATS, CARROLLTON, TX",,,,,,,
SHRIMP BROCHETTE,13.5,,EL RINCON MEXICAN KITCHEN & TEQUILA BAR,"UBEREATS, CARROLLTON, TX",,,,,,,
QUESADILLAS,11.5,,EL RINCON MEXICAN KITCHEN & TEQUILA BAR,"UBEREATS, CARROLLTON, TX",,,,,,,
PAPO'S BRISKET QUESADILLAS,13.5,,EL RINCON MEXICAN KITCHEN & TEQUILA BAR,"UBEREATS, CARROLLTON, TX",,,,,,,
PAPO'S BRISKET NACHOS,12.5,,EL RINCON MEXICAN KITCHEN & TEQUILA BAR,"UBEREATS, CARROLLTON, TX",,,,,,,
RINCON NACHOS,11.5,,EL RINCON MEXICAN KITCHEN & TEQUILA BAR,"UBEREATS, CARROLLTON, TX",,,,,,,
NACHOS LOCOS,14.0,,EL RINCON MEXICAN KITCHEN & TEQUILA BAR,"UBEREATS, CARROLLTON, TX",,,,,,,
FLAUTAS,11.0,,EL RINCON MEXICAN KITCHEN & TEQUILA BAR,"UBEREATS, CARROLLTON, TX",,,,,,,
BOTANAS PLATTER,15.0,,EL RINCON MEXICAN KITCHEN & TEQUILA BAR,"UBEREATS, CARROLLTON, TX",,,,,,,
CHIPS AND 16 OZ ROASTED TOMATO SALSA,5.5,,EL RINCON MEXICAN KITCHEN & TEQUILA BAR,"UBEREATS, CARROLLTON, TX",,,,,,,
FLOUR TORTILLAS,1.0,,EL RINCON MEXICAN KITCHEN & TEQUILA BAR,"UBEREATS, CARROLLTON, TX",,,,,,,
CORN TORTILLAS,1.0,,EL RINCON MEXICAN KITCHEN & TEQUILA BAR,"UBEREATS, CARROLLTON, TX",,,,,,,
TORTILLA SOUP,6.0,,EL RINCON MEXICAN KITCHEN & TEQUILA BAR,"UBEREATS, CARROLLTON, TX",,,,,,,
CHARRO SOUP,4.5,,EL RINCON MEXICAN KITCHEN & TEQUILA BAR,"UBEREATS, CARROLLTON, TX",,,,,,,
TACO SALAD,12.0,,EL RINCON MEXICAN KITCHEN & TEQUILA BAR,"UBEREATS, CARROLLTON, TX",,,,,,,
MEXICAN COBB SALAD,14.5,,EL RINCON MEXICAN KITCHEN & TEQUILA BAR,"UBEREATS, CARROLLTON, TX",,,,,,,
CALDO DE CAMARON (BOWL),15.0,,EL RINCON MEXICAN KITCHEN & TEQUILA BAR,"UBEREATS, CARROLLTON, TX",,,,,,,
GUISO DE RES,13.0,,EL RINCON MEXICAN KITCHEN & TEQUILA BAR,"UBEREATS, CARROLLTON, TX",,,,,,,
POLLO ZUCCHINI SALAD,13.0,,EL RINCON MEXICAN KITCHEN & TEQUILA BAR,"UBEREATS, CARROLLTON, TX",,,,,,,
BURRITO,11.0,,EL RINCON MEXICAN KITCHEN & TEQUILA BAR,"UBEREATS, CARROLLTON, TX",,,,,,,
POLLO FAJITA WRAP,12.0,,EL RINCON MEXICAN KITCHEN & TEQUILA BAR,"UBEREATS, CARROLLTON, TX",,,,,,,
PAPO SPECIAL,11.0,,EL RINCON MEXICAN KITCHEN & TEQUILA BAR,"UBEREATS, CARROLLTON, TX",,,,,,,
CHALUPAS,11.0,,EL RINCON MEXICAN KITCHEN & TEQUILA BAR,"UBEREATS, CARROLLTON, TX",,,,,,,
TACOS AL CARBON,13.0,,EL RINCON MEXICAN KITCHEN & TEQUILA BAR,"UBEREATS, CARROLLTON, TX",,,,,,,
CHILE RELLENO,12.0,,EL RINCON MEXICAN KITCHEN & TEQUILA BAR,"UBEREATS, CARROLLTON, TX",,,,,,,
FAJITA,13.0,,EL RINCON MEXICAN KITCHEN & TEQUILA BAR,"UBEREATS, CARROLLTON, TX",,,,,,,
CHIMICHANGA,12.0,,EL RINCON MEXICAN KITCHEN & TEQUILA BAR,"UBEREATS, CARROLLTON, TX",,,,,,,
TORTA EL CHAVO,12.5,,EL RINCON MEXICAN KITCHEN & TEQUILA BAR,"UBEREATS, CARROLLTON, TX",,,,,,,
TILAPIA POBLANO,13.5,,EL RINCON MEXICAN KITCHEN & TEQUILA BAR,"UBEREATS, CARROLLTON, TX",,,,,,,
DOS BURRITOS DE CARNE,13.5,,EL RINCON MEXICAN KITCHEN & TEQUILA BAR,"UBEREATS, CARROLLTON, TX",,,,,,,
PLATO COMPLETO,12.0,,EL RINCON MEXICAN KITCHEN & TEQUILA BAR,"UBEREATS, CARROLLTON, TX",,,,,,,
CRISPY TACOS,11.0,,EL RINCON MEXICAN KITCHEN & TEQUILA BAR,"UBEREATS, CARROLLTON, TX",,,,,,,
VEGETARIAN FAJITAS,12.5,,EL RINCON MEXICAN KITCHEN & TEQUILA BAR,"UBEREATS, CARROLLTON, TX",,,,,,,
MEXI FRIED RICE,16.0,,EL RINCON MEXICAN KITCHEN & TEQUILA BAR,"UBEREATS, CARROLLTON, TX",,,,,,,
PESCADO A LA VERACRUZ,18.0,,EL RINCON MEXICAN KITCHEN & TEQUILA BAR,"UBEREATS, CARROLLTON, TX",,,,,,,
SALMON PASTOR,19.0,,EL RINCON MEXICAN KITCHEN & TEQUILA BAR,"UBEREATS, CARROLLTON, TX",,,,,,,
POLLO EN CHAMPINONES,16.0,,EL RINCON MEXICAN KITCHEN & TEQUILA BAR,"UBEREATS, CARROLLTON, TX",,,,,,,
POLLO MOLE,16.0,,EL RINCON MEXICAN KITCHEN & TEQUILA BAR,"UBEREATS, CARROLLTON, TX",,,,,,,
