name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CRISPY CHICKEN SANDWICH MEAL,6.99,1030.0,"MCDONALD'S (CARROLLTON, TX-FRANKFORD)","UBEREATS, CARROLLTON, TX",,,,,,,
SPICY CHICKEN SANDWICH MEAL,7.19,1090.0,"MCDONALD'S (CARROLLTON, TX-FRANKFORD)","UBEREATS, CARROLLTON, TX",,,,,,,
BIG MAC MEAL,9.49,1110.0,"MCDONALD'S (CARROLLTON, TX-FRANKFORD)","UBEREATS, CARROLLTON, TX",,,,,,,
DOUBLE QUARTER POUNDER WITH CHEESE MEAL,10.28,1300.0,"MCDONALD'S (CARROLLTON, TX-FRANKFORD)","UBEREATS, CARROLLTON, TX",,,,,,,
10 PIECE MCNUGGETS,5.89,420.0,"MCDONALD'S (CARROLLTON, TX-FRANKFORD)","UBEREATS, CARROLLTON, TX",,,,,,,
10 PIECE MCNUGGETS MEAL,9.59,980.0,"MCDONALD'S (CARROLLTON, TX-FRANKFORD)","UBEREATS, CARROLLTON, TX",,,,,,,
40 MCNUGGETS,11.99,1660.0,"MCDONALD'S (CARROLLTON, TX-FRANKFORD)","UBEREATS, CARROLLTON, TX",,,,,,,
4 PIECE CHICKEN MCNUGGET - HAPPY MEAL,6.39,440.0,"MCDONALD'S (CARROLLTON, TX-FRANKFORD)","UBEREATS, CARROLLTON, TX",,,,,,,
MEDIUM FRENCH FRIES,3.29,320.0,"MCDONALD'S (CARROLLTON, TX-FRANKFORD)","UBEREATS, CARROLLTON, TX",,,,,,,
REGULAR OREO MCFLURRY,3.49,510.0,"MCDONALD'S (CARROLLTON, TX-FRANKFORD)","UBEREATS, CARROLLTON, TX",,,,,,,
MEDIUM COKE,1.0,210.0,"MCDONALD'S (CARROLLTON, TX-FRANKFORD)","UBEREATS, CARROLLTON, TX",,,,,,,
DELUXE CRISPY CHICKEN SANDWICH MEAL,7.69,1090.0,"MCDONALD'S (CARROLLTON, TX-FRANKFORD)","UBEREATS, CARROLLTON, TX",,,,,,,
SPICY DELUXE CRISPY CHICKEN SANDWICH MEAL,7.79,1100.0,"MCDONALD'S (CARROLLTON, TX-FRANKFORD)","UBEREATS, CARROLLTON, TX",,,,,,,
DOUBLE BACON QUARTER POUNDER WITH CHEESE MEAL,9.98,1720.0,"MCDONALD'S (CARROLLTON, TX-FRANKFORD)","UBEREATS, CARROLLTON, TX",,,,,,,
QUARTER POUNDER WITH CHEESE MEAL,8.99,1080.0,"MCDONALD'S (CARROLLTON, TX-FRANKFORD)","UBEREATS, CARROLLTON, TX",,,,,,,
2 CHEESEBURGER MEAL,6.79,1160.0,"MCDONALD'S (CARROLLTON, TX-FRANKFORD)","UBEREATS, CARROLLTON, TX",,,,,,,
TRIPLE CHEESEBURGER MEAL,6.19,1100.0,"MCDONALD'S (CARROLLTON, TX-FRANKFORD)","UBEREATS, CARROLLTON, TX",,,,,,,
BACON QUARTER POUNDER WITH CHEESE MEAL,7.09,1190.0,"MCDONALD'S (CARROLLTON, TX-FRANKFORD)","UBEREATS, CARROLLTON, TX",,,,,,,
QUARTER POUNDER WITH CHEESE DELUXE MEAL,9.59,1190.0,"MCDONALD'S (CARROLLTON, TX-FRANKFORD)","UBEREATS, CARROLLTON, TX",,,,,,,
DOUBLE QUARTER CHEESE DELUXE MEAL,10.69,1430.0,"MCDONALD'S (CARROLLTON, TX-FRANKFORD)","UBEREATS, CARROLLTON, TX",,,,,,,
HOMESTYLE BURGER MEAL,7.28,1040.0,"MCDONALD'S (CARROLLTON, TX-FRANKFORD)","UBEREATS, CARROLLTON, TX",,,,,,,
6 PIECE MCNUGGETS MEAL,6.39,870.0,"MCDONALD'S (CARROLLTON, TX-FRANKFORD)","UBEREATS, CARROLLTON, TX",,,,,,,
FILET O FISH MEAL,8.69,940.0,"MCDONALD'S (CARROLLTON, TX-FRANKFORD)","UBEREATS, CARROLLTON, TX",,,,,,,
HOT AND SPICY MCCHICKEN MEAL,4.39,960.0,"MCDONALD'S (CARROLLTON, TX-FRANKFORD)","UBEREATS, CARROLLTON, TX",,,,,,,
40 MCNUGGETS & 2 L FRIES,17.99,2640.0,"MCDONALD'S (CARROLLTON, TX-FRANKFORD)","UBEREATS, CARROLLTON, TX",,,,,,,
