name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
FRENCH FRIES,2.34,,WENDY'S (2003 BELTLINE ROAD),"UBEREATS, CARROLLTON, TX",,,,,,,
10 PC. SPICY CHICKEN NUGGET,4.69,,WENDY'S (2003 BELTLINE ROAD),"UBEREATS, CARROLLTON, TX",,,,,,,
SOUTHWEST AVOCADO SALAD,8.21,,WENDY'S (2003 BELTLINE ROAD),"UBEREATS, CARROLLTON, TX",,,,,,,
6 PC. CRISPY CHICKEN NUGGETS,2.69,,WENDY'S (2003 BELTLINE ROAD),"UBEREATS, CARROLLTON, TX",,,,,,,
SPICY CHICKEN SANDWICH,6.1,,WENDY'S (2003 BELTLINE ROAD),"UBEREATS, CARROLLTON, TX",,,,,,,
DAVE'S,8.68,,WENDY'S (2003 BELTLINE ROAD),"UBEREATS, CARROLLTON, TX",,,,,,,
BACONATOR,11.15,,WENDY'S (2003 BELTLINE ROAD),"UBEREATS, CARROLLTON, TX",,,,,,,
CLASSIC CHICKEN SANDWICH COMBO,9.39,,WENDY'S (2003 BELTLINE ROAD),"UBEREATS, CARROLLTON, TX",,,,,,,
GRILLED CHICKEN SANDWICH COMBO,9.39,,WENDY'S (2003 BELTLINE ROAD),"UBEREATS, CARROLLTON, TX",,,,,,,
SPICY CHICKEN SANDWICH COMBO,9.39,,WENDY'S (2003 BELTLINE ROAD),"UBEREATS, CARROLLTON, TX",,,,,,,
BIG BACON CLASSIC,9.86,,WENDY'S (2003 BELTLINE ROAD),"UBEREATS, CARROLLTON, TX",,,,,,,
PRETZEL BACON PUB CHEESEBURGER COMBO,10.09,,WENDY'S (2003 BELTLINE ROAD),"UBEREATS, CARROLLTON, TX",,,,,,,
BOURBON BACON CHEESEBURGER COMBO,9.98,,WENDY'S (2003 BELTLINE ROAD),"UBEREATS, CARROLLTON, TX",,,,,,,
ASIAGO RANCH CHICKEN CLUB COMBO,10.56,,WENDY'S (2003 BELTLINE ROAD),"UBEREATS, CARROLLTON, TX",,,,,,,
PRETZEL BACON PUB CHICKEN SANDWICH COMBO,10.56,,WENDY'S (2003 BELTLINE ROAD),"UBEREATS, CARROLLTON, TX",,,,,,,
JALAPEÑO POPPER CHICKEN SANDWICH COMBO,10.56,,WENDY'S (2003 BELTLINE ROAD),"UBEREATS, CARROLLTON, TX",,,,,,,
"2 SPICY CHICKENS, 2 JBCS & 4 SM FRIES",17.63,,WENDY'S (2003 BELTLINE ROAD),"UBEREATS, CARROLLTON, TX",,,,,,,
