name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
THE HOUSE ZALAD - FRIED,9.99,,ZAXBY'S (5 WALNUT GROVE ROAD),"UBEREATS, CARTERSVILLE, GA",,,,,,,
ZAXBY'S  SIGNATURE SANDWICH,9.14,,ZAXBY'S (5 WALNUT GROVE ROAD),"UBEREATS, CARTERSVILLE, GA",,,,,,,
THE BIG ZAX SNAK MEAL,7.99,,ZAXBY'S (5 WALNUT GROVE ROAD),"UBEREATS, CARTERSVILLE, GA",,,,,,,
BONELESS WINGS - 5,5.99,,ZAXBY'S (5 WALNUT GROVE ROAD),"UBEREATS, CARTERSVILLE, GA",,,,,,,
BONELESS WINGS MEAL,7.99,,ZAXBY'S (5 WALNUT GROVE ROAD),"UBEREATS, CARTERSVILLE, GA",,,,,,,
CHICKEN FINGER PLATE - 4 FINGERS,9.79,,ZAXBY'S (5 WALNUT GROVE ROAD),"UBEREATS, CARTERSVILLE, GA",,,,,,,
CHICKEN FINGER PLATE - 5 FINGERS,10.99,,ZAXBY'S (5 WALNUT GROVE ROAD),"UBEREATS, CARTERSVILLE, GA",,,,,,,
CHICKEN FINGER PLATE - 6 FINGERS,12.19,,ZAXBY'S (5 WALNUT GROVE ROAD),"UBEREATS, CARTERSVILLE, GA",,,,,,,
BONELESS WINGS & THINGS,11.29,,ZAXBY'S (5 WALNUT GROVE ROAD),"UBEREATS, CARTERSVILLE, GA",,,,,,,
BUFFALO BONELESS WINGS & THINGS,12.09,,ZAXBY'S (5 WALNUT GROVE ROAD),"UBEREATS, CARTERSVILLE, GA",,,,,,,
TRADITIONAL WINGS & THINGS,12.49,,ZAXBY'S (5 WALNUT GROVE ROAD),"UBEREATS, CARTERSVILLE, GA",,,,,,,
BUFFALO TRADITIONAL WINGS & THINGS,13.29,,ZAXBY'S (5 WALNUT GROVE ROAD),"UBEREATS, CARTERSVILLE, GA",,,,,,,
CHICKEN FINGER PLATE - BUFFALO 4 FINGERS,10.59,,ZAXBY'S (5 WALNUT GROVE ROAD),"UBEREATS, CARTERSVILLE, GA",,,,,,,
CHICKEN FINGER PLATE - BUFFALO 5 FINGERS,11.99,,ZAXBY'S (5 WALNUT GROVE ROAD),"UBEREATS, CARTERSVILLE, GA",,,,,,,
CHICKEN FINGER PLATE - BUFFALO 6 FINGERS,13.39,,ZAXBY'S (5 WALNUT GROVE ROAD),"UBEREATS, CARTERSVILLE, GA",,,,,,,
TRADITIONAL WINGS MEAL,9.19,,ZAXBY'S (5 WALNUT GROVE ROAD),"UBEREATS, CARTERSVILLE, GA",,,,,,,
BUFFALO BIG ZAX SNAK MEAL,8.79,,ZAXBY'S (5 WALNUT GROVE ROAD),"UBEREATS, CARTERSVILLE, GA",,,,,,,
ZAXBY'S  SPICY SIGNATURE SANDWICH,9.14,,ZAXBY'S (5 WALNUT GROVE ROAD),"UBEREATS, CARTERSVILLE, GA",,,,,,,
KICKIN CHICKEN SANDWICH MEAL,7.99,,ZAXBY'S (5 WALNUT GROVE ROAD),"UBEREATS, CARTERSVILLE, GA",,,,,,,
GRILLED CHICKEN SANDWICH MEAL,7.99,,ZAXBY'S (5 WALNUT GROVE ROAD),"UBEREATS, CARTERSVILLE, GA",,,,,,,
3 NIBBLERZ SANDWICH,8.59,,ZAXBY'S (5 WALNUT GROVE ROAD),"UBEREATS, CARTERSVILLE, GA",,,,,,,
ZAXBY'S CLUB SANDWICH MEAL,9.39,,ZAXBY'S (5 WALNUT GROVE ROAD),"UBEREATS, CARTERSVILLE, GA",,,,,,,
CAJUN CLUB SANDWICH MEAL,9.39,,ZAXBY'S (5 WALNUT GROVE ROAD),"UBEREATS, CARTERSVILLE, GA",,,,,,,
THE HOUSE ZALAD - GRILLED,9.99,,ZAXBY'S (5 WALNUT GROVE ROAD),"UBEREATS, CARTERSVILLE, GA",,,,,,,
THE COBB ZALAD - FRIED,10.39,,ZAXBY'S (5 WALNUT GROVE ROAD),"UBEREATS, CARTERSVILLE, GA",,,,,,,
THE COBB ZALAD - GRILLED,10.39,,ZAXBY'S (5 WALNUT GROVE ROAD),"UBEREATS, CARTERSVILLE, GA",,,,,,,
THE BLUE ZALAD - BUFFALO,9.99,,ZAXBY'S (5 WALNUT GROVE ROAD),"UBEREATS, CARTERSVILLE, GA",,,,,,,
THE BLUE ZALAD - BLACKENED,9.99,,ZAXBY'S (5 WALNUT GROVE ROAD),"UBEREATS, CARTERSVILLE, GA",,,,,,,
KIDDIE FINGERZ™ MEAL,5.59,,ZAXBY'S (5 WALNUT GROVE ROAD),"UBEREATS, CARTERSVILLE, GA",,,,,,,
KIDZ NIBBLERZ MEAL,5.59,,ZAXBY'S (5 WALNUT GROVE ROAD),"UBEREATS, CARTERSVILLE, GA",,,,,,,
KIDDIE CHEESE MEAL,5.59,,ZAXBY'S (5 WALNUT GROVE ROAD),"UBEREATS, CARTERSVILLE, GA",,,,,,,
CHICKEN FINGERZ™ - 5,7.49,,ZAXBY'S (5 WALNUT GROVE ROAD),"UBEREATS, CARTERSVILLE, GA",,,,,,,
CHICKEN FINGERZ™ - 10,13.99,,ZAXBY'S (5 WALNUT GROVE ROAD),"UBEREATS, CARTERSVILLE, GA",,,,,,,
CHICKEN FINGERZ™ - 20,26.99,,ZAXBY'S (5 WALNUT GROVE ROAD),"UBEREATS, CARTERSVILLE, GA",,,,,,,
BONELESS WINGS - 10,10.99,,ZAXBY'S (5 WALNUT GROVE ROAD),"UBEREATS, CARTERSVILLE, GA",,,,,,,
BONELESS WINGS - 20,20.99,,ZAXBY'S (5 WALNUT GROVE ROAD),"UBEREATS, CARTERSVILLE, GA",,,,,,,
TRADITIONAL WINGS - 5,7.99,,ZAXBY'S (5 WALNUT GROVE ROAD),"UBEREATS, CARTERSVILLE, GA",,,,,,,
TRADITIONAL WINGS - 10,13.99,,ZAXBY'S (5 WALNUT GROVE ROAD),"UBEREATS, CARTERSVILLE, GA",,,,,,,
TRADITIONAL WINGS - 20,26.99,,ZAXBY'S (5 WALNUT GROVE ROAD),"UBEREATS, CARTERSVILLE, GA",,,,,,,
BUFFALO CHICKEN FINGERZ™ - 5,8.49,,ZAXBY'S (5 WALNUT GROVE ROAD),"UBEREATS, CARTERSVILLE, GA",,,,,,,
BUFFALO CHICKEN FINGERZ™ - 10,15.99,,ZAXBY'S (5 WALNUT GROVE ROAD),"UBEREATS, CARTERSVILLE, GA",,,,,,,
BUFFALO CHICKEN FINGERZ™ - 20,30.99,,ZAXBY'S (5 WALNUT GROVE ROAD),"UBEREATS, CARTERSVILLE, GA",,,,,,,
FRIED WHITE CHEDDAR BITES,4.99,,ZAXBY'S (5 WALNUT GROVE ROAD),"UBEREATS, CARTERSVILLE, GA",,,,,,,
SPICY FRIED MUSHROOMS,4.79,,ZAXBY'S (5 WALNUT GROVE ROAD),"UBEREATS, CARTERSVILLE, GA",,,,,,,
