name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
HASHBROWN CASSEROLE,3.89,190.0,CRACKER BARREL OLD COUNTRY STORE,"76 ROTHROCK LOOP, UBEREATS, COPLEY, OH",,,,,,,
COUNTRY VEGETABLE PLATE,10.39,2480.0,CRACKER BARREL OLD COUNTRY STORE,"76 ROTHROCK LOOP, UBEREATS, COPLEY, OH",,,,,,,
CRISPY ROCKIN' SHRIMP,7.79,370.0,CRACKER BARREL OLD COUNTRY STORE,"76 ROTHROCK LOOP, UBEREATS, COPLEY, OH",,,,,,,
CHICKEN POT PIE,11.69,960.0,CRACKER BARREL OLD COUNTRY STORE,"76 ROTHROCK LOOP, UBEREATS, COPLEY, OH",,,,,,,
SUNDAY HOMESTYLE CHICKEN,14.03,1060.0,CRACKER BARREL OLD COUNTRY STORE,"76 ROTHROCK LOOP, UBEREATS, COPLEY, OH",,,,,,,
DOUBLE MEAT BREAKFAST,11.69,740.0,CRACKER BARREL OLD COUNTRY STORE,"76 ROTHROCK LOOP, UBEREATS, COPLEY, OH",,,,,,,
COUNTRY MORNING BREAKFAST,9.09,230.0,CRACKER BARREL OLD COUNTRY STORE,"76 ROTHROCK LOOP, UBEREATS, COPLEY, OH",,,,,,,
MEAT BISCUITS N' HASHBROWN CASSEROLE OR FRIED APPLES,7.14,320.0,CRACKER BARREL OLD COUNTRY STORE,"76 ROTHROCK LOOP, UBEREATS, COPLEY, OH",,,,,,,
"HASHBROWN CASSEROLE, FRIED APPLES N' BISCUIT",6.49,520.0,CRACKER BARREL OLD COUNTRY STORE,"76 ROTHROCK LOOP, UBEREATS, COPLEY, OH",,,,,,,
TWO EGGS N' BISCUITS,6.49,460.0,CRACKER BARREL OLD COUNTRY STORE,"76 ROTHROCK LOOP, UBEREATS, COPLEY, OH",,,,,,,
WILD MAINE BLUEBERRY PANCAKES,10.39,760.0,CRACKER BARREL OLD COUNTRY STORE,"76 ROTHROCK LOOP, UBEREATS, COPLEY, OH",,,,,,,
PECAN PANCAKES,10.39,1130.0,CRACKER BARREL OLD COUNTRY STORE,"76 ROTHROCK LOOP, UBEREATS, COPLEY, OH",,,,,,,
BUTTERMILK PANCAKES WITH 100% PURE NATURAL SYRUP,9.74,740.0,CRACKER BARREL OLD COUNTRY STORE,"76 ROTHROCK LOOP, UBEREATS, COPLEY, OH",,,,,,,
GRAVY N' BISCUITS,5.58,710.0,CRACKER BARREL OLD COUNTRY STORE,"76 ROTHROCK LOOP, UBEREATS, COPLEY, OH",,,,,,,
COARSE GROUND GRITS,2.59,90.0,CRACKER BARREL OLD COUNTRY STORE,"76 ROTHROCK LOOP, UBEREATS, COPLEY, OH",,,,,,,
SAWMILL GRAVY,2.59,160.0,CRACKER BARREL OLD COUNTRY STORE,"76 ROTHROCK LOOP, UBEREATS, COPLEY, OH",,,,,,,
SMOKED SAUSAGE PATTIES,4.67,240.0,CRACKER BARREL OLD COUNTRY STORE,"76 ROTHROCK LOOP, UBEREATS, COPLEY, OH",,,,,,,
THICK-SLICED BACON,4.67,210.0,CRACKER BARREL OLD COUNTRY STORE,"76 ROTHROCK LOOP, UBEREATS, COPLEY, OH",,,,,,,
COUNTRY HAM,8.05,270.0,CRACKER BARREL OLD COUNTRY STORE,"76 ROTHROCK LOOP, UBEREATS, COPLEY, OH",,,,,,,
"TWO EGGS, ANY WAY YOU LIKE 'EM",3.89,150.0,CRACKER BARREL OLD COUNTRY STORE,"76 ROTHROCK LOOP, UBEREATS, COPLEY, OH",,,,,,,
SWEET N' SMOKY GLAZED TENDERS,11.3,1040.0,CRACKER BARREL OLD COUNTRY STORE,"76 ROTHROCK LOOP, UBEREATS, COPLEY, OH",,,,,,,
GRILLED SIRLOIN STEAK,17.54,350.0,CRACKER BARREL OLD COUNTRY STORE,"76 ROTHROCK LOOP, UBEREATS, COPLEY, OH",,,,,,,
LEMON PEPPER GRILLED RAINBOW TROUT,14.16,330.0,CRACKER BARREL OLD COUNTRY STORE,"76 ROTHROCK LOOP, UBEREATS, COPLEY, OH",,,,,,,
COUNTRY FRIED SHRIMP,14.03,900.0,CRACKER BARREL OLD COUNTRY STORE,"76 ROTHROCK LOOP, UBEREATS, COPLEY, OH",,,,,,,
BISCUIT BEIGNETS,5.19,690.0,CRACKER BARREL OLD COUNTRY STORE,"76 ROTHROCK LOOP, UBEREATS, COPLEY, OH",,,,,,,
HASHBROWN CASSEROLE TOTS,4.15,280.0,CRACKER BARREL OLD COUNTRY STORE,"76 ROTHROCK LOOP, UBEREATS, COPLEY, OH",,,,,,,
LOADED HASHBROWN CASSEROLE TOTS,6.49,800.0,CRACKER BARREL OLD COUNTRY STORE,"76 ROTHROCK LOOP, UBEREATS, COPLEY, OH",,,,,,,
MASHED POTATOES,3.89,200.0,CRACKER BARREL OLD COUNTRY STORE,"76 ROTHROCK LOOP, UBEREATS, COPLEY, OH",,,,,,,
MASHED POTATOES WITH SAWMILL GRAVY,3.89,240.0,CRACKER BARREL OLD COUNTRY STORE,"76 ROTHROCK LOOP, UBEREATS, COPLEY, OH",,,,,,,
STEAK FRIES,3.89,340.0,CRACKER BARREL OLD COUNTRY STORE,"76 ROTHROCK LOOP, UBEREATS, COPLEY, OH",,,,,,,
