name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
SNOW CRAB LEGS,10.49,,RED LOBSTER,"1090 GRAHAM ROAD, UBEREATS, CUYAHOGA FALLS, OH",,,,,,,
VANILLA BEAN CHEESECAKE,8.39,,RED LOBSTER,"1090 GRAHAM ROAD, UBEREATS, CUYAHOGA FALLS, OH",,,,,,,
ULTIMATE FEAST,35.69,,RED LOBSTER,"1090 GRAHAM ROAD, UBEREATS, CUYAHOGA FALLS, OH",,,,,,,
SEAFOOD-STUFFED MUSHROOMS,11.09,,RED LOBSTER,"1090 GRAHAM ROAD, UBEREATS, CUYAHOGA FALLS, OH",,,,,,,
CREATE YOUR OWN COMBINATION - CHOOSE ANY TWO,20.99,,RED LOBSTER,"1090 GRAHAM ROAD, UBEREATS, CUYAHOGA FALLS, OH",,,,,,,
SHRIMP LINGUINI ALFREDO FAMILY MEAL,29.39,,RED LOBSTER,"1090 GRAHAM ROAD, UBEREATS, CUYAHOGA FALLS, OH",,,,,,,
CAJUN CHICKEN LINGUINI ALFREDO FAMILY MEAL,29.39,,RED LOBSTER,"1090 GRAHAM ROAD, UBEREATS, CUYAHOGA FALLS, OH",,,,,,,
CRAB LINGUINI ALFREDO FAMILY MEAL,40.99,,RED LOBSTER,"1090 GRAHAM ROAD, UBEREATS, CUYAHOGA FALLS, OH",,,,,,,
CREATE YOUR OWN FAMILY FEAST,51.49,,RED LOBSTER,"1090 GRAHAM ROAD, UBEREATS, CUYAHOGA FALLS, OH",,,,,,,
SEASIDE SHRIMP TRIO FAMILY FEAST,54.59,,RED LOBSTER,"1090 GRAHAM ROAD, UBEREATS, CUYAHOGA FALLS, OH",,,,,,,
ULTIMATE FAMILY FEAST™,122.89,,RED LOBSTER,"1090 GRAHAM ROAD, UBEREATS, CUYAHOGA FALLS, OH",,,,,,,
ADMIRAL'S FAMILY FEAST,48.29,,RED LOBSTER,"1090 GRAHAM ROAD, UBEREATS, CUYAHOGA FALLS, OH",,,,,,,
KUNG PAO FAMILY NOODLES WITH CHICKEN,33.59,,RED LOBSTER,"1090 GRAHAM ROAD, UBEREATS, CUYAHOGA FALLS, OH",,,,,,,
KUNG PAO FAMILY NOODLES WITH CRISPY LOBSTER TAIL,71.39,,RED LOBSTER,"1090 GRAHAM ROAD, UBEREATS, CUYAHOGA FALLS, OH",,,,,,,
KUNG PAO FAMILY NOODLES WITH CRISPY SHRIMP,37.79,,RED LOBSTER,"1090 GRAHAM ROAD, UBEREATS, CUYAHOGA FALLS, OH",,,,,,,
BAJA SHRIMP FAMILY BOWL,44.09,,RED LOBSTER,"1090 GRAHAM ROAD, UBEREATS, CUYAHOGA FALLS, OH",,,,,,,
SESAME-SOY SALMON FAMILY BOWL,49.39,,RED LOBSTER,"1090 GRAHAM ROAD, UBEREATS, CUYAHOGA FALLS, OH",,,,,,,
NEW! BACON-WRAPPED SEA SCALLOPS,11.09,,RED LOBSTER,"1090 GRAHAM ROAD, UBEREATS, CUYAHOGA FALLS, OH",,,,,,,
LOBSTER AND LANGOSTINO PIZZA,13.69,,RED LOBSTER,"1090 GRAHAM ROAD, UBEREATS, CUYAHOGA FALLS, OH",,,,,,,
SIGNATURE JUMBO SHRIMP COCKTAIL,10.49,,RED LOBSTER,"1090 GRAHAM ROAD, UBEREATS, CUYAHOGA FALLS, OH",,,,,,,
PARROT ISLE JUMBO COCONUT SHRIMP APPETIZER,11.59,,RED LOBSTER,"1090 GRAHAM ROAD, UBEREATS, CUYAHOGA FALLS, OH",,,,,,,
LANGOSTINO LOBSTER-ARTICHOKE-AND-SEAFOOD DIP,11.59,,RED LOBSTER,"1090 GRAHAM ROAD, UBEREATS, CUYAHOGA FALLS, OH",,,,,,,
