name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
HIBACHI CHICKEN RICE 12OZ,10.6,,BENIHANA (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
CHICKEN & SHRIMP,35.0,,BENIHANA (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
CALIFORNIA ROLL,8.4,,BENIHANA (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
HIBACHI CHICKEN RICE 24OZ,21.2,,BENIHANA (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
BENIHANA TRIO,44.6,,BENIHANA (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
STEAK & CHICKEN,46.0,,BENIHANA (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
STEAK & SHRIMP,50.0,,BENIHANA (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
WINGS FOR 2,25.0,,BENIHANA (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
WINGS FOR 4,50.0,,BENIHANA (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
WINGS FOR 6,75.0,,BENIHANA (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
HIBACHI CHICKEN RICE 6OZ,5.3,,BENIHANA (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
HIBACHI BEEF RICE 6 OZ.,6.3,,BENIHANA (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
HIBACHI BEEF RICE 12 OZ.,12.6,,BENIHANA (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
HIBACHI BEEF RICE 24 OZ.,25.2,,BENIHANA (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
HIBACHI SHRIMP RICE 6 OZ.,6.3,,BENIHANA (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
HIBACHI SHRIMP RICE 12 OZ.,12.6,,BENIHANA (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
HIBACHI SHRIMP RICE 24 OZ.,25.2,,BENIHANA (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
GINGER SAUCE 1 OZ,0.5,,BENIHANA (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
GINGER SAUCE 1 PINT,5.3,,BENIHANA (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
BENIHANA ORIGINAL GARLIC SAUCE™1 OZ.,0.5,,BENIHANA (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
BENIHANA ORIGINAL GARLIC SAUCE™ 1 PINT,5.8,,BENIHANA (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
MUSTARD SAUCE 1 OZ.,0.5,,BENIHANA (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
MUSTARD SAUCE 1 PINT,5.3,,BENIHANA (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
GINGER DRESSING 1OZ,0.5,,BENIHANA (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
GINGER DRESSING 1 PINT,5.3,,BENIHANA (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
TERIYAKI SAUCE 1 OZ.,0.5,,BENIHANA (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
TERIYAKI SAUCE 1 PINT,6.3,,BENIHANA (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
NEW WINGS,10.0,,BENIHANA (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
SEAWEED SALAD,5.9,,BENIHANA (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
EDAMAME,6.7,,BENIHANA (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
SHRIMP TEMPURA,10.7,,BENIHANA (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
SHRIMP SAUTÉ,10.8,,BENIHANA (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
BENIHANA ONION SOUP,4.6,,BENIHANA (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
MISO SOUP,4.9,,BENIHANA (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
BENIHANA SALAD,4.5,,BENIHANA (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
RAMEN CHASHU,16.9,,BENIHANA (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
RAMEN SPICY CHILI GARLIC,14.8,,BENIHANA (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
RAMEN TONKOTSU,11.1,,BENIHANA (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
CUCUMBER ROLL,6.5,,BENIHANA (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
SALMON ROLL,7.0,,BENIHANA (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
