name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
JUMBO CHEESE JALAPENO ROLL,2.79,,CHOI'S DONUTS-DALLAS TX,"UBEREATS, DALLAS, TX",,,,,,,
HAM AND CHEESE CROISSANT,3.49,,CHOI'S DONUTS-DALLAS TX,"UBEREATS, DALLAS, TX",,,,,,,
JUMBO CHEESE SAUSAGE ROLL,2.59,,CHOI'S DONUTS-DALLAS TX,"UBEREATS, DALLAS, TX",,,,,,,
"SAUSAGE, CHEESE, BACON, AND EGG TACO",2.99,,CHOI'S DONUTS-DALLAS TX,"UBEREATS, DALLAS, TX",,,,,,,
MONSTER,2.99,,CHOI'S DONUTS-DALLAS TX,"UBEREATS, DALLAS, TX",,,,,,,
HAM AND EGG CHEESE SANDWICH,3.99,,CHOI'S DONUTS-DALLAS TX,"UBEREATS, DALLAS, TX",,,,,,,
BACON AND EGG CHEESE SANDWICH,3.99,,CHOI'S DONUTS-DALLAS TX,"UBEREATS, DALLAS, TX",,,,,,,
SAUSAGE AND EGG CHEESE SANDWICH,3.99,,CHOI'S DONUTS-DALLAS TX,"UBEREATS, DALLAS, TX",,,,,,,
"SAUSAGE, BACON, AND EGG CHEESE SANDWICH",4.5,,CHOI'S DONUTS-DALLAS TX,"UBEREATS, DALLAS, TX",,,,,,,
"SAUSAGE, POTATO, EGG, AND CHEESE BURRITO",2.99,,CHOI'S DONUTS-DALLAS TX,"UBEREATS, DALLAS, TX",,,,,,,
SAUSAGE AND CHEESE BISCUIT,2.99,,CHOI'S DONUTS-DALLAS TX,"UBEREATS, DALLAS, TX",,,,,,,
"SAUSAGE, CHEESE, AND JALAPENO BISCUIT",3.25,,CHOI'S DONUTS-DALLAS TX,"UBEREATS, DALLAS, TX",,,,,,,
SMALL CHEESE SAUSAGE ROLL,1.29,,CHOI'S DONUTS-DALLAS TX,"UBEREATS, DALLAS, TX",,,,,,,
SMALL CROISSANT ROLL,1.59,,CHOI'S DONUTS-DALLAS TX,"UBEREATS, DALLAS, TX",,,,,,,
SMALL CROISSANT ROLL WITH BACON,1.79,,CHOI'S DONUTS-DALLAS TX,"UBEREATS, DALLAS, TX",,,,,,,
FROZEN PRINCESS,2.5,,CHOI'S DONUTS-DALLAS TX,"UBEREATS, DALLAS, TX",,,,,,,
DISNEY PRINCESS,2.5,,CHOI'S DONUTS-DALLAS TX,"UBEREATS, DALLAS, TX",,,,,,,
BATMAN,2.5,,CHOI'S DONUTS-DALLAS TX,"UBEREATS, DALLAS, TX",,,,,,,
TINKERBELL,2.5,,CHOI'S DONUTS-DALLAS TX,"UBEREATS, DALLAS, TX",,,,,,,
