name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CHERRY CHEESECAKE ROLL,6.5,,CINNAHOLIC (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
GERMAN CHOCOLATE ROLL,7.0,,CINNAHOLIC (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
MINI NON-DAIRY MILK,2.6,,CINNAHOLIC (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
BOTTLED SODA,3.9,,CINNAHOLIC (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
MACAROONS (GF) (2 PACK),2.5,,CINNAHOLIC (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
OLD SKOOL ROLL,6.18,,CINNAHOLIC (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
BUILD YOUR OWN CINNAMON ROLL,6.18,,CINNAHOLIC (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
BLUEBERRY PIE ROLL,7.8,,CINNAHOLIC (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
COOKIE MONSTER ROLL,8.45,,CINNAHOLIC (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
CARAMEL APPLE PIE ROLL,9.1,,CINNAHOLIC (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
CAMPFIRE S'MORES ROLL,8.45,,CINNAHOLIC (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
RASPBERRY DREAM ROLL,7.8,,CINNAHOLIC (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
SPARKLE BERRY ROLL,7.8,,CINNAHOLIC (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
TROPICAL BLISS ROLL,8.45,,CINNAHOLIC (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
PLAIN ROLL,5.85,,CINNAHOLIC (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
COOKIE DOUGH TUB,6.5,,CINNAHOLIC (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
COOKIE DOUGH SCOOP - BUILD YOUR OWN,3.89,,CINNAHOLIC (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
COOKIE DOUGH SCOOP - CONFETTI,3.89,,CINNAHOLIC (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
COOKIE DOUGH SCOOP - COOKIES & CREAM,3.89,,CINNAHOLIC (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
COOKIE DOUGH SCOOP - GERMAN CHOCOLATE,3.89,,CINNAHOLIC (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
COOKIE DOUGH SCOOP - MOCHA MADNESS,3.89,,CINNAHOLIC (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
COOKIE DOUGH SCOOP - PB&J,3.89,,CINNAHOLIC (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
COOKIE DOUGH SCOOP - SALTED ELVIS,3.89,,CINNAHOLIC (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
COOKIE DOUGH SCOOP - STRAWBERRIES & CREAM,3.89,,CINNAHOLIC (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
COOKIE DOUGH SCOOP - S'MORES,3.89,,CINNAHOLIC (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
COOKIES,2.6,,CINNAHOLIC (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
BROWNIES,3.25,,CINNAHOLIC (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
BABY BUNS,6.5,,CINNAHOLIC (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
BUILD YOUR OWN - NOT A ROLL,2.6,,CINNAHOLIC (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
SIDE OF FROSTING,0.65,,CINNAHOLIC (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
BOTTLED WATER,2.6,,CINNAHOLIC (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
COFFEE,3.9,,CINNAHOLIC (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
ICED COFFEE,4.75,,CINNAHOLIC (ADDISON),"UBEREATS, DALLAS, TX",,,,,,,
