name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CHOOSE TWO,11.79,1690.0,CORNER BAKERY (8420 PRESTON CENTER PLAZA),"UBEREATS, DALLAS, TX",,,,,,,
CHICKEN POMODORI,11.79,800.0,CORNER BAKERY (8420 PRESTON CENTER PLAZA),"UBEREATS, DALLAS, TX",,,,,,,
UPTOWN TURKEY AVOCADO,11.49,730.0,CORNER BAKERY (8420 PRESTON CENTER PLAZA),"UBEREATS, DALLAS, TX",,,,,,,
CHICKEN PESTO,11.79,750.0,CORNER BAKERY (8420 PRESTON CENTER PLAZA),"UBEREATS, DALLAS, TX",,,,,,,
SIDE OF TOASTED GARLIC BREAD,0.79,160.0,CORNER BAKERY (8420 PRESTON CENTER PLAZA),"UBEREATS, DALLAS, TX",,,,,,,
MORNING RUSH,4.29,650.0,CORNER BAKERY (8420 PRESTON CENTER PLAZA),"UBEREATS, DALLAS, TX",,,,,,,
BACON AVOCADO EGG BOWL,8.99,,CORNER BAKERY (8420 PRESTON CENTER PLAZA),"UBEREATS, DALLAS, TX",,,,,,,
POWER BREAKFAST EGG BOWL,9.79,,CORNER BAKERY (8420 PRESTON CENTER PLAZA),"UBEREATS, DALLAS, TX",,,,,,,
ANAHEIM SCRAMBLER,10.39,600.0,CORNER BAKERY (8420 PRESTON CENTER PLAZA),"UBEREATS, DALLAS, TX",,,,,,,
ALL AMERICAN SCRAMBLER,8.99,400.0,CORNER BAKERY (8420 PRESTON CENTER PLAZA),"UBEREATS, DALLAS, TX",,,,,,,
BUTTERMILK PANCAKES,8.49,1010.0,CORNER BAKERY (8420 PRESTON CENTER PLAZA),"UBEREATS, DALLAS, TX",,,,,,,
BBLT & EGG SANDWICH,9.79,840.0,CORNER BAKERY (8420 PRESTON CENTER PLAZA),"UBEREATS, DALLAS, TX",,,,,,,
BACON & CHEDDAR PANINI,6.89,620.0,CORNER BAKERY (8420 PRESTON CENTER PLAZA),"UBEREATS, DALLAS, TX",,,,,,,
ANAHEIM PANINI,6.99,590.0,CORNER BAKERY (8420 PRESTON CENTER PLAZA),"UBEREATS, DALLAS, TX",,,,,,,
AVOCADO & SPINACH BREAKFAST WRAP (V),5.79,500.0,CORNER BAKERY (8420 PRESTON CENTER PLAZA),"UBEREATS, DALLAS, TX",,,,,,,
"BACON, EGG & CHEDDAR BREAKFAST WRAP",6.89,570.0,CORNER BAKERY (8420 PRESTON CENTER PLAZA),"UBEREATS, DALLAS, TX",,,,,,,
"SAUSAGE, EGG & CHEDDAR BREAKFAST WRAP",6.89,540.0,CORNER BAKERY (8420 PRESTON CENTER PLAZA),"UBEREATS, DALLAS, TX",,,,,,,
APPLE & BANANA OVERNIGHT OATS,4.79,490.0,CORNER BAKERY (8420 PRESTON CENTER PLAZA),"UBEREATS, DALLAS, TX",,,,,,,
BERRY & ALMOND OVERNIGHT OATS,6.79,620.0,CORNER BAKERY (8420 PRESTON CENTER PLAZA),"UBEREATS, DALLAS, TX",,,,,,,
FRESH BERRY & YOGURT PARFAIT,4.98,370.0,CORNER BAKERY (8420 PRESTON CENTER PLAZA),"UBEREATS, DALLAS, TX",,,,,,,
SIDE OF BACON,3.99,,CORNER BAKERY (8420 PRESTON CENTER PLAZA),"UBEREATS, DALLAS, TX",,,,,,,
SIDE OF EGGS,3.99,,CORNER BAKERY (8420 PRESTON CENTER PLAZA),"UBEREATS, DALLAS, TX",,,,,,,
