name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CHICKEN STRIP COUNTRY BASKET,9.59,,DAIRY QUEEN (14815 COIT RD),"UBEREATS, DALLAS, TX",,,,,,,
STEAK FINGER COUNTRY BASKET,9.59,,DAIRY QUEEN (14815 COIT RD),"UBEREATS, DALLAS, TX",,,,,,,
TRIPLE BUSTER WITH CHEESE,11.39,,DAIRY QUEEN (14815 COIT RD),"UBEREATS, DALLAS, TX",,,,,,,
BELTBUSTER,10.07,,DAIRY QUEEN (14815 COIT RD),"UBEREATS, DALLAS, TX",,,,,,,
HUNGER BUSTER,8.03,,DAIRY QUEEN (14815 COIT RD),"UBEREATS, DALLAS, TX",,,,,,,
FROSTED ANIMAL COOKIE BLIZZARD TREAT,3.83,,DAIRY QUEEN (14815 COIT RD),"UBEREATS, DALLAS, TX",,,,,,,
OREO CHEESECAKE BLIZZARD TREAT,3.83,,DAIRY QUEEN (14815 COIT RD),"UBEREATS, DALLAS, TX",,,,,,,
RASPBERRY FUDGE BLISS BLIZZARD TREAT,3.83,,DAIRY QUEEN (14815 COIT RD),"UBEREATS, DALLAS, TX",,,,,,,
ROYAL ROCKY ROAD TRIP BLIZZARD TREAT,3.83,,DAIRY QUEEN (14815 COIT RD),"UBEREATS, DALLAS, TX",,,,,,,
BROWNIE DOUGH BLIZZARD TREAT,3.83,,DAIRY QUEEN (14815 COIT RD),"UBEREATS, DALLAS, TX",,,,,,,
BUTTERFINGER BLIZZARD TREAT,3.83,,DAIRY QUEEN (14815 COIT RD),"UBEREATS, DALLAS, TX",,,,,,,
CHOCO BROWNIE EXTREME BLIZZARD TREAT,3.83,,DAIRY QUEEN (14815 COIT RD),"UBEREATS, DALLAS, TX",,,,,,,
CHOCOLATE CHIP COOKIE DOUGH BLIZZARD TREAT,3.88,,DAIRY QUEEN (14815 COIT RD),"UBEREATS, DALLAS, TX",,,,,,,
COTTON CANDY BLIZZARD TREAT,3.83,,DAIRY QUEEN (14815 COIT RD),"UBEREATS, DALLAS, TX",,,,,,,
HEATH BLIZZARD TREAT,3.83,,DAIRY QUEEN (14815 COIT RD),"UBEREATS, DALLAS, TX",,,,,,,
M AND M’S MILK CHOCOLATE CANDIES BLIZZARD TREAT,3.83,,DAIRY QUEEN (14815 COIT RD),"UBEREATS, DALLAS, TX",,,,,,,
OREO COOKIE JAR BLIZZARD TREAT,3.83,,DAIRY QUEEN (14815 COIT RD),"UBEREATS, DALLAS, TX",,,,,,,
OREO COOKIES BLIZZARD TREAT,3.83,,DAIRY QUEEN (14815 COIT RD),"UBEREATS, DALLAS, TX",,,,,,,
REESES PEANUT BUTTER CUP BLIZZARD TREAT,3.83,,DAIRY QUEEN (14815 COIT RD),"UBEREATS, DALLAS, TX",,,,,,,
TURTLE PECAN CLUSTER BLIZZARD TREAT,3.83,,DAIRY QUEEN (14815 COIT RD),"UBEREATS, DALLAS, TX",,,,,,,
ROYAL NEW YORK CHEESECAKE BLIZZARD TREAT,4.79,,DAIRY QUEEN (14815 COIT RD),"UBEREATS, DALLAS, TX",,,,,,,
ONION RINGS,2.89,,DAIRY QUEEN (14815 COIT RD),"UBEREATS, DALLAS, TX",,,,,,,
FRENCH FRIES,2.3,,DAIRY QUEEN (14815 COIT RD),"UBEREATS, DALLAS, TX",,,,,,,
JALITOS,2.89,,DAIRY QUEEN (14815 COIT RD),"UBEREATS, DALLAS, TX",,,,,,,
GRILLED CHICKEN SALAD,8.99,,DAIRY QUEEN (14815 COIT RD),"UBEREATS, DALLAS, TX",,,,,,,
CRISPY CHICKEN SALAD,8.99,,DAIRY QUEEN (14815 COIT RD),"UBEREATS, DALLAS, TX",,,,,,,
TACO SALAD CHICKEN,8.99,,DAIRY QUEEN (14815 COIT RD),"UBEREATS, DALLAS, TX",,,,,,,
TACO SALAD BEEF,8.99,,DAIRY QUEEN (14815 COIT RD),"UBEREATS, DALLAS, TX",,,,,,,
HUNGER BUSTER JR.,6.23,,DAIRY QUEEN (14815 COIT RD),"UBEREATS, DALLAS, TX",,,,,,,
DUDE CHICKEN FRIED STEAK SANDWICH,9.11,,DAIRY QUEEN (14815 COIT RD),"UBEREATS, DALLAS, TX",,,,,,,
GRILLED CHICKEN SANDWICH,9.11,,DAIRY QUEEN (14815 COIT RD),"UBEREATS, DALLAS, TX",,,,,,,
T BRAND TACO,1.99,,DAIRY QUEEN (14815 COIT RD),"UBEREATS, DALLAS, TX",,,,,,,
TEXAS T BRAND TACOS,7.79,,DAIRY QUEEN (14815 COIT RD),"UBEREATS, DALLAS, TX",,,,,,,
NACHO DELUXE,7.79,,DAIRY QUEEN (14815 COIT RD),"UBEREATS, DALLAS, TX",,,,,,,
HAMBURGER,5.99,,DAIRY QUEEN (14815 COIT RD),"UBEREATS, DALLAS, TX",,,,,,,
KIDS' CHICKEN STRIPS,5.99,,DAIRY QUEEN (14815 COIT RD),"UBEREATS, DALLAS, TX",,,,,,,
KIDS' STEAK FINGERS,5.99,,DAIRY QUEEN (14815 COIT RD),"UBEREATS, DALLAS, TX",,,,,,,
DILLY BAR,2.39,,DAIRY QUEEN (14815 COIT RD),"UBEREATS, DALLAS, TX",,,,,,,
DQ SANDWICH,1.91,,DAIRY QUEEN (14815 COIT RD),"UBEREATS, DALLAS, TX",,,,,,,
BUSTER BAR,3.35,,DAIRY QUEEN (14815 COIT RD),"UBEREATS, DALLAS, TX",,,,,,,
SHAKE,3.59,,DAIRY QUEEN (14815 COIT RD),"UBEREATS, DALLAS, TX",,,,,,,
MALT,3.59,,DAIRY QUEEN (14815 COIT RD),"UBEREATS, DALLAS, TX",,,,,,,
SOFT DRINKS,1.79,,DAIRY QUEEN (14815 COIT RD),"UBEREATS, DALLAS, TX",,,,,,,
