name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
STREET TACOS,9.99,,EL POLLITO LOCO,"UBEREATS, DALLAS, TX",,,,,,,
CARNE ASADA,11.99,,EL POLLITO LOCO,"UBEREATS, DALLAS, TX",,,,,,,
FLAUTAS DE POLLO (CHICKEN),9.99,,EL POLLITO LOCO,"UBEREATS, DALLAS, TX",,,,,,,
CALDO DE POLLO ( CHICKEN),9.99,,EL POLLITO LOCO,"UBEREATS, DALLAS, TX",,,,,,,
TORTA LOCA,9.99,,EL POLLITO LOCO,"UBEREATS, DALLAS, TX",,,,,,,
WHOLE CHICKEN,21.99,,EL POLLITO LOCO,"UBEREATS, DALLAS, TX",,,,,,,
HALF CHICKEN,10.99,,EL POLLITO LOCO,"UBEREATS, DALLAS, TX",,,,,,,
TOSTADA SIBERIA,8.99,,EL POLLITO LOCO,"UBEREATS, DALLAS, TX",,,,,,,
TOSTADA,8.99,,EL POLLITO LOCO,"UBEREATS, DALLAS, TX",,,,,,,
TACO LOCO,7.99,,EL POLLITO LOCO,"UBEREATS, DALLAS, TX",,,,,,,
NACHOS LOCOS,8.99,,EL POLLITO LOCO,"UBEREATS, DALLAS, TX",,,,,,,
QUESADILLA,7.99,,EL POLLITO LOCO,"UBEREATS, DALLAS, TX",,,,,,,
HAMBURGUESA AL CARBON,8.99,,EL POLLITO LOCO,"UBEREATS, DALLAS, TX",,,,,,,
HAMBURGUESA HAWAIIANA,8.99,,EL POLLITO LOCO,"UBEREATS, DALLAS, TX",,,,,,,
HAMBURGUESA DE POLLO (CHICKEN),8.99,,EL POLLITO LOCO,"UBEREATS, DALLAS, TX",,,,,,,
PAPA LOCA,8.99,,EL POLLITO LOCO,"UBEREATS, DALLAS, TX",,,,,,,
POLLIO LOCO BOWL,7.99,,EL POLLITO LOCO,"UBEREATS, DALLAS, TX",,,,,,,
TACO SALAD,8.99,,EL POLLITO LOCO,"UBEREATS, DALLAS, TX",,,,,,,
BURRITO LOCO,8.99,,EL POLLITO LOCO,"UBEREATS, DALLAS, TX",,,,,,,
CHIMICHANGA,8.99,,EL POLLITO LOCO,"UBEREATS, DALLAS, TX",,,,,,,
GORDITA,8.99,,EL POLLITO LOCO,"UBEREATS, DALLAS, TX",,,,,,,
PECHUGA (CHICKEN) AL CARBON,10.99,,EL POLLITO LOCO,"UBEREATS, DALLAS, TX",,,,,,,
PARRILLADA MIXED,18.99,,EL POLLITO LOCO,"UBEREATS, DALLAS, TX",,,,,,,
RED SALSA,0.25,,EL POLLITO LOCO,"UBEREATS, DALLAS, TX",,,,,,,
GREEN SALSA,0.25,,EL POLLITO LOCO,"UBEREATS, DALLAS, TX",,,,,,,
BOTTLED WATER,1.5,,EL POLLITO LOCO,"UBEREATS, DALLAS, TX",,,,,,,
COCA-COLA,3.0,,EL POLLITO LOCO,"UBEREATS, DALLAS, TX",,,,,,,
JARRITOS ORANGE,2.3,,EL POLLITO LOCO,"UBEREATS, DALLAS, TX",,,,,,,
JARRITOS PINEAPPLE,2.3,,EL POLLITO LOCO,"UBEREATS, DALLAS, TX",,,,,,,
TOPO CHICO,2.3,,EL POLLITO LOCO,"UBEREATS, DALLAS, TX",,,,,,,
MENUDO,7.99,,EL POLLITO LOCO,"UBEREATS, DALLAS, TX",,,,,,,
