name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
GLAZED DONUT HOLES,2.0,,FOREST DONUTS,"UBEREATS, DALLAS, TX",,,,,,,
BLUEBERRY CAKE DONUT,1.69,,FOREST DONUTS,"UBEREATS, DALLAS, TX",,,,,,,
TWISTED DOUGHNUT,1.99,,FOREST DONUTS,"UBEREATS, DALLAS, TX",,,,,,,
KOLACHE JALAPENO,1.69,,FOREST DONUTS,"UBEREATS, DALLAS, TX",,,,,,,
OLD-FASHION DOUGHNUT,1.69,,FOREST DONUTS,"UBEREATS, DALLAS, TX",,,,,,,
APPLE FRITTER DONUT,2.69,,FOREST DONUTS,"UBEREATS, DALLAS, TX",,,,,,,
SPRINKLE DONUT,1.59,,FOREST DONUTS,"UBEREATS, DALLAS, TX",,,,,,,
CHOCOLATE DONUT,0.99,,FOREST DONUTS,"UBEREATS, DALLAS, TX",,,,,,,
CINNAMON ROLL DONUT,2.69,,FOREST DONUTS,"UBEREATS, DALLAS, TX",,,,,,,
DOUBLE CHOCO CAKE DONUT,1.69,,FOREST DONUTS,"UBEREATS, DALLAS, TX",,,,,,,
LONG JOHN DONUT,1.99,,FOREST DONUTS,"UBEREATS, DALLAS, TX",,,,,,,
RASPBERRY FILLED DONUT,1.99,,FOREST DONUTS,"UBEREATS, DALLAS, TX",,,,,,,
GLAZED DONUT,0.99,,FOREST DONUTS,"UBEREATS, DALLAS, TX",,,,,,,
PLAIN CAKE DOUGHNUT,1.59,,FOREST DONUTS,"UBEREATS, DALLAS, TX",,,,,,,
ECLAIR BAVARIAN CREAM,2.19,,FOREST DONUTS,"UBEREATS, DALLAS, TX",,,,,,,
BURRITO,3.49,,FOREST DONUTS,"UBEREATS, DALLAS, TX",,,,,,,
KOLACHE REG,1.59,,FOREST DONUTS,"UBEREATS, DALLAS, TX",,,,,,,
KOLACHE CROISSANT,2.19,,FOREST DONUTS,"UBEREATS, DALLAS, TX",,,,,,,
"SAUSAGE, EGG, AND CHEESE CROIS",4.59,,FOREST DONUTS,"UBEREATS, DALLAS, TX",,,,,,,
"HAM, EGG, AND CHEESE CROIS",4.59,,FOREST DONUTS,"UBEREATS, DALLAS, TX",,,,,,,
KOLACHE JUMBO,2.99,,FOREST DONUTS,"UBEREATS, DALLAS, TX",,,,,,,
MUFFIN,2.99,,FOREST DONUTS,"UBEREATS, DALLAS, TX",,,,,,,
OZARKA WATER,1.39,,FOREST DONUTS,"UBEREATS, DALLAS, TX",,,,,,,
COFFEE,1.59,,FOREST DONUTS,"UBEREATS, DALLAS, TX",,,,,,,
CAPPUCCINO,1.99,,FOREST DONUTS,"UBEREATS, DALLAS, TX",,,,,,,
GATORADE,2.99,,FOREST DONUTS,"UBEREATS, DALLAS, TX",,,,,,,
MONSTER,3.99,,FOREST DONUTS,"UBEREATS, DALLAS, TX",,,,,,,
ICE DRINK,1.99,,FOREST DONUTS,"UBEREATS, DALLAS, TX",,,,,,,
JUICE BOX,1.59,,FOREST DONUTS,"UBEREATS, DALLAS, TX",,,,,,,
MILK LARGE,2.19,,FOREST DONUTS,"UBEREATS, DALLAS, TX",,,,,,,
SMALL JUICE,1.49,,FOREST DONUTS,"UBEREATS, DALLAS, TX",,,,,,,
SOBE,2.89,,FOREST DONUTS,"UBEREATS, DALLAS, TX",,,,,,,
SODA,1.2,,FOREST DONUTS,"UBEREATS, DALLAS, TX",,,,,,,
STARBUCKS SMALL,3.99,,FOREST DONUTS,"UBEREATS, DALLAS, TX",,,,,,,
SUNNY D,1.39,,FOREST DONUTS,"UBEREATS, DALLAS, TX",,,,,,,
VITAMIN WATER,2.99,,FOREST DONUTS,"UBEREATS, DALLAS, TX",,,,,,,
MONSTER ULTRA ICE LOW CARB,3.99,,FOREST DONUTS,"UBEREATS, DALLAS, TX",,,,,,,
CHOCOLATE MILK LARGE,2.19,,FOREST DONUTS,"UBEREATS, DALLAS, TX",,,,,,,
NESQUICK SMALL CHOCOLATE,1.99,,FOREST DONUTS,"UBEREATS, DALLAS, TX",,,,,,,
MIXED DOZEN,13.99,,FOREST DONUTS,"UBEREATS, DALLAS, TX",,,,,,,
GLAZED DOZEN,10.99,,FOREST DONUTS,"UBEREATS, DALLAS, TX",,,,,,,
CHOCOLATE DOZEN,10.99,,FOREST DONUTS,"UBEREATS, DALLAS, TX",,,,,,,
KOLACHE DOZEN,15.99,,FOREST DONUTS,"UBEREATS, DALLAS, TX",,,,,,,
CHOCOLATE DONUT HOLES,3.0,,FOREST DONUTS,"UBEREATS, DALLAS, TX",,,,,,,
SPRINKLED DONUT HOLES DOZEN,3.99,,FOREST DONUTS,"UBEREATS, DALLAS, TX",,,,,,,
