name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
3 ENTREES,10.99,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
2 ENTREES,9.49,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
R6. SPICY CRAB ROLL,6.49,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
SNOW CRAB LEG,24.99,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
R1. CALIFORNIA ROLL,6.49,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
CRAWFISH,10.99,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
SHRIMP,13.49,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
BABY CLAM,10.49,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
GREEN MUSSEL,13.49,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
SAUSAGE,7.99,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
COMBO A,29.99,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
COMBO B,18.99,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
COMBO C,39.99,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
COMBO D,27.99,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
A1. EGG ROLLS,2.99,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
A2. SPRING ROLLS,2.49,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
A3. CHICKEN STICKS,3.29,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
A4. CHICKEN NUGGET,5.49,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
A5. CHEESE WONTON,5.99,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
A6. FRIED SHRIMP,7.49,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
A7. CHICKEN WINGS,9.49,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
A8. BUFFALO WINGS,9.49,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
A9. SWEET DONUTS,5.99,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
A10. DUMPLINGS,6.99,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
C1. CHICKEN WITH BROCCOLI,9.99,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
C2. SWEET AND SOUR CHICKEN,9.99,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
C3. BLACK PEPPER CHICKEN,10.99,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
C4. ORANGE CHICKEN,10.99,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
C5. SESAME CHICKEN,10.99,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
C6. HOUSE CHICKEN,10.99,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
C7. TERIYAKI CHICKEN,10.99,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
O1. WONTON SOUP,2.99,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
O2. HOT & SOUR SOUP,2.99,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
O3. EGG DROP SOUP,2.99,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
O4. HOT FISH SOUP,3.49,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
D1. MUSHROOM/SPRING BEAN/MIX VEG,8.99,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
D2. BEEF WITH BROCCOLI,11.49,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
D3. MONGOLIAN BEEF,11.99,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
D4. PEPPER STEAK W. ONIONS,10.99,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
D5. SHRIMP W. BROCCOLI,12.99,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
D6. GARLIC SHRIMP,13.99,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
D7. SPARE RIBS,9.99,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
D8. FRIED FISH FILLET,9.99,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
D9. SALT & PEPPER BLUE CRAB,12.99,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
D10. CLAM WITH BLACK BEAN,10.49,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
D11. SALT & PEPPER SHRIMP,13.99,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
D12. FRIED CALAMARI,16.99,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
WHITE RICE,3.5,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
CRISPY NOODLE,0.75,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
FORTUNE COOKIES,0.5,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
FRIED RICE,3.99,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
VEGETABLE FRIED RICE,7.49,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
CHICKEN FRIED RICE,8.49,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
BBQ PORK FRIED RICE,8.49,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
SHRIMP FRIED RICE,9.99,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
BEEF FRIED RICE,9.49,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
COMBO FRIED RICE,10.99,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
VEGETABLE LO MEIN,7.99,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
CHICKEN LO MEIN,8.99,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
BBQ PORK LO MEIN,8.99,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
SHRIMP LO MEIN,10.49,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
BEEF LO MEIN,9.99,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
COMBO LO MEIN,11.49,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
VEGETABLE MEI FUN,7.99,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
CHICKEN MEI FUN,8.99,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
BBQ PORK LO MEI FUN,8.99,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
SHRIMP MEI FUN,10.49,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
BEEF MEI FUN,9.99,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
COMBO MEI FUN,11.49,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
R2. PHILADELPHIA ROLL,6.49,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
R3. KANI CREAM CHEESE ROLL,6.49,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
R4. SPICY SALMON ROLL,6.49,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
R5. SPICY TUNA ROLL,6.49,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
R7. EEL AVOCADO ROLL,6.49,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
R8. TUNA ROLL,6.49,,KING BUFFET (TECHNOLOGY BLVD),"UBEREATS, DALLAS, TX",,,,,,,
