name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
QUESADILLAS,19.2,,MANNY'S TEX-MEX COIT,"UBEREATS, DALLAS, TX",,,,,,,
BRISKET TACOS,15.6,,MANNY'S TEX-MEX COIT,"UBEREATS, DALLAS, TX",,,,,,,
CHICKEN FAJITAS,21.6,,MANNY'S TEX-MEX COIT,"UBEREATS, DALLAS, TX",,,,,,,
BEEF FAJITAS,24.0,,MANNY'S TEX-MEX COIT,"UBEREATS, DALLAS, TX",,,,,,,
CHIMICHANGAS,22.8,,MANNY'S TEX-MEX COIT,"UBEREATS, DALLAS, TX",,,,,,,
BOWL OF QUESO,7.2,,MANNY'S TEX-MEX COIT,"UBEREATS, DALLAS, TX",,,,,,,
SHRIMP FAJITAS,24.0,,MANNY'S TEX-MEX COIT,"UBEREATS, DALLAS, TX",,,,,,,
ENCHILADAS,13.2,,MANNY'S TEX-MEX COIT,"UBEREATS, DALLAS, TX",,,,,,,
COWBOY TACOS,20.4,,MANNY'S TEX-MEX COIT,"UBEREATS, DALLAS, TX",,,,,,,
CRISPY TACOS,12.0,,MANNY'S TEX-MEX COIT,"UBEREATS, DALLAS, TX",,,,,,,
FLAUTAS,14.4,,MANNY'S TEX-MEX COIT,"UBEREATS, DALLAS, TX",,,,,,,
SHRIMP TACOS,24.0,,MANNY'S TEX-MEX COIT,"UBEREATS, DALLAS, TX",,,,,,,
CHIPOTLE SHRIMP,24.0,,MANNY'S TEX-MEX COIT,"UBEREATS, DALLAS, TX",,,,,,,
MOJO DE AJO SHRIMP,24.0,,MANNY'S TEX-MEX COIT,"UBEREATS, DALLAS, TX",,,,,,,
SALMON,25.2,,MANNY'S TEX-MEX COIT,"UBEREATS, DALLAS, TX",,,,,,,
VEGGIE FAJITAS,18.0,,MANNY'S TEX-MEX COIT,"UBEREATS, DALLAS, TX",,,,,,,
