name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CARNITAS (PORK) PLATE,8.79,,TACO FACTORY NORTHWEST,"UBEREATS, DALLAS, TX",,,,,,,
RANCHERO BURRITO,7.39,,TACO FACTORY NORTHWEST,"UBEREATS, DALLAS, TX",,,,,,,
FAMOUS BURRITO,8.39,,TACO FACTORY NORTHWEST,"UBEREATS, DALLAS, TX",,,,,,,
QUESADILLA PLATE (LARGE WITH MEAT),8.39,,TACO FACTORY NORTHWEST,"UBEREATS, DALLAS, TX",,,,,,,
QUESADILLA LARGE (WITH MEAT),7.19,,TACO FACTORY NORTHWEST,"UBEREATS, DALLAS, TX",,,,,,,
BEAN AND CHEESE BURRITO,3.89,,TACO FACTORY NORTHWEST,"UBEREATS, DALLAS, TX",,,,,,,
CHILI COLORADO BURRITO,6.59,,TACO FACTORY NORTHWEST,"UBEREATS, DALLAS, TX",,,,,,,
CHILI COLORADO PLATE,7.99,,TACO FACTORY NORTHWEST,"UBEREATS, DALLAS, TX",,,,,,,
CHILI VERDE BURRITO,6.99,,TACO FACTORY NORTHWEST,"UBEREATS, DALLAS, TX",,,,,,,
CHILI VERDE PLATE,7.99,,TACO FACTORY NORTHWEST,"UBEREATS, DALLAS, TX",,,,,,,
CHIMICHANGA,7.39,,TACO FACTORY NORTHWEST,"UBEREATS, DALLAS, TX",,,,,,,
COMBO BURRITO,7.39,,TACO FACTORY NORTHWEST,"UBEREATS, DALLAS, TX",,,,,,,
CRISPY TACO,2.09,,TACO FACTORY NORTHWEST,"UBEREATS, DALLAS, TX",,,,,,,
ENCHILADA,2.99,,TACO FACTORY NORTHWEST,"UBEREATS, DALLAS, TX",,,,,,,
LOCO BURRITO,7.99,,TACO FACTORY NORTHWEST,"UBEREATS, DALLAS, TX",,,,,,,
MACHACA BURRITO,6.99,,TACO FACTORY NORTHWEST,"UBEREATS, DALLAS, TX",,,,,,,
MACHACA PLATE,7.99,,TACO FACTORY NORTHWEST,"UBEREATS, DALLAS, TX",,,,,,,
MEXICAN NACHOS,5.99,,TACO FACTORY NORTHWEST,"UBEREATS, DALLAS, TX",,,,,,,
QUESADILLA LARGE,4.99,,TACO FACTORY NORTHWEST,"UBEREATS, DALLAS, TX",,,,,,,
QUESADILLA SMALL (WITH MEAT),5.29,,TACO FACTORY NORTHWEST,"UBEREATS, DALLAS, TX",,,,,,,
SOFT TACO,2.49,,TACO FACTORY NORTHWEST,"UBEREATS, DALLAS, TX",,,,,,,
TACO SALAD,7.69,,TACO FACTORY NORTHWEST,"UBEREATS, DALLAS, TX",,,,,,,
TACO TUESDAY,1.69,,TACO FACTORY NORTHWEST,"UBEREATS, DALLAS, TX",,,,,,,
TACO WITH EVERYTHING,3.59,,TACO FACTORY NORTHWEST,"UBEREATS, DALLAS, TX",,,,,,,
TAQUITOS,4.99,,TACO FACTORY NORTHWEST,"UBEREATS, DALLAS, TX",,,,,,,
TORTA,6.99,,TACO FACTORY NORTHWEST,"UBEREATS, DALLAS, TX",,,,,,,
TOSTADA,4.29,,TACO FACTORY NORTHWEST,"UBEREATS, DALLAS, TX",,,,,,,
VEGETARIAN BURRITO,4.79,,TACO FACTORY NORTHWEST,"UBEREATS, DALLAS, TX",,,,,,,
VEGETARIAN TACO,2.49,,TACO FACTORY NORTHWEST,"UBEREATS, DALLAS, TX",,,,,,,
CARNE ASADA (STEAK) PLATE,9.99,,TACO FACTORY NORTHWEST,"UBEREATS, DALLAS, TX",,,,,,,
ENCHILADA - CHILE RELLENO,7.99,,TACO FACTORY NORTHWEST,"UBEREATS, DALLAS, TX",,,,,,,
FAJITAS,8.79,,TACO FACTORY NORTHWEST,"UBEREATS, DALLAS, TX",,,,,,,
FOUR BEEF TAQUITOS PLATE,6.29,,TACO FACTORY NORTHWEST,"UBEREATS, DALLAS, TX",,,,,,,
ONE CHILE RELLENO,5.09,,TACO FACTORY NORTHWEST,"UBEREATS, DALLAS, TX",,,,,,,
ONE ENCHILADA,5.09,,TACO FACTORY NORTHWEST,"UBEREATS, DALLAS, TX",,,,,,,
QUESADILLA PLATE (LARGE),6.39,,TACO FACTORY NORTHWEST,"UBEREATS, DALLAS, TX",,,,,,,
QUESADILLA PLATE (SMALL WITH MEAT),6.99,,TACO FACTORY NORTHWEST,"UBEREATS, DALLAS, TX",,,,,,,
QUESADILLA PLATE (SMALL),4.99,,TACO FACTORY NORTHWEST,"UBEREATS, DALLAS, TX",,,,,,,
TACO ENCHILADA,7.79,,TACO FACTORY NORTHWEST,"UBEREATS, DALLAS, TX",,,,,,,
TWO BEEF TAQUITOS PLATE,4.59,,TACO FACTORY NORTHWEST,"UBEREATS, DALLAS, TX",,,,,,,
TWO CHILE RELLENOS,7.99,,TACO FACTORY NORTHWEST,"UBEREATS, DALLAS, TX",,,,,,,
TWO ENCHILADAS,7.79,,TACO FACTORY NORTHWEST,"UBEREATS, DALLAS, TX",,,,,,,
