name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
FRIED RICE,11.95,,LAO SZE CHUAN RESTAURANT (DOWNERS GROVE),"UBEREATS, DOWNERS GROVE, IL",,,,,,,
CHEF'S SPECIAL DRY CHILI CHICKEN,14.95,,LAO SZE CHUAN RESTAURANT (DOWNERS GROVE),"UBEREATS, DOWNERS GROVE, IL",,,,,,,
ORANGE CHICKEN,14.95,,LAO SZE CHUAN RESTAURANT (DOWNERS GROVE),"UBEREATS, DOWNERS GROVE, IL",,,,,,,
MAPO TOFU,11.95,,LAO SZE CHUAN RESTAURANT (DOWNERS GROVE),"UBEREATS, DOWNERS GROVE, IL",,,,,,,
MONGOLIAN BEEF TENDERLOIN,14.95,,LAO SZE CHUAN RESTAURANT (DOWNERS GROVE),"UBEREATS, DOWNERS GROVE, IL",,,,,,,
SZECHUAN HOT AND SPICY POT,23.95,,LAO SZE CHUAN RESTAURANT (DOWNERS GROVE),"UBEREATS, DOWNERS GROVE, IL",,,,,,,
MAOCAI DELIGHT,23.95,,LAO SZE CHUAN RESTAURANT (DOWNERS GROVE),"UBEREATS, DOWNERS GROVE, IL",,,,,,,
SZECHUAN SPICY BEEF TRIPE WITH BLOOD CAKE,16.95,,LAO SZE CHUAN RESTAURANT (DOWNERS GROVE),"UBEREATS, DOWNERS GROVE, IL",,,,,,,
SIZZLING JAPANESE TOFU,16.95,,LAO SZE CHUAN RESTAURANT (DOWNERS GROVE),"UBEREATS, DOWNERS GROVE, IL",,,,,,,
STEWED FOUR HAPPINESS MEATBALL,17.95,,LAO SZE CHUAN RESTAURANT (DOWNERS GROVE),"UBEREATS, DOWNERS GROVE, IL",,,,,,,
FOUR HAPPINESS MEATBALL IN GARLIC SAUCE,17.95,,LAO SZE CHUAN RESTAURANT (DOWNERS GROVE),"UBEREATS, DOWNERS GROVE, IL",,,,,,,
SZECHUAN BOILED FISH,17.95,,LAO SZE CHUAN RESTAURANT (DOWNERS GROVE),"UBEREATS, DOWNERS GROVE, IL",,,,,,,
SZECHUAN BOILED BEEF,16.95,,LAO SZE CHUAN RESTAURANT (DOWNERS GROVE),"UBEREATS, DOWNERS GROVE, IL",,,,,,,
SZECHUAN BOILED PORK,16.95,,LAO SZE CHUAN RESTAURANT (DOWNERS GROVE),"UBEREATS, DOWNERS GROVE, IL",,,,,,,
SZECHUAN BOILED LAMB,17.95,,LAO SZE CHUAN RESTAURANT (DOWNERS GROVE),"UBEREATS, DOWNERS GROVE, IL",,,,,,,
SZECHUAN BOILED FATTY BEEF,16.95,,LAO SZE CHUAN RESTAURANT (DOWNERS GROVE),"UBEREATS, DOWNERS GROVE, IL",,,,,,,
SZECHUAN BOILED,18.95,,LAO SZE CHUAN RESTAURANT (DOWNERS GROVE),"UBEREATS, DOWNERS GROVE, IL",,,,,,,
CHICKEN (WITH BONE),16.95,,LAO SZE CHUAN RESTAURANT (DOWNERS GROVE),"UBEREATS, DOWNERS GROVE, IL",,,,,,,
BEEF TENDON,18.95,,LAO SZE CHUAN RESTAURANT (DOWNERS GROVE),"UBEREATS, DOWNERS GROVE, IL",,,,,,,
SQUID,18.95,,LAO SZE CHUAN RESTAURANT (DOWNERS GROVE),"UBEREATS, DOWNERS GROVE, IL",,,,,,,
PORK INTESTINE,16.95,,LAO SZE CHUAN RESTAURANT (DOWNERS GROVE),"UBEREATS, DOWNERS GROVE, IL",,,,,,,
SHRIMP,19.95,,LAO SZE CHUAN RESTAURANT (DOWNERS GROVE),"UBEREATS, DOWNERS GROVE, IL",,,,,,,
PORK CHOP,16.95,,LAO SZE CHUAN RESTAURANT (DOWNERS GROVE),"UBEREATS, DOWNERS GROVE, IL",,,,,,,
FATTY BEEF,19.95,,LAO SZE CHUAN RESTAURANT (DOWNERS GROVE),"UBEREATS, DOWNERS GROVE, IL",,,,,,,
