name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
BONELESS WINGS,12.49,640.0,APPLEBEE'S (1745 EASTON ROAD),"UBEREATS, DOYLESTOWN, PA",,,,,,,
2 FOR $22 (PRICE MAY VARY BY LOCATION OR SELECTION.),24.89,,APPLEBEE'S (1745 EASTON ROAD),"UBEREATS, DOYLESTOWN, PA",,,,,,,
CHICKEN TENDERS PLATTER,14.69,1240.0,APPLEBEE'S (1745 EASTON ROAD),"UBEREATS, DOYLESTOWN, PA",,,,,,,
FOUR CHEESE MAC & CHEESE WITH HONEY PEPPER CHICKEN TENDERS,18.09,1420.0,APPLEBEE'S (1745 EASTON ROAD),"UBEREATS, DOYLESTOWN, PA",,,,,,,
CLASSIC BROCCOLI CHICKEN ALFREDO,16.99,1420.0,APPLEBEE'S (1745 EASTON ROAD),"UBEREATS, DOYLESTOWN, PA",,,,,,,
THE CLASSIC COMBO,19.19,2200.0,APPLEBEE'S (1745 EASTON ROAD),"UBEREATS, DOYLESTOWN, PA",,,,,,,
CLASSIC DIP TRIO,10.18,1890.0,APPLEBEE'S (1745 EASTON ROAD),"UBEREATS, DOYLESTOWN, PA",,,,,,,
SPINACH + ARTICHOKE DIP,10.18,990.0,APPLEBEE'S (1745 EASTON ROAD),"UBEREATS, DOYLESTOWN, PA",,,,,,,
DOUBLE CRUNCH BONE-IN WINGS,13.59,600.0,APPLEBEE'S (1745 EASTON ROAD),"UBEREATS, DOYLESTOWN, PA",,,,,,,
CHICKEN QUESADILLA,12.49,1120.0,APPLEBEE'S (1745 EASTON ROAD),"UBEREATS, DOYLESTOWN, PA",,,,,,,
NEIGHBORHOOD NACHOS BEEF,13.59,1950.0,APPLEBEE'S (1745 EASTON ROAD),"UBEREATS, DOYLESTOWN, PA",,,,,,,
NEIGHBORHOOD NACHOS CHIPOTLE LIME CHICKEN,11.89,1830.0,APPLEBEE'S (1745 EASTON ROAD),"UBEREATS, DOYLESTOWN, PA",,,,,,,
MOZZARELLA STICKS,10.18,780.0,APPLEBEE'S (1745 EASTON ROAD),"UBEREATS, DOYLESTOWN, PA",,,,,,,
GRILLED CHICKEN WONTON TACOS,10.79,590.0,APPLEBEE'S (1745 EASTON ROAD),"UBEREATS, DOYLESTOWN, PA",,,,,,,
WHITE QUESO DIP & CHIPS,7.89,920.0,APPLEBEE'S (1745 EASTON ROAD),"UBEREATS, DOYLESTOWN, PA",,,,,,,
BREADSTICKS WITH ALFREDO SAUCE,6.79,1570.0,APPLEBEE'S (1745 EASTON ROAD),"UBEREATS, DOYLESTOWN, PA",,,,,,,
CRUNCHY ONION RINGS,7.89,1220.0,APPLEBEE'S (1745 EASTON ROAD),"UBEREATS, DOYLESTOWN, PA",,,,,,,
6 OZ. TOP SIRLOIN,18.09,620.0,APPLEBEE'S (1745 EASTON ROAD),"UBEREATS, DOYLESTOWN, PA",,,,,,,
8 OZ. TOP SIRLOIN,20.39,690.0,APPLEBEE'S (1745 EASTON ROAD),"UBEREATS, DOYLESTOWN, PA",,,,,,,
BOURBON STREET STEAK,21.49,860.0,APPLEBEE'S (1745 EASTON ROAD),"UBEREATS, DOYLESTOWN, PA",,,,,,,
SHRIMP 'N PARMESAN SIRLOIN,23.79,980.0,APPLEBEE'S (1745 EASTON ROAD),"UBEREATS, DOYLESTOWN, PA",,,,,,,
DOUBLE-GLAZED BABY BACK RIBS,22.59,1450.0,APPLEBEE'S (1745 EASTON ROAD),"UBEREATS, DOYLESTOWN, PA",,,,,,,
HALF RACK DOUBLE-GLAZED BABY BACK RIBS,18.09,880.0,APPLEBEE'S (1745 EASTON ROAD),"UBEREATS, DOYLESTOWN, PA",,,,,,,
RIBLET PLATE,15.89,900.0,APPLEBEE'S (1745 EASTON ROAD),"UBEREATS, DOYLESTOWN, PA",,,,,,,
APPLEBEE'S RIBLETS PLATTER,18.09,1310.0,APPLEBEE'S (1745 EASTON ROAD),"UBEREATS, DOYLESTOWN, PA",,,,,,,
CLASSIC BLACKENED SHRIMP ALFREDO,18.09,1310.0,APPLEBEE'S (1745 EASTON ROAD),"UBEREATS, DOYLESTOWN, PA",,,,,,,
THREE CHEESE CHICKEN PENNE,16.99,1320.0,APPLEBEE'S (1745 EASTON ROAD),"UBEREATS, DOYLESTOWN, PA",,,,,,,
BLACKENED CAJUN SALMON,20.39,660.0,APPLEBEE'S (1745 EASTON ROAD),"UBEREATS, DOYLESTOWN, PA",,,,,,,
