name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
PHILLY CHEESESTEAK,9.19,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
TURKEY BREAST & CHEESE,8.61,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
TURKEY DIABLO,8.61,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
ITALIAN DIABLO,8.61,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
BUFFALO CUTLET,9.19,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
ITALIAN,8.61,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
SHARP ITALIAN,8.61,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
MILD ITALIAN,8.61,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
MILD SHARP ITALIAN,8.61,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
OLD ITALIAN,8.61,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
ROAST BEEF & CHEESE,9.19,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
HAM & CHEESE,8.04,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
CORNED BEEF SCHWARTZIE,9.19,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
TURKEY SCHWARTZIE,9.19,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
AUDIE,8.61,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
BIG T,8.61,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
TUNA DIABLO,8.04,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
CHICKEN DIABLO,9.19,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
BADA BING,9.19,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
BADA BOOM,9.19,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
WHACKED CHICKEN,9.19,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
CHICKEN SUPRIMO,9.19,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
CHICKEN PARMIGIANA,9.19,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
PIZZA STEAK,9.19,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
CHICKEN CHEESE STEAK,8.61,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
BUFFALO CHICKEN CHEESESTEAK,8.61,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
NONNAS VEGGIES,8.04,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
OLD WORLD STYLE MEATBALL,8.61,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
OLD FASHIONED MEATBALL,8.61,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
1/2 LB. DIRT PUDDING,4.6,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
1/2 LB. RICE PUDDING,2.88,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
CHOCOLATE CHIP COOKIE,1.6,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
OATMEAL RAISIN COOKIE,1.6,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
MACADAMIA NUT COOKIE,1.6,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
1/2 LB. POTATO SALAD,2.88,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
1/2 LB. MACARONI SALAD,2.88,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
1/2 LB. COLESLAW,2.88,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
1/2 LB. SHARP PROVOLONE BITES,5.75,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
1/2 LB. PEPPERONI BITES,5.75,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
1/2 LB. PEPPER SHOOTERS,7.48,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
1/2 LB. MARINATED MOZZARELLA,6.33,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
ROASTED PEPPER SALAD,4.03,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
WHOLE SLICED PICKLE,1.6,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
PLAIN,1.25,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
BBQ,1.25,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
SOUR CREAM & ONION,1.25,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
KETTLE CHIPS,2.17,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
ITALIAN HOAGIE CHIPS,4.59,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
PEPSI,2.29,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
DIET PEPSI,2.29,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
20 OZ. PEPSI WILD CHERRY,2.29,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
MOUNTAIN DEW,2.29,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
MUG ROOT BEER,2.29,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
20 OZ. ORANGE CRUSH,2.29,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
GATORADE,2.4,,PRIMOHOAGIES (1650 LIMEKILN PIKE),"UBEREATS, DRESHER, PA",,,,,,,
