name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
TONKOTSU BLACK RICH RAMEN,14.8,,KAN YA,"UBEREATS, ELMHURST, IL",,,,,,,
SPICY CHICKEN RAMEN,13.95,,KAN YA,"UBEREATS, ELMHURST, IL",,,,,,,
PORK GYOZA,7.75,,KAN YA,"UBEREATS, ELMHURST, IL",,,,,,,
SALMON (NAMASAKE) (2 PCS),6.0,,KAN YA,"UBEREATS, ELMHURST, IL",,,,,,,
CHICKEN RAMEN,12.95,,KAN YA,"UBEREATS, ELMHURST, IL",,,,,,,
CRISPY CHICKEN(5PCS),7.75,,KAN YA,"UBEREATS, ELMHURST, IL",,,,,,,
TAKOYAKI OCTOPUS BALL,7.5,,KAN YA,"UBEREATS, ELMHURST, IL",,,,,,,
STEAMED PORK GYOZA,7.75,,KAN YA,"UBEREATS, ELMHURST, IL",,,,,,,
KANYA BUN,5.25,,KAN YA,"UBEREATS, ELMHURST, IL",,,,,,,
CRISPY CHICKEN(10PCS),12.75,,KAN YA,"UBEREATS, ELMHURST, IL",,,,,,,
SEAWEED SALAD,5.25,,KAN YA,"UBEREATS, ELMHURST, IL",,,,,,,
SPICY SHIMP TEMPURA,10.0,,KAN YA,"UBEREATS, ELMHURST, IL",,,,,,,
GOLDEN SHRIMP,10.0,,KAN YA,"UBEREATS, ELMHURST, IL",,,,,,,
FRENCH FRIES,4.5,,KAN YA,"UBEREATS, ELMHURST, IL",,,,,,,
SHRIMP SHUMAI,7.0,,KAN YA,"UBEREATS, ELMHURST, IL",,,,,,,
EDAMAME,4.75,,KAN YA,"UBEREATS, ELMHURST, IL",,,,,,,
WHITE RICE,2.0,,KAN YA,"UBEREATS, ELMHURST, IL",,,,,,,
BRUSSELS SPROUTS TEMPURA,7.5,,KAN YA,"UBEREATS, ELMHURST, IL",,,,,,,
NIKU KARYA RAMEN,13.95,,KAN YA,"UBEREATS, ELMHURST, IL",,,,,,,
PREMIUM TONKOTSU COMBO,13.95,,KAN YA,"UBEREATS, ELMHURST, IL",,,,,,,
CHICKEN WONTON RAMEN,13.95,,KAN YA,"UBEREATS, ELMHURST, IL",,,,,,,
CRISPY CHICKEN RAMEN,13.95,,KAN YA,"UBEREATS, ELMHURST, IL",,,,,,,
