name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
BAKED CLAMS,7.5,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
MUSSELS,10.5,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
STUFFED MUSHROOMS,7.5,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
FRIED CALAMARI,9.5,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
GRILLED CALAMARI,9.5,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
STUFFED ARTICHOKES,8.5,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
GUINNESS BATTERED ONION RINGS,6.95,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
JALAPENO CHEDDAR POPPERS,6.95,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
FRENCH FRIES,2.95,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
SWEET POTATO FRIES,3.25,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
WAFFLE FRIES,3.25,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
CHEESY WAFFLE FRIES,4.95,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
POTATO SKINS,5.95,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
FRIED CHEDDAR BITES,6.95,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
FRIED MUSHROOMS,6.95,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
FRIED VEGGIE PLATTER,7.95,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
BRUSCHETTA (4 PCS),6.95,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
BREAD STICKS (5 PCS),5.95,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
GARLIC BREAD,2.5,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
CHEESY GARLIC BREAD,3.6,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
PIZZA BREAD,3.95,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
MOZZARELLA STICKS (7 PCS),7.5,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
MINESTRONE SOUP,3.5,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
PASTA FAGIOLI SOUP,3.5,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
CAESAR SALAD,8.5,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
JULIENNE SALAD,9.5,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
TOSCANA STEAK SALAD,11.5,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
NANCY'S CHOPPED SALAD,9.95,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
SOUTHERN FRIED CHICKEN SALAD,9.5,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
GREEK SALAD,8.95,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
PASTA SALAD,8.95,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
DINNER SALAD,4.5,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
CAPRESE SALAD,8.5,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
CILANTRO LIME AVOCADO SALAD,9.99,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
BABY SPINACH SALAD,8.5,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
COD SANDWICH,7.95,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
GODFATHER SANDWICH,7.5,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
SORRENTO SANDWICH,7.5,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
PHILLY FOLD OVER SANDWICH,8.5,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
CALIFORNIA CHICKEN WRAP,7.95,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
LOUISIANA SHRIMP WRAP,8.95,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
EGGPLANT PARMIGIANA SANDWICH,5.95,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
CHICKEN PARMIGIANA SANDWICH,6.95,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
GRILLED CHICKEN SANDWICH,6.95,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
PEPPER AND EGG SANDWICH,5.95,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
ITALIAN SAUSAGE SANDWICH,5.95,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
ITALIAN BEEF SANDWICH,5.95,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
ITALIAN COMBO SANDWICH,7.95,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
ITALIAN MEATBALL SANDWICH,5.95,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
HAMBURGER (1/2 LB),6.0,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
CHEESEBURGER (1/2 LB),6.5,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
BLUE CHEESE BURGER (1/2 LB),6.75,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
PIZZA BURGER (1/2 LB),7.0,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
SOUTHWESTERN BURGER (1/2 LB),7.0,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
WINGS,14.5,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
CHEESE STUFFED PIZZA,12.0,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
CHICKEN MARSALA,14.5,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
CHICKEN,14.5,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
CHICKEN ALLA VESUVIO,14.5,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
CHICKEN ALLA FLORENTINA,14.5,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
MELINA,14.5,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
CACCIATORE,14.5,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
RIBEYE (12 OZ),15.95,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
GAMBBERI ALL' AGLIO,15.5,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
GRILLED SALMON (10 OZ),17.5,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
GOLDEN FRIED SHRIMP,12.95,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
STUFFED CACCIATORE PIZZA,17.9,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
CHEESE PAN PIZZA,13.95,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
PARTY PAN PIZZA,18.45,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
PAN VEGGIE PIZZA,18.45,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
CHEESE THIN CRUST PIZZA,13.95,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
PARTY THIN CRUST PIZZA,12.25,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
VEGGIE THIN CRUST PIZZA,12.25,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
BBQ CHICKEN THIN CRUST PIZZA,12.25,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
ITALIAN BEEF SPECIAL THIN CRUST PIZZA,12.75,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
BUFFALO CHICKEN THIN CRUST PIZZA,12.75,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
CHICKEN RANCH THIN CRUST PIZZA,12.75,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
MEAT LOVER THIN CRUST PIZZA,12.75,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
HAWAIIAN THIN CRUST PIZZA,12.25,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
MEXICAN BEEF THIN CRUST PIZZA,12.25,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
MARGHERITA THIN CRUST PIZZA,11.95,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
FLORENTINA THIN CRUST PIZZA,12.75,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
TACO THIN CRUST PIZZA,12.75,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
PIZZA OF THE MONTH,12.75,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
CHEESE PANZEROTTI,7.0,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
PENNE SPECIALTY PASTA,8.95,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
SPAGHETTI SPECIALTY PASTA,8.95,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
LASAGNA SPECIALTY PASTA,11.95,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
RAVIOLI SPECIALTY PASTA,10.95,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
FETTUCCINE PRIMAVERA SPECIALTY PASTA,12.95,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
FETTUCINE ALFREDO SPECIALTY PASTA,12.95,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
RIGATONI BOSCAIOLA SPECIALTY PASTA,12.95,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
RIGATONI AND CHICKEN SPECIALTY PASTA,13.95,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
RIGATONI VODKA SPECIALTY PASTA,12.5,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
GNOCCHI VODKA SPECIALTY PASTA,11.95,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
GNOCCHI MARINARA SPECIALTY PASTA,10.5,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
TORTELLINI ALFREDO SPECIALTY PASTA,13.95,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
SPAGHETTI TETRAZZINI SPECIALTY PASTA,13.95,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
LINGUINI WITH SHRIMP AND BROCCOLI SPECIALTY PASTA,14.5,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
LINGUINI PESCE SPECIALTY PASTA,16.95,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
BABY BACK RIBS,11.75,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
CHICKEN AND RIB COMBO,15.5,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
CHICKEN DINNER,9.5,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
RC COLA (1 LT BOTTLE),1.6,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
7 UP (1 LT BOTTLE),1.6,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
DR PEPPER (1 LT BOTTLE),1.6,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
DIET DR PEPPER (1 LT BOTTLE),1.6,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
A AND W ROOT BEER (1 LT BOTTLE),1.6,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
BOTTLED WATER (1 LT BOTTLE),0.99,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
SPUMONI,3.5,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
ITALIAN LEE,3.0,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
HOMEMADE TIRAMISU,4.95,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
HAND FILLED CANNOLI,2.95,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
GALETO,3.5,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
DOUBLE FUDGE CHOCOLATE CAKE,4.95,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
NEW YORK CHEESECAKE,4.95,,MANGIA NAPOLI,"UBEREATS, ELMHURST, IL",,,,,,,
