name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
DOZEN GLAZED DONUT HOLES,1.5,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
CHOCOLATE MILK,2.29,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
DOZEN MIXED DONUTS,11.99,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
DOZEN CHOCOLATE DONUT HOLES,2.25,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
JALAPENO SAUSAGE ROLL CHEESE,1.49,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
CINNAMON SUGAR DONUT,0.99,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
GLAZED,0.99,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
CHOCOLATE GLAZED DONUT,0.99,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
CHOCOLATE SPRINKLES,0.99,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
WHITE ICING DONUT,0.99,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
STRAWBERRY ICING,0.99,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
MAPLE ICING,0.99,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
CINNAMON GLAZED DONUT,0.99,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
DOZEN CHOCOLATE GLAZED,9.99,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
DOZEN GLAZED DONUTS,9.99,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
MIXED DOZEN DONUTS,11.99,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
DEVILS FOOD,1.29,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
GLAZED CAKE,0.99,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
MIXED DOZEN CAKE,13.99,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
PLAIN,0.99,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
CINNAMON SUGAR CAKE,0.99,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
PLAIN DOZEN,9.99,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
BLUEBERRY,1.29,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
BLUEBERRY DOZEN,13.99,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
RED VELVET,1.29,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
RED VELVET DOZEN,13.99,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
GLAZED BUTTERMILK,1.29,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
MIXED DOZEN BUTTERMILK,13.99,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
CINNAMON BUTTERMILK,1.29,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
CHOCOLATE BUTTERMILK,1.29,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
DOZEN CINNAMON SUGAR DONUT HOLES,2.0,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
DOZEN WHITE POWDERED DONUT,2.25,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
DOZEN SPRINKLE DONUT HOLES,2.75,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
CHOCOLATE TWIST (EACH),1.29,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
CINNAMON GLAZED TWIST (EACH),1.29,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
CINNAMON SUGAR TWIST (EACH),1.29,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
GLAZED TWIST,1.29,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
SPRINKLE TWIST,1.39,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
LARGE APPLE FRITTER,1.75,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
MEDIUM APPLE FRITTER,1.19,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
MINI APPLE FRITTER,0.4,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
CHOCOLATE ECLAIRE,1.49,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
GLAZED ECLAIRE,1.39,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
MAPLE ECLAIRE,1.39,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
BAVARIAN CREAM FILLING,1.39,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
LEMON FILLING,1.39,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
RASPBERRY FILLING,1.39,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
STRAWBERRY FILLING,1.39,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
WHITE CREAM FILLING,1.39,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
SAUSAGE ROLL WITH CHEESE,1.39,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
SPINACH BISTRO,3.39,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
DOZEN SAUSAGE ROLL WITH CHEESE,14.99,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
SAUSAGE ROLL W/O CHEESE,1.39,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
DOZEN SAUSAGE ROLL W/O CHEESE,14.99,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
DOZEN JALAPENO SAUSAGE ROLL WITH CHEESE,15.99,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
JUMBO CHEESE SAUSAGE ROLL,3.29,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
JUMBO JALAPENO CHEESE SAUSAGE ROLL,3.29,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
CROISSANT SAUSAGE ROLL WITH CHEESE,1.69,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
JALAPENO CROISSANT SAUSAGE ROLL WITH CHEESE,1.69,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
BURRITO,2.69,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
HAM & CHEESE CROISSANT,3.39,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
TURKEY & CHEESE CROISSANT,3.39,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
"HAM, EGG & CHEESE CROISSANT",4.39,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
"TURKEY, EGG & CHEESE CROISSANT",4.29,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
"SAUSAGE, EGG & CHEESE CROISSANT",4.39,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
"BACON, EGG & CHEESE CROISSANT",4.39,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
"BACON,SAUSAGE,EGG & CHEESE",4.99,,MIDWAY DONUT & KOLACHE,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
