name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
BEYOND BURGER,9.0,,STREET BITES,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
SLIDERS,9.0,,STREET BITES,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
STREET TACOS,9.0,,STREET BITES,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
GRILLED CHEESE SLIDERS,4.0,,STREET BITES,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
CHICKEN TENDER BASKET,4.5,,STREET BITES,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
HOT DOG SLIDERS,5.0,,STREET BITES,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
CHEESE QUESADILLA,5.0,,STREET BITES,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
AQUA FRESCAS: ROTATING,2.5,,STREET BITES,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
SODA,2.0,,STREET BITES,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
BREAKFAST TACO,2.75,,STREET BITES,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
BREAKFAST CROISSANT SANDWICH,4.5,,STREET BITES,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
FISH & CHIPS,11.0,,STREET BITES,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
BRISKET NACHO,9.5,,STREET BITES,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
BANH MI,8.0,,STREET BITES,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
MEDITERREAN PITA,8.0,,STREET BITES,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
STREET BITES BURGER,10.0,,STREET BITES,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
TEXAS CHEESESTEAK,8.5,,STREET BITES,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
POUTINE FRIES,4.0,,STREET BITES,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
SALCHIPAPAS,4.0,,STREET BITES,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
PARMESAN FRIES,2.5,,STREET BITES,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
SWEET POTATO FRIES,2.5,,STREET BITES,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
FRIED MAC & CHEESE,5.0,,STREET BITES,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
CHURRO WITH WHIPPED CREAM,4.0,,STREET BITES,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
CHOCOLATE CROISSANT BREADPUDDING,4.0,,STREET BITES,"UBEREATS, FARMERS BRANCH, TX",,,,,,,
