name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
LARGE CURLY FRY,3.49,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
BACON CHEDDAR WEDGES,4.74,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
LARGE FRENCH FRY,3.24,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
TINY TACOS (15 PCS),4.38,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
LARGE DOUBLE JACK COMBO,12.1,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
LARGE QUAD BACON CHEESY JACK COMBO,11.23,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
QUAD BACON CHEESY JACK,8.74,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
LARGE TRIPLE BACON CHEESY JACK COMBO,9.98,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
TRIPLE BACON CHEESY JACK,7.49,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
JACK'S CLASSIC ROOST FRIES,4.38,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
JACK'S SPICY ROOST FRIES,4.38,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
6 CHOCOLATE CROISSANT BITES,4.97,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
3 CHOCOLATE CROISSANT BITES,2.49,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
LARGE CLASSIC BUTTERY JACK W/SWISS CHEESE COMBO,11.6,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
LARGE BACON & SWISS BUTTERY JACK COMBO,11.85,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
LARGE BACON ULTIMATE CHEESEBURGER™ COMBO,12.48,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
LARGE ULTIMATE CHEESEBURGER™ COMBO,12.1,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
LARGE SOURDOUGH JACK COMBO,11.48,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
LARGE SPICY SRIRACHA BURGER COMBO,11.23,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
LARGE JUMBO JACK CHEESEBURGER COMBO,10.23,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
LARGE JUMBO JACK COMBO,9.6,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
LARGE HOMESTYLE RANCH CHICKEN CLUB COMBO,11.73,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
LARGE CHICKEN NUGGETS (10) COMBO,8.73,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
LARGE CRISPY CHICKEN STRIPS (6) COMBO,13.73,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
LARGE CRISPY CHICKEN STRIPS (4) COMBO,10.35,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
LARGE SOURDOUGH GRILLED CHICKEN CLUB COMBO,11.73,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
LARGE JACK'S SPICY CHICKEN COMBO,10.48,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
LARGE JACK'S SPICY CHICKEN W/ CHEESE COMBO,10.98,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
LARGE CHICKEN FAJITA PITA COMBO,10.85,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
CHICKEN TERIYAKI BOWL COMBO,11.61,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
STACKED GRILLED CHEESEBURGER MUNCHIE MEAL,10.13,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
STACKED GRILLED CHEESEBURGER,5.0,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
CHICK-N-TATER MELT MUNCHIE MEAL,10.13,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
CHICK-N-TATER MELT,5.0,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
SRIRACHA CURLY FRY BURGER MUNCHIE MEAL,10.13,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
SRIRACHA CURLY FRY BURGER,5.0,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
SPICY NACHO CHICKEN MUNCHIE MEAL,10.13,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
SPICY NACHO CHICKEN,5.0,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
SUPREME CROISSANT COMBO,7.61,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
SAUSAGE CROISSANT COMBO,7.49,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
GRANDE SAUSAGE BREAKFAST BURRITO COMBO,7.99,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
MEAT LOVERS BREAKFAST BURRITO COMBO,8.11,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
LOADED BREAKFAST SANDWICH COMBO,8.24,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
EXTREME SAUSAGE SANDWICH COMBO,7.49,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
ULTIMATE BREAKFAST SANDWICH COMBO,8.11,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
GRILLED SOURDOUGH SWISS BREAKFAST COMBO,8.24,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
BACON EGG & CHEESE BISCUIT COMBO,6.74,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
SAUSAGE EGG & CHEESE BISCUIT COMBO,6.74,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
JUMBO PLATTER BACON & SAUSAGE COMBO,8.11,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
JUMBO BREAKFAST PLATTER W/ BACON COMBO,7.24,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
JUMBO BREAKFAST PLATTER W/ SAUSAGE COMBO,7.24,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
BACON BREAKFAST JACK COMBO,5.86,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
SAUSAGE BREAKFAST JACK COMBO,5.86,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
LOADED TINY TACOS,5.63,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
TWO TACOS,1.74,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
LARGE WEDGES,3.74,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
ONION RINGS,3.24,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
STUFFED JALAPENOS (3),2.99,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
STUFFED JALAPENOS (7),5.61,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
JUMBO EGG ROLL (1),2.49,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
JUMBO EGG ROLLS (3),6.24,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
LARGE OREO SHAKE,4.99,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
LARGE CHOCOLATE SHAKE,4.99,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
LARGE VANILLA SHAKE,4.99,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
LARGE STRAWBERRY SHAKE,4.99,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
MINI CHURROS (5),1.86,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
CHOCOLATE OVERLOAD™ CAKE,2.36,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
CHEESECAKE,2.36,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
LARGE COKE,2.86,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
LARGE DIET COKE,2.86,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
LARGE SPRITE,2.86,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
LARGE FANTA,2.86,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
LARGE DR PEPPER,2.86,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
LARGE DIET DR PEPPER,2.86,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
LARGE BARQ'S ROOTBEER,2.86,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
LARGE DIET BARQ'S ROOTBEER,2.86,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
LARGE HI-C PUNCH,2.86,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
LARGE MINUTE MAID LEMONADE,2.86,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
LARGE GOLD PEAK ICED TEA,2.86,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
LARGE SWEET TEA,2.86,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
LARGE HIGH MOUNTAIN ARABICA COFFEE,2.11,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
LARGE DECAF HIGH MOUNTAIN ARABICA COFFEE,2.11,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
LARGE ORIGINAL ICED COFFEE,3.74,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
LARGE MOCHA ICED COFFEE,3.74,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
LARGE CARAMEL ICED COFFEE,3.74,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
MINUTE MAID 100% APPLE JUICE,2.11,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
DASANI BOTTLED WATER,2.49,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
MILK,2.11,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
LARGE FUZE ICED TEA,2.86,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
ZERO SUGAR LARGE FUZE ICED TEA,2.86,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
SIMPLY ORANGE JUICE,3.11,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
CLASSIC BUTTERY JACK W/SWISS CHEESE,7.36,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
BACON & SWISS BUTTERY JACK,7.49,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
DOUBLE JACK,7.74,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
BACON ULTIMATE CHEESEBURGER™,8.24,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
ULTIMATE CHEESEBURGER™,7.74,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
SOURDOUGH JACK,7.49,,JACK IN THE BOX (986 S HIGHWAY DR),"UBEREATS, FENTON, MO",,,,,,,
