name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
"ITALIAN™ , LARGE (11-12 INCH)",12.9,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
"FIREHOUSE MEATBALL, LARGE (11-12 INCH)",12.5,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
"SMOKEHOUSE BEEF & CHEDDAR BRISKET™, LARGE (11-12 INCH)",13.75,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
"ITALIAN™ , MEDIUM (7-8 INCH)",9.15,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
"FIREHOUSE STEAK & CHEESE, LARGE (11-12 INCH)",13.25,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
"CHICKEN GYRO SUB, LARGE (11-12 INCH)",15.25,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
"CHICKEN GYRO SUB, MEDIUM (7-8 INCH)",10.5,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
"CHICKEN GYRO SUB, SMALL (3-4 INCH)",7.25,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
HALF STANDARD SUB & SNACK,40.0,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
HALF STANDARD SUB & SALAD,41.25,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
GALLON SWEET TEA,6.25,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
GALLON UNSWEET TEA,6.25,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
GALLON LEMONADE,6.25,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
GALLON CHERRY LIME-AID,7.9,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
GALLON CHERRY LIME-AID LIGHT,7.9,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
GALLON CHERRY LIME-AID ZERO SUGAR,9.4,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
"HOOK & LADDER , LARGE (11-12 INCH)",12.5,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
"HOOK & LADDER , MEDIUM (7-8 INCH)",8.75,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
"HOOK & LADDER , SMALL (3-4 INCH)",6.25,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
"FIREHOUSE MEATBALL, MEDIUM (7-8 INCH)",8.75,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
"FIREHOUSE MEATBALL, SMALL (3-4 INCH)",6.25,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
"SWEET & SPICY MEATBALL, LARGE (11-12 INCH)",12.5,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
"SWEET & SPICY MEATBALL, MEDIUM (7-8 INCH)",8.75,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
"SWEET & SPICY MEATBALL, SMALL (3-4 INCH)",6.25,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
"NEW YORK STEAMER , LARGE (11-12 INCH)",13.25,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
"NEW YORK STEAMER , MEDIUM (7-8 INCH)",9.5,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
"NEW YORK STEAMER , SMALL (3-4 INCH)",7.0,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
"ITALIAN™ , SMALL (3-4 INCH)",6.65,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
"TURKEY BACON RANCH ™, LARGE (11-12 INCH)",13.15,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
"TURKEY BACON RANCH ™, MEDIUM (7-8 INCH)",9.4,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
"TURKEY BACON RANCH ™, SMALL (3-4 INCH)",6.9,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
"CLUB ON A SUB™, LARGE (11-12 INCH)",13.15,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
"CLUB ON A SUB™, MEDIUM (7-8 INCH)",9.4,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
"CLUB ON A SUB™, SMALL (3-4 INCH)",6.9,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
"FIREHOUSE STEAK & CHEESE, MEDIUM (7-8 INCH)",9.5,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
"FIREHOUSE STEAK & CHEESE, SMALL (3-4 INCH)",7.0,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
"ENGINEER , LARGE (11-12 INCH)",12.9,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
"ENGINEER , MEDIUM (7-8 INCH)",9.15,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
"ENGINEER , SMALL (3-4 INCH)",6.65,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
"FIREHOUSE HERO, LARGE (11-12 INCH)",13.4,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
"FIREHOUSE HERO, MEDIUM (7-8 INCH)",9.65,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
"FIREHOUSE HERO, SMALL (3-4 INCH)",7.15,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
"SMOKEHOUSE BEEF & CHEDDAR BRISKET™, MEDIUM (7-8 INCH)",10.0,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
"SMOKEHOUSE BEEF & CHEDDAR BRISKET™, SMALL (3-4 INCH)",7.5,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
"SMOKED TURKEY BREAST , LARGE (11-12 INCH)",12.5,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
"SMOKED TURKEY BREAST , MEDIUM (7-8 INCH)",8.75,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
"SMOKED TURKEY BREAST , SMALL (3-4 INCH)",6.25,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
"HONEY HAM , LARGE (11-12 INCH)",12.5,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
"HONEY HAM , MEDIUM (7-8 INCH)",8.75,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
"HONEY HAM , SMALL (3-4 INCH)",6.25,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
"PASTRAMI, LARGE (11-12 INCH)",12.5,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
"PASTRAMI, MEDIUM (7-8 INCH)",8.75,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
"PASTRAMI, SMALL (3-4 INCH)",6.25,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
"CORNED BEEF BRISKET , LARGE (11-12 INCH)",12.5,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
"CORNED BEEF BRISKET , MEDIUM (7-8 INCH)",8.75,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
"CORNED BEEF BRISKET , SMALL (3-4 INCH)",6.25,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
"PREMIUM ROAST BEEF , LARGE (11-12 INCH)",12.5,,FIREHOUSE SUBS (9964 A KENNERLY RD),"UBEREATS, MO",,,,,,,
