name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
SWEET CHILI SRIRACHA SHRIMP TACOS,14.99,,FISH CITY GRILL (DALLAS PKWY),"UBEREATS, TX",,,,,,,
CEDAR PLANK SALMON,19.99,,FISH CITY GRILL (DALLAS PKWY),"UBEREATS, TX",,,,,,,
SHRIMP BOIL,27.99,,FISH CITY GRILL (DALLAS PKWY),"UBEREATS, TX",,,,,,,
SMOKIN' HOT SHRIMP,9.99,,FISH CITY GRILL (DALLAS PKWY),"UBEREATS, TX",,,,,,,
PEEL N EAT SHRIMP (HALF DOZEN),8.49,,FISH CITY GRILL (DALLAS PKWY),"UBEREATS, TX",,,,,,,
PEEL N EAT SHRIMP (ONE DOZEN),14.49,,FISH CITY GRILL (DALLAS PKWY),"UBEREATS, TX",,,,,,,
FRIED DILL PICKLES,7.99,,FISH CITY GRILL (DALLAS PKWY),"UBEREATS, TX",,,,,,,
LUMP CRAB CAKE,12.99,,FISH CITY GRILL (DALLAS PKWY),"UBEREATS, TX",,,,,,,
CRISPY CALAMARI,10.99,,FISH CITY GRILL (DALLAS PKWY),"UBEREATS, TX",,,,,,,
GUMBO,5.49,,FISH CITY GRILL (DALLAS PKWY),"UBEREATS, TX",,,,,,,
CRAB BISQUE,5.49,,FISH CITY GRILL (DALLAS PKWY),"UBEREATS, TX",,,,,,,
CLAM CHOWDER,5.49,,FISH CITY GRILL (DALLAS PKWY),"UBEREATS, TX",,,,,,,
ROASTED JALAPENO,5.49,,FISH CITY GRILL (DALLAS PKWY),"UBEREATS, TX",,,,,,,
RED BEANS & RICE,5.49,,FISH CITY GRILL (DALLAS PKWY),"UBEREATS, TX",,,,,,,
HOUSE SALAD,4.99,,FISH CITY GRILL (DALLAS PKWY),"UBEREATS, TX",,,,,,,
COBB SALAD,14.99,,FISH CITY GRILL (DALLAS PKWY),"UBEREATS, TX",,,,,,,
"QUINOA, KALE, AND SALMON SALAD",15.99,,FISH CITY GRILL (DALLAS PKWY),"UBEREATS, TX",,,,,,,
HOUSE SALAD ENTRÉE,13.99,,FISH CITY GRILL (DALLAS PKWY),"UBEREATS, TX",,,,,,,
ALABAMA FARM RAISED CATFISH (HALF),10.99,,FISH CITY GRILL (DALLAS PKWY),"UBEREATS, TX",,,,,,,
ALABAMA FARM RAISED CATFISH (FULL),15.49,,FISH CITY GRILL (DALLAS PKWY),"UBEREATS, TX",,,,,,,
GULF SHRIMP,15.49,,FISH CITY GRILL (DALLAS PKWY),"UBEREATS, TX",,,,,,,
SEAFOOD PLATTER,18.99,,FISH CITY GRILL (DALLAS PKWY),"UBEREATS, TX",,,,,,,
PICK 2 COMBO,15.99,,FISH CITY GRILL (DALLAS PKWY),"UBEREATS, TX",,,,,,,
SERAFIN'S FISH TACOS,8.99,,FISH CITY GRILL (DALLAS PKWY),"UBEREATS, TX",,,,,,,
HONEY CHIPOTLE SHRIMP TACOS,13.99,,FISH CITY GRILL (DALLAS PKWY),"UBEREATS, TX",,,,,,,
