name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
EL TESORO SUPER BURRITO,10.0,,EL TESORO,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
CARNE A LA TAMPIQUEÑA,20.0,,EL TESORO,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
TORTA CUBANA,9.99,,EL TESORO,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
CALDO DE CAMARÓN,13.0,,EL TESORO,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
MOLE MICHOACANO,17.0,,EL TESORO,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
STEAK & EGGS,15.0,,EL TESORO,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
HUEVOS A LA MEXICANA,9.0,,EL TESORO,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
CHILAQUILES,9.0,,EL TESORO,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
OMELETTE DE QUESO & JAMÓN,9.0,,EL TESORO,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
OMELETTE A LA MEXICANA,9.0,,EL TESORO,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
HUEVOS ESTRELLADOS,8.0,,EL TESORO,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
HUEVOS REVUELTOS,8.0,,EL TESORO,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
HUEVOS RANCHEROS,10.0,,EL TESORO,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
ALL AMERICAN BREAKFAST,9.0,,EL TESORO,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
CALDO TLALPEÑO,12.0,,EL TESORO,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
MOLE DE OLLA,13.0,,EL TESORO,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
CALDO DE RES,10.0,,EL TESORO,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
CARNE EN SU JUGO,12.0,,EL TESORO,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
CALDO DE PESCADO,13.0,,EL TESORO,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
CALDO DE CAMARÓN & PESCADO,14.0,,EL TESORO,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
CALDO DE POLLO,9.0,,EL TESORO,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
POZOLE JALISCIENSE,11.0,,EL TESORO,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
CALDO 7 MARES,21.0,,EL TESORO,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
MENUDO 1/4,10.0,,EL TESORO,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
MENUDO 1/2,14.99,,EL TESORO,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
MENUDO 1 GALLON,21.99,,EL TESORO,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
EL TESORO MOLCAJETE,23.0,,EL TESORO,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
MOLCAJETE TRADICIONAL,21.0,,EL TESORO,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
MOLCAJETE RANCHERO,19.0,,EL TESORO,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
LANGOSTINOS ESTILO NAYARIT SMALL ORDER,20.0,,EL TESORO,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
LANGOSTINOS ESTILO NAYARIT LARGE ORDER,33.0,,EL TESORO,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
PATAS DE CANGREJO ESTILO NAYARIT,59.0,,EL TESORO,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
FAJITA BURRITO,11.0,,EL TESORO,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
JUMBO BURRITO WITH REGULAR MEAT,8.0,,EL TESORO,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
JR. JUMBO BURRITO WITH REGULAR MEAT,6.0,,EL TESORO,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
COCO LOCO DOUBLE BURGER,8.5,,EL TESORO,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
HAMBURGER,6.25,,EL TESORO,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
GRILLED CHICKEN SANDWICH,8.5,,EL TESORO,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
HOT DOG,4.99,,EL TESORO,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
VUELVE A LA VIDA SMALL,14.0,,EL TESORO,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
VUELVE A LA VIDA LARGE,21.0,,EL TESORO,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
CAMPECHANA SMALL,12.0,,EL TESORO,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
CAMPECHANA LARGE,18.0,,EL TESORO,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
SHRIMP COCKTAIL SMALL,9.0,,EL TESORO,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
SHRIMP COCKTAIL LARGE,18.0,,EL TESORO,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
TOSTADAS DE CEVICHE,13.0,,EL TESORO,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
TOSTADAS DE PULPO,13.0,,EL TESORO,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
