name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
COMBO 1,10.99,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
COMBO 2,10.99,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
COMBO 3,10.99,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
COMBO 4,10.99,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
GOAT BIRYANI,16.5,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
LAMB HALEEM,15.0,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
CHICKEN BIRYANI,13.0,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
BUTTER CHICKEN,15.0,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
CHICKEN 65,15.0,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
GOAT BIRYANI TAKEOUT SPECIAL,48.0,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
CHICKEN BIRYANI TAKEOUT SPECIAL,38.0,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
VEGGIE BIRYANI TAKEOUT SPECIAL,31.0,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
CHICKEN TIKKA TAKEOUT SPECIAL,27.0,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
CHICKEN SHEEKH KABAB TAKEOUT SPECIAL,27.0,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
VEG SAMOSA (2 PIECES),2.99,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
CHICKEN PAKORA,12.99,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
FISH PAKORA,12.99,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
POTATO FRIES,4.99,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
MOZZARELLA STICKS,7.5,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
CHICKEN 65 ROLL,9.99,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
CHICKEN BOTI ROLL,9.99,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
CHICKEN SHEEKH KABAB ROLL,9.99,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
BEEF SHEEKH KABAB ROLL,10.99,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
BEEF SHAAMI KABAB ROLL,10.99,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
BEEF BOTI ROLL,10.99,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
BEEF NIHARI,16.0,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
BEEF CHAPLI KABAB (2 PCS),15.0,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
BEEF SHEEKH KABAB,15.0,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
BEEF FRY,15.5,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
PATTHAR KA GOSHT,16.0,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
BIHARI KABAB,15.0,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
BEEF SHAAMI KABAB (2 PCS),10.0,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
FRONTIER CHICKEN RICE,12.99,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
CHICKEN 65 RICE,12.99,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
FRONTIER BEEF RICE,14.99,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
EGG FRIED RICE,12.99,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
PLAIN RICE,5.99,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
FRONTIER CHICKEN RICE FAMILY SIZE,27.0,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
FRONTIER BEEF RICE FAMILY SIZE,30.0,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
CHILLI CHICKEN RICE FAMILY SIZE,27.0,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
CHICKEN 65 RICE FAMILY SIZE,27.0,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
CHILLI CHICKEN RICE,13.0,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
SHAAHI FAMILY PACK (CHICKEN),28.0,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
SHAAHI FAMILY PACK (GOAT),38.0,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
VEGETABLE BIRYANI,11.0,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
SHAAHI FAMILY PACK (VEG BIRYANI),18.0,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
VEG KORMA,9.99,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
MIRCH KA SAALAN,9.99,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
DAAL TADKA,9.99,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
CHANA MASALA,9.99,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
PALAK PANEER,9.99,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
BHENDI MASALA,9.99,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
MIXED VEGETABLES,9.99,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
BUTTER PANEER,9.99,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
KADAI CHICKEN,14.0,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
DUM KA CHICKEN,14.0,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
CHILLI CHICKEN,15.0,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
CHICKEN KHORMA,14.0,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
FRONTIER CHICKEN,15.0,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
CHICKEN TIKKA (2 PIECES),14.0,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
CHICKEN TANDOORI (HALF),16.5,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
CHICKEN TANDOORI (FULL),30.0,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
CHICKEN BOTI,15.0,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
CHICKEN SHEEKH KABAB,13.0,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
CHICKEN MANCHURIAN,15.0,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
CHICKEN SHAWARMA,14.0,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
CHICKEN TIKKA MASALA,12.0,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
CHICKEN CHAPLI KABAB,13.0,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
MIXED GRILL PLATTER,41.0,,SHAAHI BIRYANI,"UBEREATS, GLENDALE HEIGHTS, IL",,,,,,,
