name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
GELATI,4.99,,RITA'S ITALIAN ICE,"UBEREATS, GLENSIDE, PA",,,,,,,
MISTO,4.99,,RITA'S ITALIAN ICE,"UBEREATS, GLENSIDE, PA",,,,,,,
3 BIG CHEESE PRETZELS,7.99,,RITA'S ITALIAN ICE,"UBEREATS, GLENSIDE, PA",,,,,,,
CONCRETE BLENDINI,5.99,,RITA'S ITALIAN ICE,"UBEREATS, GLENSIDE, PA",,,,,,,
SUNDAE,5.29,,RITA'S ITALIAN ICE,"UBEREATS, GLENSIDE, PA",,,,,,,
MILKSHAKE,5.59,,RITA'S ITALIAN ICE,"UBEREATS, GLENSIDE, PA",,,,,,,
FROZEN DRINK,3.89,,RITA'S ITALIAN ICE,"UBEREATS, GLENSIDE, PA",,,,,,,
WATER,1.69,,RITA'S ITALIAN ICE,"UBEREATS, GLENSIDE, PA",,,,,,,
CUSTARD CUP,3.99,,RITA'S ITALIAN ICE,"UBEREATS, GLENSIDE, PA",,,,,,,
BLENDINI,4.99,,RITA'S ITALIAN ICE,"UBEREATS, GLENSIDE, PA",,,,,,,
WATERICE,2.69,,RITA'S ITALIAN ICE,"UBEREATS, GLENSIDE, PA",,,,,,,
ICED FLIGHT,4.99,,RITA'S ITALIAN ICE,"UBEREATS, GLENSIDE, PA",,,,,,,
3 PRETZELS,2.99,,RITA'S ITALIAN ICE,"UBEREATS, GLENSIDE, PA",,,,,,,
BIG CHEESE PRETZEL,2.99,,RITA'S ITALIAN ICE,"UBEREATS, GLENSIDE, PA",,,,,,,
