name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
SAIGON SPECIAL SANDWICH,11.5,,BELLA BANH MI CAFE,"UBEREATS, HONOLULU, HI",,,,,,,
BBQ CHICKEN SANDWICH,11.5,,BELLA BANH MI CAFE,"UBEREATS, HONOLULU, HI",,,,,,,
BBQ PORK SANDWICH,11.5,,BELLA BANH MI CAFE,"UBEREATS, HONOLULU, HI",,,,,,,
SHRIMP AND ROLL,10.0,,BELLA BANH MI CAFE,"UBEREATS, HONOLULU, HI",,,,,,,
NEM NƯỚNG ROLL,10.0,,BELLA BANH MI CAFE,"UBEREATS, HONOLULU, HI",,,,,,,
VEGETARIAN SANDWICH,11.5,,BELLA BANH MI CAFE,"UBEREATS, HONOLULU, HI",,,,,,,
VEGETARIAN ROLL,10.0,,BELLA BANH MI CAFE,"UBEREATS, HONOLULU, HI",,,,,,,
BBQ PORK ROLL,10.0,,BELLA BANH MI CAFE,"UBEREATS, HONOLULU, HI",,,,,,,
BBQ PORK NOODLE BOWL,12.0,,BELLA BANH MI CAFE,"UBEREATS, HONOLULU, HI",,,,,,,
BBQ CHICKEN NOODLE BOWL,12.0,,BELLA BANH MI CAFE,"UBEREATS, HONOLULU, HI",,,,,,,
VIETNAMESE ICE COFFEE,6.0,,BELLA BANH MI CAFE,"UBEREATS, HONOLULU, HI",,,,,,,
MUNG BEAN MILK,6.0,,BELLA BANH MI CAFE,"UBEREATS, HONOLULU, HI",,,,,,,
COFFEE JELLO WITH SOY MILK,6.5,,BELLA BANH MI CAFE,"UBEREATS, HONOLULU, HI",,,,,,,
