name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
BUILD YOUR OWN - LARGE SUNDAE,7.69,,FRIENDLY'S (168 EASTON RD),"UBEREATS, HORSHAM, PA",,,,,,,
LEGENDARY HONEY BBQ CHICKEN SUPERMELT,11.54,,FRIENDLY'S (168 EASTON RD),"UBEREATS, HORSHAM, PA",,,,,,,
LIL' SCOOP MAC N' CHEESE,7.69,,FRIENDLY'S (168 EASTON RD),"UBEREATS, HORSHAM, PA",,,,,,,
BIG SCOOP MAC & FRANK,8.79,,FRIENDLY'S (168 EASTON RD),"UBEREATS, HORSHAM, PA",,,,,,,
MUNCHIE MANIA™,14.29,,FRIENDLY'S (168 EASTON RD),"UBEREATS, HORSHAM, PA",,,,,,,
I WILL NEED UTENSILS,0.0,,FRIENDLY'S (168 EASTON RD),"UBEREATS, HORSHAM, PA",,,,,,,
I WILL NEED KETCHUP,0.0,,FRIENDLY'S (168 EASTON RD),"UBEREATS, HORSHAM, PA",,,,,,,
NEW! LOBSTER ROLL - LIMITED TIME ONLY!,19.79,,FRIENDLY'S (168 EASTON RD),"UBEREATS, HORSHAM, PA",,,,,,,
NEW LOBSTER & SHRIMP QUESADILLA,17.09,,FRIENDLY'S (168 EASTON RD),"UBEREATS, HORSHAM, PA",,,,,,,
NEW BUFFALO SHRIMP QUESADILLA,15.99,,FRIENDLY'S (168 EASTON RD),"UBEREATS, HORSHAM, PA",,,,,,,
A.1. STEAK BURGER† BUNDLE,12.09,,FRIENDLY'S (168 EASTON RD),"UBEREATS, HORSHAM, PA",,,,,,,
FRENCH DIP BURGER† BUNDLE,12.09,,FRIENDLY'S (168 EASTON RD),"UBEREATS, HORSHAM, PA",,,,,,,
CAPE COD SUPERMELT BUNDLE,11.59,,FRIENDLY'S (168 EASTON RD),"UBEREATS, HORSHAM, PA",,,,,,,
WONTON SHRIMP WRAP BUNDLE,12.49,,FRIENDLY'S (168 EASTON RD),"UBEREATS, HORSHAM, PA",,,,,,,
WONTON SHRIMP SALAD BUNDLE,13.29,,FRIENDLY'S (168 EASTON RD),"UBEREATS, HORSHAM, PA",,,,,,,
BUILD YOUR OWN - MEDIUM SUNDAE,6.59,,FRIENDLY'S (168 EASTON RD),"UBEREATS, HORSHAM, PA",,,,,,,
BUILD YOUR OWN - SMALL SUNDAE,5.29,,FRIENDLY'S (168 EASTON RD),"UBEREATS, HORSHAM, PA",,,,,,,
JIM DANDY™,8.79,,FRIENDLY'S (168 EASTON RD),"UBEREATS, HORSHAM, PA",,,,,,,
NEW! STRAWBERRY SHORTCAKE SUNDAE - LIMITED TIME ONLY!,7.19,,FRIENDLY'S (168 EASTON RD),"UBEREATS, HORSHAM, PA",,,,,,,
ROYAL BANANA SPLIT,8.79,,FRIENDLY'S (168 EASTON RD),"UBEREATS, HORSHAM, PA",,,,,,,
REESE'S PIECES SUNDAE,6.99,,FRIENDLY'S (168 EASTON RD),"UBEREATS, HORSHAM, PA",,,,,,,
REESE'S PEANUT BUTTER CUP SUNDAE,6.99,,FRIENDLY'S (168 EASTON RD),"UBEREATS, HORSHAM, PA",,,,,,,
FRIBBLE MILK SHAKE,4.99,,FRIENDLY'S (168 EASTON RD),"UBEREATS, HORSHAM, PA",,,,,,,
FRIEND-Z,5.49,,FRIENDLY'S (168 EASTON RD),"UBEREATS, HORSHAM, PA",,,,,,,
NEW! CARAMEL FUDGE BROWNIE SUNDAE,9.19,,FRIENDLY'S (168 EASTON RD),"UBEREATS, HORSHAM, PA",,,,,,,
FORBIDDEN FUDGE BROWNIE,7.69,,FRIENDLY'S (168 EASTON RD),"UBEREATS, HORSHAM, PA",,,,,,,
NUTS OVER CARAMEL SUNDAE,5.29,,FRIENDLY'S (168 EASTON RD),"UBEREATS, HORSHAM, PA",,,,,,,
