name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
MURG TIKKA MASALA,12.95,,TOUCH OF SPICE AUTHENTIC INDIAN RESTAURANT,"UBEREATS, ITASCA, IL",,,,,,,
STEAMED BASMATI RICE,3.5,,TOUCH OF SPICE AUTHENTIC INDIAN RESTAURANT,"UBEREATS, ITASCA, IL",,,,,,,
YELLOW DAL,9.95,,TOUCH OF SPICE AUTHENTIC INDIAN RESTAURANT,"UBEREATS, ITASCA, IL",,,,,,,
CHICKEN DUM BIRYANI,12.25,,TOUCH OF SPICE AUTHENTIC INDIAN RESTAURANT,"UBEREATS, ITASCA, IL",,,,,,,
TANDOORI PESH KASH,11.25,,TOUCH OF SPICE AUTHENTIC INDIAN RESTAURANT,"UBEREATS, ITASCA, IL",,,,,,,
TOMATO SHORBA,3.0,,TOUCH OF SPICE AUTHENTIC INDIAN RESTAURANT,"UBEREATS, ITASCA, IL",,,,,,,
DAL KA SHORBA,3.0,,TOUCH OF SPICE AUTHENTIC INDIAN RESTAURANT,"UBEREATS, ITASCA, IL",,,,,,,
MURG KA SHORBA,3.5,,TOUCH OF SPICE AUTHENTIC INDIAN RESTAURANT,"UBEREATS, ITASCA, IL",,,,,,,
SAGAR KI JALPARI,2.25,,TOUCH OF SPICE AUTHENTIC INDIAN RESTAURANT,"UBEREATS, ITASCA, IL",,,,,,,
RAITA,3.0,,TOUCH OF SPICE AUTHENTIC INDIAN RESTAURANT,"UBEREATS, ITASCA, IL",,,,,,,
SALAD,2.5,,TOUCH OF SPICE AUTHENTIC INDIAN RESTAURANT,"UBEREATS, ITASCA, IL",,,,,,,
PAPADUM,1.25,,TOUCH OF SPICE AUTHENTIC INDIAN RESTAURANT,"UBEREATS, ITASCA, IL",,,,,,,
VEG SAMOSA,3.0,,TOUCH OF SPICE AUTHENTIC INDIAN RESTAURANT,"UBEREATS, ITASCA, IL",,,,,,,
VEG PAKORA,3.0,,TOUCH OF SPICE AUTHENTIC INDIAN RESTAURANT,"UBEREATS, ITASCA, IL",,,,,,,
PANEER PAKORA,5.5,,TOUCH OF SPICE AUTHENTIC INDIAN RESTAURANT,"UBEREATS, ITASCA, IL",,,,,,,
CHILI PAKORA,4.0,,TOUCH OF SPICE AUTHENTIC INDIAN RESTAURANT,"UBEREATS, ITASCA, IL",,,,,,,
ALOO TIKKI,3.5,,TOUCH OF SPICE AUTHENTIC INDIAN RESTAURANT,"UBEREATS, ITASCA, IL",,,,,,,
PANEER TIKKA,11.95,,TOUCH OF SPICE AUTHENTIC INDIAN RESTAURANT,"UBEREATS, ITASCA, IL",,,,,,,
PAPAD ROLLS,3.35,,TOUCH OF SPICE AUTHENTIC INDIAN RESTAURANT,"UBEREATS, ITASCA, IL",,,,,,,
CASHEW NUT ROLLS,3.5,,TOUCH OF SPICE AUTHENTIC INDIAN RESTAURANT,"UBEREATS, ITASCA, IL",,,,,,,
ALMOND ROLL,3.5,,TOUCH OF SPICE AUTHENTIC INDIAN RESTAURANT,"UBEREATS, ITASCA, IL",,,,,,,
