name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
ICE CREAM COOKIE SANDWICH VARIETY 4-PACK - READY FOR PICK-UP NOW,14.99,,COLD STONE CREAMERY (KENNESAW),"UBEREATS, KENNESAW, GA",,,,,,,
OREO OVERLOAD PRE-PACKED QUART,11.29,,COLD STONE CREAMERY (KENNESAW),"UBEREATS, KENNESAW, GA",,,,,,,
FOUNDER'S FAVORITE PRE-PACKED QUART,11.29,,COLD STONE CREAMERY (KENNESAW),"UBEREATS, KENNESAW, GA",,,,,,,
PEANUT BUTTER CUP PERFECTION™ PRE-PACKED QUART,11.29,,COLD STONE CREAMERY (KENNESAW),"UBEREATS, KENNESAW, GA",,,,,,,
REESE'S PEANUT BUTTER ICE CREAM CUP 6-PACK - READY FOR PICK UP NOW,18.79,,COLD STONE CREAMERY (KENNESAW),"UBEREATS, KENNESAW, GA",,,,,,,
CAKE BATTER BATTER BATTER™ PRE-PACKED QUART,11.29,,COLD STONE CREAMERY (KENNESAW),"UBEREATS, KENNESAW, GA",,,,,,,
REESE'S PEANUT BUTTER ICE CREAM CUP SINGLE - READY FOR PICK UP NOW,4.98,,COLD STONE CREAMERY (KENNESAW),"UBEREATS, KENNESAW, GA",,,,,,,
ICE CREAM CUPCAKE VARIETY 6-PACK - READY FOR PICK-UP NOW,18.79,,COLD STONE CREAMERY (KENNESAW),"UBEREATS, KENNESAW, GA",,,,,,,
24-PACK BIRTHDAY CANDLES,2.49,,COLD STONE CREAMERY (KENNESAW),"UBEREATS, KENNESAW, GA",,,,,,,
BOTTLED WATER,1.79,,COLD STONE CREAMERY (KENNESAW),"UBEREATS, KENNESAW, GA",,,,,,,
BOTTLED SODA,2.29,,COLD STONE CREAMERY (KENNESAW),"UBEREATS, KENNESAW, GA",,,,,,,
