name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
AU GRATIN,13.5,,RUTH'S CHRIS STEAK HOUSE (620 CHASTAIN ROAD NORTHWEST),"UBEREATS, KENNESAW, GA",,,,,,,
SWEET POTATO CASSEROLE,13.5,,RUTH'S CHRIS STEAK HOUSE (620 CHASTAIN ROAD NORTHWEST),"UBEREATS, KENNESAW, GA",,,,,,,
LOBSTER MAC AND CHEESE,28.0,,RUTH'S CHRIS STEAK HOUSE (620 CHASTAIN ROAD NORTHWEST),"UBEREATS, KENNESAW, GA",,,,,,,
STUFFED CHICKEN BREAST,38.0,,RUTH'S CHRIS STEAK HOUSE (620 CHASTAIN ROAD NORTHWEST),"UBEREATS, KENNESAW, GA",,,,,,,
FILET,55.0,,RUTH'S CHRIS STEAK HOUSE (620 CHASTAIN ROAD NORTHWEST),"UBEREATS, KENNESAW, GA",,,,,,,
BARBECUED SHRIMP,22.0,,RUTH'S CHRIS STEAK HOUSE (620 CHASTAIN ROAD NORTHWEST),"UBEREATS, KENNESAW, GA",,,,,,,
CAESAR SALAD,12.5,,RUTH'S CHRIS STEAK HOUSE (620 CHASTAIN ROAD NORTHWEST),"UBEREATS, KENNESAW, GA",,,,,,,
LETTUCE WEDGE,12.5,,RUTH'S CHRIS STEAK HOUSE (620 CHASTAIN ROAD NORTHWEST),"UBEREATS, KENNESAW, GA",,,,,,,
STEAK HOUSE SALAD,11.5,,RUTH'S CHRIS STEAK HOUSE (620 CHASTAIN ROAD NORTHWEST),"UBEREATS, KENNESAW, GA",,,,,,,
NEW YORK STRIP,56.0,,RUTH'S CHRIS STEAK HOUSE (620 CHASTAIN ROAD NORTHWEST),"UBEREATS, KENNESAW, GA",,,,,,,
T-BONE,67.0,,RUTH'S CHRIS STEAK HOUSE (620 CHASTAIN ROAD NORTHWEST),"UBEREATS, KENNESAW, GA",,,,,,,
COWBOY RIBEYE,67.0,,RUTH'S CHRIS STEAK HOUSE (620 CHASTAIN ROAD NORTHWEST),"UBEREATS, KENNESAW, GA",,,,,,,
PORK CHOP,42.0,,RUTH'S CHRIS STEAK HOUSE (620 CHASTAIN ROAD NORTHWEST),"UBEREATS, KENNESAW, GA",,,,,,,
TOURNEDOS AND SHRIMP,58.0,,RUTH'S CHRIS STEAK HOUSE (620 CHASTAIN ROAD NORTHWEST),"UBEREATS, KENNESAW, GA",,,,,,,
PETITE FILET,49.0,,RUTH'S CHRIS STEAK HOUSE (620 CHASTAIN ROAD NORTHWEST),"UBEREATS, KENNESAW, GA",,,,,,,
PORTERHOUSE FOR TWO,119.0,,RUTH'S CHRIS STEAK HOUSE (620 CHASTAIN ROAD NORTHWEST),"UBEREATS, KENNESAW, GA",,,,,,,
BONE IN NEW YORK STRIP,76.0,,RUTH'S CHRIS STEAK HOUSE (620 CHASTAIN ROAD NORTHWEST),"UBEREATS, KENNESAW, GA",,,,,,,
SHRIMP,17.0,,RUTH'S CHRIS STEAK HOUSE (620 CHASTAIN ROAD NORTHWEST),"UBEREATS, KENNESAW, GA",,,,,,,
BLUE CHEESE CRUST,6.0,,RUTH'S CHRIS STEAK HOUSE (620 CHASTAIN ROAD NORTHWEST),"UBEREATS, KENNESAW, GA",,,,,,,
SALMON FILLET,36.0,,RUTH'S CHRIS STEAK HOUSE (620 CHASTAIN ROAD NORTHWEST),"UBEREATS, KENNESAW, GA",,,,,,,
CREAMED SPINACH,12.0,,RUTH'S CHRIS STEAK HOUSE (620 CHASTAIN ROAD NORTHWEST),"UBEREATS, KENNESAW, GA",,,,,,,
GRILLED ASPARAGUS,13.0,,RUTH'S CHRIS STEAK HOUSE (620 CHASTAIN ROAD NORTHWEST),"UBEREATS, KENNESAW, GA",,,,,,,
CHEESECAKE,11.5,,RUTH'S CHRIS STEAK HOUSE (620 CHASTAIN ROAD NORTHWEST),"UBEREATS, KENNESAW, GA",,,,,,,
BREAD PUDDING WITH WHISKEY SAUCE,11.5,,RUTH'S CHRIS STEAK HOUSE (620 CHASTAIN ROAD NORTHWEST),"UBEREATS, KENNESAW, GA",,,,,,,
RUTH’S PRIME CHEESEBURGER,20.0,,RUTH'S CHRIS STEAK HOUSE (620 CHASTAIN ROAD NORTHWEST),"UBEREATS, KENNESAW, GA",,,,,,,
