name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
THE BIG ZAX SNAK MEAL,13.98,,ZAXBYS (3160 ACWORTH FOREST DR.),"UBEREATS, KENNESAW, GA",,,,,,,
CHICKEN FINGER PLATE - 4 FINGERS,9.79,,ZAXBYS (3160 ACWORTH FOREST DR.),"UBEREATS, KENNESAW, GA",,,,,,,
CHICKEN FINGER PLATE - 5 FINGERS,10.99,,ZAXBYS (3160 ACWORTH FOREST DR.),"UBEREATS, KENNESAW, GA",,,,,,,
CHICKEN FINGER PLATE - 6 FINGERS,12.19,,ZAXBYS (3160 ACWORTH FOREST DR.),"UBEREATS, KENNESAW, GA",,,,,,,
BONELESS WINGS & THINGS,11.29,,ZAXBYS (3160 ACWORTH FOREST DR.),"UBEREATS, KENNESAW, GA",,,,,,,
BUFFALO BONELESS WINGS & THINGS,12.09,,ZAXBYS (3160 ACWORTH FOREST DR.),"UBEREATS, KENNESAW, GA",,,,,,,
TRADITIONAL WINGS & THINGS,12.49,,ZAXBYS (3160 ACWORTH FOREST DR.),"UBEREATS, KENNESAW, GA",,,,,,,
BUFFALO TRADITIONAL WINGS & THINGS,13.29,,ZAXBYS (3160 ACWORTH FOREST DR.),"UBEREATS, KENNESAW, GA",,,,,,,
CHICKEN FINGER PLATE - BUFFALO 4 FINGERS,10.59,,ZAXBYS (3160 ACWORTH FOREST DR.),"UBEREATS, KENNESAW, GA",,,,,,,
CHICKEN FINGER PLATE - BUFFALO 5 FINGERS,11.99,,ZAXBYS (3160 ACWORTH FOREST DR.),"UBEREATS, KENNESAW, GA",,,,,,,
CHICKEN FINGER PLATE - BUFFALO 6 FINGERS,13.39,,ZAXBYS (3160 ACWORTH FOREST DR.),"UBEREATS, KENNESAW, GA",,,,,,,
BONELESS WINGS MEAL,7.99,,ZAXBYS (3160 ACWORTH FOREST DR.),"UBEREATS, KENNESAW, GA",,,,,,,
TRADITIONAL WINGS MEAL,9.19,,ZAXBYS (3160 ACWORTH FOREST DR.),"UBEREATS, KENNESAW, GA",,,,,,,
BUFFALO BIG ZAX SNAK MEAL,14.78,,ZAXBYS (3160 ACWORTH FOREST DR.),"UBEREATS, KENNESAW, GA",,,,,,,
ZAXBY'S  SIGNATURE SANDWICH,9.14,,ZAXBYS (3160 ACWORTH FOREST DR.),"UBEREATS, KENNESAW, GA",,,,,,,
ZAXBY'S  SPICY SIGNATURE SANDWICH,9.14,,ZAXBYS (3160 ACWORTH FOREST DR.),"UBEREATS, KENNESAW, GA",,,,,,,
KICKIN CHICKEN SANDWICH MEAL,7.99,,ZAXBYS (3160 ACWORTH FOREST DR.),"UBEREATS, KENNESAW, GA",,,,,,,
GRILLED CHICKEN SANDWICH MEAL,7.99,,ZAXBYS (3160 ACWORTH FOREST DR.),"UBEREATS, KENNESAW, GA",,,,,,,
3 NIBBLERZ SANDWICH,8.59,,ZAXBYS (3160 ACWORTH FOREST DR.),"UBEREATS, KENNESAW, GA",,,,,,,
