name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
TRIPLE CHOCOLATE MELTDOWN,8.09,830.0,APPLEBEE'S,"220 TALLMADGE ROAD, UBEREATS, KENT, OH",,,,,,,
CLASSIC DIP TRIO,11.99,1890.0,APPLEBEE'S,"220 TALLMADGE ROAD, UBEREATS, KENT, OH",,,,,,,
BREADSTICKS WITH ALFREDO SAUCE,7.19,1570.0,APPLEBEE'S,"220 TALLMADGE ROAD, UBEREATS, KENT, OH",,,,,,,
NEIGHBORHOOD NACHOS BEEF,13.19,1950.0,APPLEBEE'S,"220 TALLMADGE ROAD, UBEREATS, KENT, OH",,,,,,,
WHITE QUESO DIP & CHIPS,7.19,920.0,APPLEBEE'S,"220 TALLMADGE ROAD, UBEREATS, KENT, OH",,,,,,,
NEIGHBORHOOD NACHOS CHIPOTLE LIME CHICKEN,13.19,1830.0,APPLEBEE'S,"220 TALLMADGE ROAD, UBEREATS, KENT, OH",,,,,,,
THE CLASSIC COMBO,17.99,2200.0,APPLEBEE'S,"220 TALLMADGE ROAD, UBEREATS, KENT, OH",,,,,,,
CHICKEN QUESADILLA,10.18,1120.0,APPLEBEE'S,"220 TALLMADGE ROAD, UBEREATS, KENT, OH",,,,,,,
SPINACH + ARTICHOKE DIP,10.59,990.0,APPLEBEE'S,"220 TALLMADGE ROAD, UBEREATS, KENT, OH",,,,,,,
CHICKEN WONTON TACOS,10.79,590.0,APPLEBEE'S,"220 TALLMADGE ROAD, UBEREATS, KENT, OH",,,,,,,
BONELESS WINGS,12.49,640.0,APPLEBEE'S,"220 TALLMADGE ROAD, UBEREATS, KENT, OH",,,,,,,
BREW PUB PRETZELS + BEER CHEESE DIP,9.59,1170.0,APPLEBEE'S,"220 TALLMADGE ROAD, UBEREATS, KENT, OH",,,,,,,
CRUNCHY ONION RINGS,9.18,1220.0,APPLEBEE'S,"220 TALLMADGE ROAD, UBEREATS, KENT, OH",,,,,,,
MOZZARELLA STICKS,10.18,780.0,APPLEBEE'S,"220 TALLMADGE ROAD, UBEREATS, KENT, OH",,,,,,,
DOUBLE CRUNCH BONE-IN WINGS,13.69,600.0,APPLEBEE'S,"220 TALLMADGE ROAD, UBEREATS, KENT, OH",,,,,,,
8 OZ. TOP SIRLOIN,18.59,690.0,APPLEBEE'S,"220 TALLMADGE ROAD, UBEREATS, KENT, OH",,,,,,,
6 OZ. TOP SIRLOIN,15.59,620.0,APPLEBEE'S,"220 TALLMADGE ROAD, UBEREATS, KENT, OH",,,,,,,
SHRIMP 'N PARMESAN SIRLOIN,22.49,980.0,APPLEBEE'S,"220 TALLMADGE ROAD, UBEREATS, KENT, OH",,,,,,,
12 OZ. RIBEYE,26.39,1010.0,APPLEBEE'S,"220 TALLMADGE ROAD, UBEREATS, KENT, OH",,,,,,,
BOURBON STREET STEAK,20.09,860.0,APPLEBEE'S,"220 TALLMADGE ROAD, UBEREATS, KENT, OH",,,,,,,
APPLEBEE'S RIBLETS PLATTER,14.39,1310.0,APPLEBEE'S,"220 TALLMADGE ROAD, UBEREATS, KENT, OH",,,,,,,
RIBLET PLATE,11.99,900.0,APPLEBEE'S,"220 TALLMADGE ROAD, UBEREATS, KENT, OH",,,,,,,
DOUBLE-GLAZED BABY BACK RIBS,23.09,1450.0,APPLEBEE'S,"220 TALLMADGE ROAD, UBEREATS, KENT, OH",,,,,,,
HALF RACK DOUBLE-GLAZED BABY BACK RIBS,16.59,880.0,APPLEBEE'S,"220 TALLMADGE ROAD, UBEREATS, KENT, OH",,,,,,,
BOURBON STREET CHICKEN & SHRIMP,15.99,810.0,APPLEBEE'S,"220 TALLMADGE ROAD, UBEREATS, KENT, OH",,,,,,,
FIESTA LIME CHICKEN,14.79,1170.0,APPLEBEE'S,"220 TALLMADGE ROAD, UBEREATS, KENT, OH",,,,,,,
CHICKEN TENDERS PLATTER,13.19,1240.0,APPLEBEE'S,"220 TALLMADGE ROAD, UBEREATS, KENT, OH",,,,,,,
