name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
PAN FRIED GYOZA,4.8,,KITAKATA RAMEN BANNAI,"UBEREATS, IL",,,,,,,
JUICY FRIED CHICKEN BOWL,11.5,,KITAKATA RAMEN BANNAI,"UBEREATS, IL",,,,,,,
JUICY FRIED CHICKEN,5.5,,KITAKATA RAMEN BANNAI,"UBEREATS, IL",,,,,,,
FRIED SHISHITO PEPPER,4.95,,KITAKATA RAMEN BANNAI,"UBEREATS, IL",,,,,,,
ABURI CHASHU BOWL,12.5,,KITAKATA RAMEN BANNAI,"UBEREATS, IL",,,,,,,
CHASHU RAMEN,13.5,,KITAKATA RAMEN BANNAI,"UBEREATS, IL",,,,,,,
KITAKATA RAMEN,8.99,,KITAKATA RAMEN BANNAI,"UBEREATS, IL",,,,,,,
ABURI MISO RAMEN,10.5,,KITAKATA RAMEN BANNAI,"UBEREATS, IL",,,,,,,
SPICY MISO RAMEN,10.5,,KITAKATA RAMEN BANNAI,"UBEREATS, IL",,,,,,,
GREEN CHILI SHIO RAMEN,10.5,,KITAKATA RAMEN BANNAI,"UBEREATS, IL",,,,,,,
VEGETARIAN RAMEN,11.99,,KITAKATA RAMEN BANNAI,"UBEREATS, IL",,,,,,,
MIXED BOILED VEGETABLE SHIO RAMEN,10.5,,KITAKATA RAMEN BANNAI,"UBEREATS, IL",,,,,,,
TSUKEMEN (DIPPING RAMEN),11.0,,KITAKATA RAMEN BANNAI,"UBEREATS, IL",,,,,,,
FRIED GYOZA,4.8,,KITAKATA RAMEN BANNAI,"UBEREATS, IL",,,,,,,
BOILED GYOZA,4.8,,KITAKATA RAMEN BANNAI,"UBEREATS, IL",,,,,,,
ABURI CHASHU PLATE,8.5,,KITAKATA RAMEN BANNAI,"UBEREATS, IL",,,,,,,
SPICY SHREDDED GREEN ONION,3.5,,KITAKATA RAMEN BANNAI,"UBEREATS, IL",,,,,,,
BAN NAI BUN,3.2,,KITAKATA RAMEN BANNAI,"UBEREATS, IL",,,,,,,
SPICY BAMBOO SHOOT,3.5,,KITAKATA RAMEN BANNAI,"UBEREATS, IL",,,,,,,
EDAMAME,3.0,,KITAKATA RAMEN BANNAI,"UBEREATS, IL",,,,,,,
COKE (CAN),1.8,,KITAKATA RAMEN BANNAI,"UBEREATS, IL",,,,,,,
DIET COKE (CAN),1.8,,KITAKATA RAMEN BANNAI,"UBEREATS, IL",,,,,,,
SPRITE (CAN),1.8,,KITAKATA RAMEN BANNAI,"UBEREATS, IL",,,,,,,
CALPICO (CAN),2.5,,KITAKATA RAMEN BANNAI,"UBEREATS, IL",,,,,,,
GREEN TEA (CAN),2.5,,KITAKATA RAMEN BANNAI,"UBEREATS, IL",,,,,,,
ORANGE JUICE (BOTTLE),2.5,,KITAKATA RAMEN BANNAI,"UBEREATS, IL",,,,,,,
RAMUNE (BOTTLE),2.5,,KITAKATA RAMEN BANNAI,"UBEREATS, IL",,,,,,,
ABURI CHASHU BOWL - SMALL,3.5,,KITAKATA RAMEN BANNAI,"UBEREATS, IL",,,,,,,
JUICY FRIED CHICKEN BOWL - SMALL,3.5,,KITAKATA RAMEN BANNAI,"UBEREATS, IL",,,,,,,
BAN NAI BOWL - SMALL,3.5,,KITAKATA RAMEN BANNAI,"UBEREATS, IL",,,,,,,
STEAMED RICE,1.8,,KITAKATA RAMEN BANNAI,"UBEREATS, IL",,,,,,,
