name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CHANG'S CHICKEN LETTUCE WRAPS,12.0,660.0,P.F. CHANG'S (2361 FOUNTAIN SQUARE DR),"UBEREATS, LOMBARD, IL",,,,,,,
CHANG'S VEGETARIAN LETTUCE WRAPS,12.0,570.0,P.F. CHANG'S (2361 FOUNTAIN SQUARE DR),"UBEREATS, LOMBARD, IL",,,,,,,
EDAMAME,7.5,400.0,P.F. CHANG'S (2361 FOUNTAIN SQUARE DR),"UBEREATS, LOMBARD, IL",,,,,,,
CRISPY GREEN BEANS,10.0,990.0,P.F. CHANG'S (2361 FOUNTAIN SQUARE DR),"UBEREATS, LOMBARD, IL",,,,,,,
DYNAMITE SHRIMP,12.5,640.0,P.F. CHANG'S (2361 FOUNTAIN SQUARE DR),"UBEREATS, LOMBARD, IL",,,,,,,
BBQ PORK SPARE RIBS,13.0,870.0,P.F. CHANG'S (2361 FOUNTAIN SQUARE DR),"UBEREATS, LOMBARD, IL",,,,,,,
KUNG PAO BRUSSELS SPROUTS,8.5,720.0,P.F. CHANG'S (2361 FOUNTAIN SQUARE DR),"UBEREATS, LOMBARD, IL",,,,,,,
HANDMADE PORK DUMPLINGS | 6 COUNT,10.5,,P.F. CHANG'S (2361 FOUNTAIN SQUARE DR),"UBEREATS, LOMBARD, IL",,,,,,,
HANDMADE SHRIMP DUMPLINGS | 6 COUNT,11.0,,P.F. CHANG'S (2361 FOUNTAIN SQUARE DR),"UBEREATS, LOMBARD, IL",,,,,,,
VEGETABLE SPRING ROLLS | 2 COUNT,6.5,390.0,P.F. CHANG'S (2361 FOUNTAIN SQUARE DR),"UBEREATS, LOMBARD, IL",,,,,,,
PORK EGG ROLLS | 2 COUNT,7.5,610.0,P.F. CHANG'S (2361 FOUNTAIN SQUARE DR),"UBEREATS, LOMBARD, IL",,,,,,,
HAND-FOLDED CRAB WONTONS | 6 COUNT,10.5,590.0,P.F. CHANG'S (2361 FOUNTAIN SQUARE DR),"UBEREATS, LOMBARD, IL",,,,,,,
EGG DROP SOUP CUP,6.0,40.0,P.F. CHANG'S (2361 FOUNTAIN SQUARE DR),"UBEREATS, LOMBARD, IL",,,,,,,
EGG DROP SOUP BOWL,10.0,270.0,P.F. CHANG'S (2361 FOUNTAIN SQUARE DR),"UBEREATS, LOMBARD, IL",,,,,,,
HOT & SOUR SOUP CUP,6.0,70.0,P.F. CHANG'S (2361 FOUNTAIN SQUARE DR),"UBEREATS, LOMBARD, IL",,,,,,,
HOT & SOUR SOUP BOWL,10.0,470.0,P.F. CHANG'S (2361 FOUNTAIN SQUARE DR),"UBEREATS, LOMBARD, IL",,,,,,,
WONTON SOUP CUP,6.0,120.0,P.F. CHANG'S (2361 FOUNTAIN SQUARE DR),"UBEREATS, LOMBARD, IL",,,,,,,
WONTON SOUP BOWL,10.0,570.0,P.F. CHANG'S (2361 FOUNTAIN SQUARE DR),"UBEREATS, LOMBARD, IL",,,,,,,
KUNG PAO DRAGON ROLL,13.0,510.0,P.F. CHANG'S (2361 FOUNTAIN SQUARE DR),"UBEREATS, LOMBARD, IL",,,,,,,
SPICY TUNA ROLL,11.5,300.0,P.F. CHANG'S (2361 FOUNTAIN SQUARE DR),"UBEREATS, LOMBARD, IL",,,,,,,
SHRIMP TEMPURA ROLL,12.5,580.0,P.F. CHANG'S (2361 FOUNTAIN SQUARE DR),"UBEREATS, LOMBARD, IL",,,,,,,
CALIFORNIA ROLL,11.0,380.0,P.F. CHANG'S (2361 FOUNTAIN SQUARE DR),"UBEREATS, LOMBARD, IL",,,,,,,
CHANG'S SPICY CHICKEN,18.5,840.0,P.F. CHANG'S (2361 FOUNTAIN SQUARE DR),"UBEREATS, LOMBARD, IL",,,,,,,
GINGER CHICKEN WITH BROCCOLI,18.0,480.0,P.F. CHANG'S (2361 FOUNTAIN SQUARE DR),"UBEREATS, LOMBARD, IL",,,,,,,
SESAME CHICKEN,17.0,870.0,P.F. CHANG'S (2361 FOUNTAIN SQUARE DR),"UBEREATS, LOMBARD, IL",,,,,,,
SWEET & SOUR CHICKEN,15.5,860.0,P.F. CHANG'S (2361 FOUNTAIN SQUARE DR),"UBEREATS, LOMBARD, IL",,,,,,,
CRISPY HONEY CHICKEN,18.0,1120.0,P.F. CHANG'S (2361 FOUNTAIN SQUARE DR),"UBEREATS, LOMBARD, IL",,,,,,,
KUNG PAO CHICKEN,18.5,960.0,P.F. CHANG'S (2361 FOUNTAIN SQUARE DR),"UBEREATS, LOMBARD, IL",,,,,,,
ORANGE CHICKEN,15.5,840.0,P.F. CHANG'S (2361 FOUNTAIN SQUARE DR),"UBEREATS, LOMBARD, IL",,,,,,,
MONGOLIAN BEEF,21.0,770.0,P.F. CHANG'S (2361 FOUNTAIN SQUARE DR),"UBEREATS, LOMBARD, IL",,,,,,,
PEPPER STEAK,18.5,640.0,P.F. CHANG'S (2361 FOUNTAIN SQUARE DR),"UBEREATS, LOMBARD, IL",,,,,,,
BEEF WITH BROCCOLI,17.5,670.0,P.F. CHANG'S (2361 FOUNTAIN SQUARE DR),"UBEREATS, LOMBARD, IL",,,,,,,
KOREAN BULGOGI STEAK,27.5,1370.0,P.F. CHANG'S (2361 FOUNTAIN SQUARE DR),"UBEREATS, LOMBARD, IL",,,,,,,
CRISPY HONEY SHRIMP,20.5,1020.0,P.F. CHANG'S (2361 FOUNTAIN SQUARE DR),"UBEREATS, LOMBARD, IL",,,,,,,
MISO GLAZED SALMON,23.0,660.0,P.F. CHANG'S (2361 FOUNTAIN SQUARE DR),"UBEREATS, LOMBARD, IL",,,,,,,
OOLONG CHILEAN SEA BASS,30.5,560.0,P.F. CHANG'S (2361 FOUNTAIN SQUARE DR),"UBEREATS, LOMBARD, IL",,,,,,,
KUNG PAO SHRIMP,20.5,760.0,P.F. CHANG'S (2361 FOUNTAIN SQUARE DR),"UBEREATS, LOMBARD, IL",,,,,,,
SALT & PEPPER PRAWNS,22.5,500.0,P.F. CHANG'S (2361 FOUNTAIN SQUARE DR),"UBEREATS, LOMBARD, IL",,,,,,,
SHRIMP WITH LOBSTER SAUCE,19.0,500.0,P.F. CHANG'S (2361 FOUNTAIN SQUARE DR),"UBEREATS, LOMBARD, IL",,,,,,,
BUDDHA'S FEAST | STEAMED,13.0,260.0,P.F. CHANG'S (2361 FOUNTAIN SQUARE DR),"UBEREATS, LOMBARD, IL",,,,,,,
BUDDHA'S FEAST | STIR-FRIED,13.0,380.0,P.F. CHANG'S (2361 FOUNTAIN SQUARE DR),"UBEREATS, LOMBARD, IL",,,,,,,
STIR-FRIED EGGPLANT,12.5,530.0,P.F. CHANG'S (2361 FOUNTAIN SQUARE DR),"UBEREATS, LOMBARD, IL",,,,,,,
MA PO TOFU,14.5,920.0,P.F. CHANG'S (2361 FOUNTAIN SQUARE DR),"UBEREATS, LOMBARD, IL",,,,,,,
SINGAPORE STREET NOODLES,15.5,1280.0,P.F. CHANG'S (2361 FOUNTAIN SQUARE DR),"UBEREATS, LOMBARD, IL",,,,,,,
GLUTEN FREE | CHANG'S CHICKEN LETTUCE WRAPS,12.5,490.0,P.F. CHANG'S (2361 FOUNTAIN SQUARE DR),"UBEREATS, LOMBARD, IL",,,,,,,
GLUTEN FREE | EGG DROP SOUP CUP,6.5,40.0,P.F. CHANG'S (2361 FOUNTAIN SQUARE DR),"UBEREATS, LOMBARD, IL",,,,,,,
