name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
BUILD YOUR OWN PIZZA 16,14.9,,JOHNNY'S NEW YORK STYLE PIZZA (CANTON ROAD),"UBEREATS, MARIETTA, GA",,,,,,,
BUILD YOUR OWN PIZZA 12,12.7,,JOHNNY'S NEW YORK STYLE PIZZA (CANTON ROAD),"UBEREATS, MARIETTA, GA",,,,,,,
BUILD YOUR OWN CALZONE,7.92,,JOHNNY'S NEW YORK STYLE PIZZA (CANTON ROAD),"UBEREATS, MARIETTA, GA",,,,,,,
CHEESE BREAD STIX WITH MARINARA,5.5,,JOHNNY'S NEW YORK STYLE PIZZA (CANTON ROAD),"UBEREATS, MARIETTA, GA",,,,,,,
MEATBALL PARMIGIANA SUB,7.97,,JOHNNY'S NEW YORK STYLE PIZZA (CANTON ROAD),"UBEREATS, MARIETTA, GA",,,,,,,
GARLIC BREAD WITH MARINARA,3.03,,JOHNNY'S NEW YORK STYLE PIZZA (CANTON ROAD),"UBEREATS, MARIETTA, GA",,,,,,,
GARLIC BREAD WITH CHEESE AND MARINARA,4.13,,JOHNNY'S NEW YORK STYLE PIZZA (CANTON ROAD),"UBEREATS, MARIETTA, GA",,,,,,,
MINI GARLIC KNOTS,5.28,,JOHNNY'S NEW YORK STYLE PIZZA (CANTON ROAD),"UBEREATS, MARIETTA, GA",,,,,,,
GARDEN SALAD,4.4,,JOHNNY'S NEW YORK STYLE PIZZA (CANTON ROAD),"UBEREATS, MARIETTA, GA",,,,,,,
GREEK SALAD,4.95,,JOHNNY'S NEW YORK STYLE PIZZA (CANTON ROAD),"UBEREATS, MARIETTA, GA",,,,,,,
CHEF SALAD,6.32,,JOHNNY'S NEW YORK STYLE PIZZA (CANTON ROAD),"UBEREATS, MARIETTA, GA",,,,,,,
CAESAR SALAD,4.95,,JOHNNY'S NEW YORK STYLE PIZZA (CANTON ROAD),"UBEREATS, MARIETTA, GA",,,,,,,
FRESH SPINACH SALAD,4.95,,JOHNNY'S NEW YORK STYLE PIZZA (CANTON ROAD),"UBEREATS, MARIETTA, GA",,,,,,,
MEDITERRANEAN SALAD,6.88,,JOHNNY'S NEW YORK STYLE PIZZA (CANTON ROAD),"UBEREATS, MARIETTA, GA",,,,,,,
BUILD YOUR OWN SLICE,2.47,,JOHNNY'S NEW YORK STYLE PIZZA (CANTON ROAD),"UBEREATS, MARIETTA, GA",,,,,,,
SLICE OF JOHNNY S DELUXE PIZZA,5.45,,JOHNNY'S NEW YORK STYLE PIZZA (CANTON ROAD),"UBEREATS, MARIETTA, GA",,,,,,,
SLICE OF JOHNNY S ITALIAN SPECIAL PIZZA,4.94,,JOHNNY'S NEW YORK STYLE PIZZA (CANTON ROAD),"UBEREATS, MARIETTA, GA",,,,,,,
SLICE OF VEGGIE DELUXE PIZZA,4.94,,JOHNNY'S NEW YORK STYLE PIZZA (CANTON ROAD),"UBEREATS, MARIETTA, GA",,,,,,,
SLICE OF QUATTRO FORMAGGIO PIZZA,4.34,,JOHNNY'S NEW YORK STYLE PIZZA (CANTON ROAD),"UBEREATS, MARIETTA, GA",,,,,,,
SLICE OF MEAT DELUXE PIZZA,4.94,,JOHNNY'S NEW YORK STYLE PIZZA (CANTON ROAD),"UBEREATS, MARIETTA, GA",,,,,,,
SLICE OF MEXICAN BORDER,4.34,,JOHNNY'S NEW YORK STYLE PIZZA (CANTON ROAD),"UBEREATS, MARIETTA, GA",,,,,,,
SLICE OF HAWAIIAN LUAU PIZZA,4.17,,JOHNNY'S NEW YORK STYLE PIZZA (CANTON ROAD),"UBEREATS, MARIETTA, GA",,,,,,,
